Analysis,Identifier 1,Rt,Area All,d 29N2/28N2,d 15N/14N,AA_ID
9029,SM_25893,1283.5,2.539,23.386,23.386,ALA
9030,SM_25893,1283.1,2.505,23.895,23.895,ALA
9031,SM_25893,1284.1,2.496,24.469,24.469,ALA
9029,SM_25893,1816.2,2.26,26.298,26.298,ASP
9030,SM_25893,1816,2.276,25.661,25.661,ASP
9031,SM_25893,1816.8,2.266,26.204,26.204,ASP
9029,SM_25893,2081.4,2.482,28.54,28.54,GLU
9030,SM_25893,2081,2.491,28.327,28.327,GLU
9031,SM_25893,2081.8,2.463,28.376,28.376,GLU
9029,SM_25893,1355.2,6.682,14.029,14.029,GLY
9030,SM_25893,1354.9,6.972,14.439,14.439,GLY
9031,SM_25893,1355.8,6.945,14.582,14.582,GLY
9029,SM_25893,1479.9,1.898,26.663,26.663,LEU
9030,SM_25893,1479.5,1.897,27.032,27.032,LEU
9031,SM_25893,1480.6,1.898,27.246,27.246,LEU
9029,SM_25893,1539.5,0.902,12.287,12.287,NLE
9030,SM_25893,1539.3,0.906,13.276,13.276,NLE
9031,SM_25893,1540.1,0.911,13.984,13.984,NLE
9029,SM_25893,1730.7,0.262,21.471,21.471,PRO
9030,SM_25893,1730.3,0.262,22.865,22.865,PRO
9031,SM_25893,1731.1,0.263,20.996,20.996,PRO
9029,SM_25893,1409.7,1.429,29.839,29.839,VAL
9030,SM_25893,1409.3,1.409,28.31,28.31,VAL
9031,SM_25893,1410.3,1.409,28.725,28.725,VAL
9022,SM_25700,1282.6,1.458,20.459,20.459,ALA
9023,SM_25700,1281.8,1.447,20.614,20.614,ALA
9024,SM_25700,1282.2,1.429,20.871,20.871,ALA
9022,SM_25700,1811.4,0.86,24.605,24.605,ASP
9023,SM_25700,1811,0.858,24.091,24.091,ASP
9024,SM_25700,1811,0.847,23.001,23.001,ASP
9022,SM_25700,2077.9,1.369,28.715,28.715,GLU
9023,SM_25700,2077.3,1.372,28.468,28.468,GLU
9024,SM_25700,2077.5,1.364,28.432,28.432,GLU
9022,SM_25700,1354.9,5.875,6.217,6.217,GLY
9023,SM_25700,1354.3,5.85,6.144,6.144,GLY
9024,SM_25700,1354.7,5.783,6.063,6.063,GLY
9022,SM_25700,1478.3,1.136,20.539,20.539,LEU
9023,SM_25700,1477.6,1.14,19.528,19.528,LEU
9024,SM_25700,1477.8,1.12,19.701,19.701,LEU
9022,SM_25700,1539.1,0.648,14.628,14.628,NLE
9023,SM_25700,1538.4,0.64,15.046,15.046,NLE
9024,SM_25700,1538.7,0.635,15.515,15.515,NLE
9022,SM_25700,1734.1,1.453,28.948,28.948,PRO
9023,SM_25700,1733.2,1.452,29.062,29.062,PRO
9024,SM_25700,1733.4,1.444,28.176,28.176,PRO
9022,SM_25700,1408.5,0.403,28.102,28.102,VAL
9023,SM_25700,1407.8,0.399,26.384,26.384,VAL
9024,SM_25700,1408,0.391,27.794,27.794,VAL
9015,SM_25695,1283.5,2.483,22.492,22.492,ALA
9016,SM_25695,1282.8,2.432,22.949,22.949,ALA
9017,SM_25695,1284.1,2.544,22.961,22.961,ALA
9015,SM_25695,1815,1.567,24.031,24.031,ASP
9016,SM_25695,1814.3,1.629,24.005,24.005,ASP
9017,SM_25695,1815.2,1.827,24.196,24.196,ASP
9015,SM_25695,2081.6,2.186,27.104,27.104,GLU
9016,SM_25695,2080.8,2.295,28.69,28.69,GLU
9017,SM_25695,2082.1,2.51,28.135,28.135,GLU
9015,SM_25695,1357.2,8.828,7.594,7.594,GLY
9016,SM_25695,1356.6,8.785,7.704,7.704,GLY
9017,SM_25695,1357.7,9.357,8.211,8.211,GLY
9015,SM_25695,1479.1,1.502,24.676,24.676,LEU
9016,SM_25695,1478.5,1.511,24.55,24.55,LEU
9017,SM_25695,1479.7,1.606,25.042,25.042,LEU
9015,SM_25695,1539.7,0.908,15.965,15.965,NLE
9016,SM_25695,1539.1,0.932,14.845,14.845,NLE
9017,SM_25695,1540.1,0.997,16.138,16.138,NLE
9015,SM_25695,1733.4,1.104,31.484,31.484,PRO
9016,SM_25695,1733,1.147,30.088,30.088,PRO
9017,SM_25695,1734.1,1.276,31.746,31.746,PRO
9015,SM_25695,1409.1,0.777,29.012,29.012,VAL
9016,SM_25695,1408.5,0.785,26.564,26.564,VAL
9017,SM_25695,1409.7,0.838,30.524,30.524,VAL
9025,SM_19982,1282.8,2.416,22.358,22.358,ALA
