Analysis,Identifier 1,Rt,Area All,d 29N2/28N2,d 15N/14N,AA_ID,Conc
9576,12AA,1295.4,2.409,-0.777,-0.777,ALA,100
9577,12AA,1294.5,2.568,-0.632,-0.632,ALA,100
9578,12AA,1295.4,2.371,-0.127,-0.127,ALA,100
9585,12AA,1295,2.153,-1.323,-1.323,ALA,100
9592,12AA,1294.1,1.981,-0.07,-0.07,ALA,100
9593,12AA,1294.8,1.83,-0.838,-0.838,ALA,100
9576,12AA,1835,2.424,-9.62,-9.62,ASP,100
9577,12AA,1834.4,2.473,-9.844,-9.844,ASP,100
9578,12AA,1835.2,2.162,-9.781,-9.781,ASP,100
9585,12AA,1834.8,2.075,-11.683,-11.683,ASP,100
9592,12AA,1834.2,1.85,-10.761,-10.761,ASP,100
9593,12AA,1834.6,1.739,-10.416,-10.416,ASP,100
9576,12AA,2095.6,1.823,-1.524,-1.524,GLU,100
9577,12AA,2094.8,1.751,-2.664,-2.664,GLU,100
9578,12AA,2095.6,1.528,-1.348,-1.348,GLU,100
9585,12AA,2095,1.614,-2.717,-2.717,GLU,100
9592,12AA,2094.6,1.387,-3.001,-3.001,GLU,100
9593,12AA,2095,1.279,-1.046,-1.046,GLU,100
9576,12AA,1364.1,2.86,3.911,3.911,GLY,100
9577,12AA,1363.1,2.96,5.147,5.147,GLY,100
9578,12AA,1363.9,2.694,4.551,4.551,GLY,100
9585,12AA,1363.7,2.487,2.776,2.776,GLY,100
9592,12AA,1362.7,2.206,3.679,3.679,GLY,100
9593,12AA,1363.3,2.039,3.815,3.815,GLY,100
9576,12AA,1515,2.831,-1.298,-1.298,ILE,100
9577,12AA,1514,3.004,-1.467,-1.467,ILE,100
9578,12AA,1514.8,2.696,-1.096,-1.096,ILE,100
9585,12AA,1514.4,2.482,-1.992,-1.992,ILE,100
9592,12AA,1513.6,2.207,-1.522,-1.522,ILE,100
9593,12AA,1514.2,2.049,-2.303,-2.303,ILE,100
9576,12AA,1552.2,1.377,13.503,13.503,NLE,100
9577,12AA,1551.4,1.458,12.754,12.754,NLE,100
9578,12AA,1552.2,1.229,13.299,13.299,NLE,100
9585,12AA,1551.8,1.119,13.014,13.014,NLE,100
9592,12AA,1550.8,0.947,14.318,14.318,NLE,100
9593,12AA,1551.6,0.885,13.081,13.081,NLE,100
9576,12AA,2210.8,2.638,3.72,3.72,PHE,100
9577,12AA,2210,2.546,3.512,3.512,PHE,100
9578,12AA,2210.6,2.289,3.449,3.449,PHE,100
9585,12AA,2210.4,2.397,1.985,1.985,PHE,100
9592,12AA,2209.8,2.048,2.981,2.981,PHE,100
9593,12AA,2210.2,1.911,3.197,3.197,PHE,100
9576,12AA,1751,2.073,-4.178,-4.178,PRO,100
9577,12AA,1750.2,2.051,-4.383,-4.383,PRO,100
9578,12AA,1751.2,1.772,-3.329,-3.329,PRO,100
9585,12AA,1750.6,1.802,-5.523,-5.523,PRO,100
9592,12AA,1750,1.484,-5.785,-5.785,PRO,100
9593,12AA,1750.6,1.386,-5.702,-5.702,PRO,100
9576,12AA,1862.6,2.079,2.045,2.045,SER,100
9577,12AA,1862.2,1.992,1.993,1.993,SER,100
9578,12AA,1863,1.632,0.48,0.48,SER,100
9585,12AA,1862.4,1.781,-1.009,-1.009,SER,100
9592,12AA,1862,1.633,-1.764,-1.764,SER,100
9593,12AA,1862.2,1.545,-0.756,-0.756,SER,100
9576,12AA,1798.9,1.808,-0.987,-0.987,THR,100
9577,12AA,1798.2,1.903,-2.17,-2.17,THR,100
9578,12AA,1799.1,1.661,-1.305,-1.305,THR,100
9585,12AA,1798.7,1.61,-3.452,-3.452,THR,100
9592,12AA,1798,1.39,-2.739,-2.739,THR,100
9593,12AA,1798.4,1.298,-3.19,-3.19,THR,100
9576,12AA,2617.1,1.998,5.421,5.421,TYR,100
9577,12AA,2616.1,1.886,5.18,5.18,TYR,100
9578,12AA,2616.5,1.693,4.255,4.255,TYR,100
9585,12AA,2616.5,1.732,3.401,3.401,TYR,100
9592,12AA,2615.6,1.617,4.79,4.79,TYR,100
9593,12AA,2616.3,1.479,5.746,5.746,TYR,100
9576,12AA,1422.2,2.387,2.157,2.157,VAL,100
9577,12AA,1421.2,2.604,1.656,1.656,VAL,100
9578,12AA,1422,2.314,2.158,2.158,VAL,100
9585,12AA,1421.6,2.165,0.617,0.617,VAL,100
9592,12AA,1420.6,1.914,1.416,1.416,VAL,100
9593,12AA,1421.4,1.774,0.618,0.618,VAL,100
9589,BM_32052,1302.9,16.535,22.702,22.702,ALA,100
9590,BM_32052,1303.5,16.276,22.815,22.815,ALA,100
9591,BM_32052,1303.1,15.859,22.673,22.673,ALA,100
9589,BM_32052,1850.5,10.613,20.459,20.459,ASP,100
9590,BM_32052,1850.7,10.508,21.084,21.084,ASP,100
9591,BM_32052,1850.5,9.571,23.357,23.357,ASP,100
9589,BM_32052,2114.2,14.555,28.468,28.468,GLU,100
9590,BM_32052,2114.7,14.037,28.378,28.378,GLU,100
9591,BM_32052,2114.7,13.755,28.488,28.488,GLU,100
9589,BM_32052,1388.6,59.556,10.382,10.382,GLY,100
