Analysis,Identifier 1,Rt,Area All,d 29N2/28N2,d 15N/14N,AA_ID,Conc
11169,12AA,1312.3,1.654,-0.146,-0.146,ALA,100
11170,12AA,1313.4,1.902,-0.85,-0.85,ALA,100
11171,12AA,1313.1,1.72,-1.883,-1.883,ALA,100
11178,12AA,1312.7,1.692,-0.494,-0.494,ALA,100
11185,12AA,1312.3,2.149,-0.897,-0.897,ALA,100
11192,12AA,1312.3,2.266,-0.712,-0.712,ALA,100
11193,12AA,1311.9,2.191,-1.597,-1.597,ALA,100
11169,12AA,1862.8,1.926,-10.368,-10.368,ASP,100
11170,12AA,1864.1,2.121,-9.978,-9.978,ASP,100
11171,12AA,1863.9,1.883,-10.022,-10.022,ASP,100
11178,12AA,1862.2,1.888,-10.223,-10.223,ASP,100
11185,12AA,1863.2,2.282,-10.547,-10.547,ASP,100
11192,12AA,1863.9,2.343,-11.224,-11.224,ASP,100
11193,12AA,1863,2.257,-11.621,-11.621,ASP,100
11169,12AA,2117.8,1.482,-3.041,-3.041,GLU,100
11170,12AA,2118.6,1.535,-2.503,-2.503,GLU,100
11171,12AA,2118.2,1.376,-3.164,-3.164,GLU,100
11178,12AA,2117.2,1.374,-2.127,-2.127,GLU,100
11185,12AA,2118,1.736,-3.151,-3.151,GLU,100
11192,12AA,2118.4,1.829,-2.767,-2.767,GLU,100
11193,12AA,2117.6,1.768,-2.313,-2.313,GLU,100
11169,12AA,1380,1.778,4.956,4.956,GLY,100
11170,12AA,1380.9,2.088,3.76,3.76,GLY,100
11171,12AA,1380.7,1.911,3.162,3.162,GLY,100
11178,12AA,1380,1.828,4.135,4.135,GLY,100
11185,12AA,1380.2,2.326,3.573,3.573,GLY,100
11192,12AA,1380.4,2.453,3.19,3.19,GLY,100
11193,12AA,1379.8,2.372,2.976,2.976,GLY,100
11169,12AA,1530.5,1.931,-1.169,-1.169,ILE,100
11170,12AA,1531.6,2.299,-1.994,-1.994,ILE,100
11171,12AA,1531.3,2.074,-1.485,-1.485,ILE,100
11178,12AA,1530.7,1.933,-2.163,-2.163,ILE,100
11185,12AA,1530.7,2.384,-1.979,-1.979,ILE,100
11192,12AA,1530.7,2.488,-2.35,-2.35,ILE,100
11193,12AA,1530.3,2.411,-3.107,-3.107,ILE,100
11169,12AA,1567.1,0.871,14.743,14.743,NLE,100
11170,12AA,1567.7,1.067,13.86,13.86,NLE,100
11171,12AA,1567.7,0.923,13.223,13.223,NLE,100
11178,12AA,1567.1,0.883,13.529,13.529,NLE,100
11185,12AA,1566.9,1.056,13.38,13.38,NLE,100
11192,12AA,1567.1,1.061,13.5,13.5,NLE,100
11193,12AA,1566.5,1.011,13.363,13.363,NLE,100
11169,12AA,2227.5,2,3.082,3.082,PHE,100
