Analysis,Identifier 1,Rt,Area All,d 29N2/28N2,d 15N/14N,AA_ID,Conc
11275,12AA,1312.9,2.33,-1.296,-1.296,ALA,200
11276,12AA,1312.9,2.619,-0.971,-0.971,ALA,200
11277,12AA,1312.7,2.347,-1.289,-1.289,ALA,200
11284,12AA,1313.1,2.698,-0.725,-0.725,ALA,200
11291,12AA,1313.4,3.059,-1.551,-1.551,ALA,200
11298,12AA,1313.8,3.326,-2.065,-2.065,ALA,200
11299,12AA,1312.9,3.297,-1.574,-1.574,ALA,200
11275,12AA,1861.8,1.957,-10.24,-10.24,ASP,200
11276,12AA,1862.2,1.922,-8.636,-8.636,ASP,200
11277,12AA,1862.2,1.751,-9.715,-9.715,ASP,200
11284,12AA,1863,2.15,-11.212,-11.212,ASP,200
11291,12AA,1863.9,2.255,-12.347,-12.347,ASP,200
11298,12AA,1865.1,2.429,-12.124,-12.124,ASP,200
11299,12AA,1864.1,2.396,-11.74,-11.74,ASP,200
11275,12AA,2117.4,1.793,-0.986,-0.986,GLU,200
11276,12AA,2117.8,1.641,-2.364,-2.364,GLU,200
11277,12AA,2117.8,1.496,-1.062,-1.062,GLU,200
11284,12AA,2118.6,1.89,-3.077,-3.077,GLU,200
11291,12AA,2119.3,2.084,-3.815,-3.815,GLU,200
11298,12AA,2120.5,2.243,-4.313,-4.313,GLU,200
11299,12AA,2119.5,2.219,-3.554,-3.554,GLU,200
11275,12AA,1380.9,2.269,3.603,3.603,GLY,200
11276,12AA,1380.9,2.533,4.274,4.274,GLY,200
11277,12AA,1380.7,2.261,3.978,3.978,GLY,200
11284,12AA,1381.3,2.62,2.99,2.99,GLY,200
11291,12AA,1381.5,2.844,2.717,2.717,GLY,200
11298,12AA,1382.3,3.049,2.483,2.483,GLY,200
11299,12AA,1381.3,3.021,2.82,2.82,GLY,200
11275,12AA,1530.9,2.415,-0.593,-0.593,ILE,200
11276,12AA,1531.1,2.631,-1.755,-1.755,ILE,200
11277,12AA,1530.9,2.353,-1.41,-1.41,ILE,200
11284,12AA,1531.3,2.733,-2.907,-2.907,ILE,200
11291,12AA,1531.8,2.949,-2.744,-2.744,ILE,200
11298,12AA,1532.2,3.176,-2.346,-2.346,ILE,200
