Analysis,Identifier 1,Rt,Area All,d 29N2/28N2,d 15N/14N,AA_ID,Conc
11299,12AA,1531.1,3.142,-2.451,-2.451,ILE,200
11275,12AA,1567.3,1.244,14.036,14.036,NLE,200
11276,12AA,1567.5,1.347,14.386,14.386,NLE,200
11277,12AA,1567.3,1.15,14.032,14.032,NLE,200
11284,12AA,1567.7,1.356,12.964,12.964,NLE,200
11291,12AA,1567.9,1.397,12.01,12.01,NLE,200
11298,12AA,1568.3,1.511,13.053,13.053,NLE,200
11299,12AA,1567.5,1.469,13.276,13.276,NLE,200
11275,12AA,2227.2,2.28,3.9,3.9,PHE,200
11276,12AA,2227.3,2.047,4.074,4.074,PHE,200
11277,12AA,2227.3,1.95,3.26,3.26,PHE,200
11284,12AA,2228.1,2.339,2.427,2.427,PHE,200
11291,12AA,2228.8,2.585,1.896,1.896,PHE,200
11298,12AA,2229.6,2.79,2.234,2.234,PHE,200
11299,12AA,2228.8,2.749,2.198,2.198,PHE,200
11275,12AA,1774.8,1.794,-4.433,-4.433,PRO,200
11276,12AA,1775.2,1.8,-6.384,-6.384,PRO,200
11277,12AA,1775.2,1.562,-5.06,-5.06,PRO,200
11284,12AA,1775.9,1.926,-5.114,-5.114,PRO,200
11291,12AA,1776.3,2.071,-5.933,-5.933,PRO,200
11298,12AA,1777.3,2.205,-6.158,-6.158,PRO,200
11299,12AA,1776.5,2.162,-6.15,-6.15,PRO,200
11275,12AA,1824.4,1.552,0.216,0.216,THR,200
11276,12AA,1824.8,1.552,-1.664,-1.664,THR,200
11277,12AA,1824.8,1.399,-1.964,-1.964,THR,200
11284,12AA,1825.4,1.711,-2.555,-2.555,THR,200
11291,12AA,1826,1.802,-3.566,-3.566,THR,200
11298,12AA,1827.1,1.929,-2.888,-2.888,THR,200
11299,12AA,1826.2,1.905,-2.642,-2.642,THR,200
11275,12AA,2624.3,1.539,4.718,4.718,TYR,200
11276,12AA,2624.4,1.356,4.063,4.063,TYR,200
11277,12AA,2624.4,1.291,4.077,4.077,TYR,200
11284,12AA,2625,1.527,3.912,3.912,TYR,200
11291,12AA,2625.7,1.667,3.238,3.238,TYR,200
11298,12AA,2625.9,1.879,3.126,3.126,TYR,200
11299,12AA,2625,1.764,2.043,2.043,TYR,200
11275,12AA,1438.3,1.892,2.685,2.685,VAL,200
11276,12AA,1438.3,2.235,0.987,0.987,VAL,200
11277,12AA,1438.1,1.986,1.199,1.199,VAL,200
11284,12AA,1438.5,2.308,-0.097,-0.097,VAL,200
11291,12AA,1438.8,2.515,-0.632,-0.632,VAL,200
11298,12AA,1439.4,2.713,-1.033,-1.033,VAL,200
11299,12AA,1438.3,2.682,-0.322,-0.322,VAL,
11288,RM_9729,1318.8,12.935,23.014,23.014,ALA,200
11289,RM_9729,1319,13.532,23.332,23.332,ALA,200
11290,RM_9729,1318.2,11.113,23.098,23.098,ALA,200
11288,RM_9729,1870.1,4.575,24.999,24.999,ASP,200
11289,RM_9729,1870.3,4.689,24.455,24.455,ASP,200
11290,RM_9729,1868.5,3.912,25.121,25.121,ASP,200
11288,RM_9729,2128,6.615,27.108,27.108,GLU,200
11289,RM_9729,2128.2,6.796,27.411,27.411,GLU,200
11290,RM_9729,2126.8,5.685,27.579,27.579,GLU,200
11288,RM_9729,1400.9,43.987,11.077,11.077,GLY,200
11289,RM_9729,1401.3,45.791,11.016,11.016,GLY,200
11290,RM_9729,1399.5,37.994,10.949,10.949,GLY,200
11288,RM_9729,1509.6,3.247,24.364,24.364,LEU,200
11289,RM_9729,1509.6,3.374,24.215,24.215,LEU,200
11290,RM_9729,1509,2.786,24.269,24.269,LEU,200
11288,RM_9729,1567.5,1.111,10.285,10.285,NLE,200
11289,RM_9729,1567.5,1.142,8.962,8.962,NLE,200
11290,RM_9729,1567.1,0.945,8.865,8.865,NLE,200
11288,RM_9729,1440.8,3.091,24.565,24.565,VAL,200
11289,RM_9729,1440.8,3.212,24.613,24.613,VAL,200
11290,RM_9729,1440.4,2.688,24.411,24.411,VAL,200
11295,RM_9874,1318,10.789,24.071,24.071,ALA,200
11296,RM_9874,1318.6,10.696,23.888,23.888,ALA,200
11295,RM_9874,1868,3.696,24.353,24.353,ASP,200
11296,RM_9874,1868.7,3.634,24.877,24.877,ASP,200
11295,RM_9874,2127,5.609,29.238,29.238,GLU,200
11296,RM_9874,2127.4,5.56,28.777,28.777,GLU,200
11295,RM_9874,1399,37.037,9.124,9.124,GLY,200
11296,RM_9874,1399.9,36.927,9.307,9.307,GLY,200
11295,RM_9874,1509,2.721,25.274,25.274,LEU,200
11296,RM_9874,1509.4,2.705,25.314,25.314,LEU,200
11295,RM_9874,1652.8,1.092,18.994,18.994,NLE,200
11296,RM_9874,1653.2,1.066,17.608,17.608,NLE,200
11295,RM_9874,1440.2,2.677,24.294,24.294,VAL,200
11296,RM_9874,1440.8,2.634,24.493,24.493,VAL,200
11281,SI_274153,1315.4,6.026,24.726,24.726,ALA,200
11282,SI_274153,1314.2,5.417,24.805,24.805,ALA,200
11283,SI_274153,1315,5.383,24.31,24.31,ALA,200
11281,SI_274153,1862.8,2.172,24.199,24.199,ASP,200
11282,SI_274153,1861.1,1.958,24.785,24.785,ASP,200
11283,SI_274153,1862.2,1.953,23.58,23.58,ASP,200
11281,SI_274153,2122,3.133,28.491,28.491,GLU,200
11282,SI_274153,2120.1,2.815,28.508,28.508,GLU,200
11283,SI_274153,2121.1,2.791,28.443,28.443,GLU,200
11281,SI_274153,1393.2,20.488,11.074,11.074,GLY,200
11282,SI_274153,1391.7,18.366,10.79,10.79,GLY,200
11283,SI_274153,1392.6,18.236,10.805,10.805,GLY,200
11281,SI_274153,1507.1,1.62,26.407,26.407,LEU,200
11282,SI_274153,1506.1,1.433,26.611,26.611,LEU,200
11283,SI_274153,1506.9,1.406,27.98,27.98,LEU,200
11281,SI_274153,1566.5,0.491,13.265,13.265,NLE,200
11282,SI_274153,1565.6,0.462,12.062,12.062,NLE,200
11283,SI_274153,1566.5,0.464,12.94,12.94,NLE,200
11281,SI_274153,1438.5,1.067,27.234,27.234,VAL,200
11282,SI_274153,1437.5,0.958,28.049,28.049,VAL,200
11283,SI_274153,1438.3,0.951,26.552,26.552,VAL,200
11278,SI_274155,1313.1,2.42,24.219,24.219,ALA,200
11279,SI_274155,1313.4,2.586,24.143,24.143,ALA,200
11280,SI_274155,1313.6,3.752,24.394,24.394,ALA,200
11278,SI_274155,1858.4,0.94,24.71,24.71,ASP,200
11279,SI_274155,1858.2,0.941,25.493,25.493,ASP,200
11280,SI_274155,1859.5,1.408,26.152,26.152,ASP,200
11278,SI_274155,2117.2,1.308,31.298,31.298,GLU,200
11279,SI_274155,2117,1.279,29.404,29.404,GLU,200
11280,SI_274155,2118.4,1.996,28.371,28.371,GLU,200
11278,SI_274155,1387.1,8.898,9.485,9.485,GLY,200
11279,SI_274155,1387.1,9.162,9.2,9.2,GLY,200
11280,SI_274155,1389,13.034,8.643,8.643,GLY,200
11278,SI_274155,1506.3,0.637,29.973,29.973,LEU,200
11279,SI_274155,1506.3,0.679,29.159,29.159,LEU,200
11280,SI_274155,1505.8,0.986,28.672,28.672,LEU,200
11278,SI_274155,1566.5,0.189,14.896,14.896,NLE,200
11279,SI_274155,1566.2,0.201,14.333,14.333,NLE,200
11280,SI_274155,1565.8,0.296,14.459,14.459,NLE,200
11278,SI_274155,1437.1,0.417,29.691,29.691,VAL,200
11279,SI_274155,1437.1,0.448,29.824,29.824,VAL,200
11280,SI_274155,1437.1,0.632,27.831,27.831,VAL,200
