Analysis,Identifier 1,Rt,Area All,d 29N2/28N2,d 15N/14N,AA_ID,Conc
9487,12AA,1293.5,2.218,0.461,0.461,ALA,200
9488,12AA,1294.3,2.769,-0.741,-0.741,ALA,200
9489,12AA,1294.3,2.505,-0.759,-0.759,ALA,200
9496,12AA,1294.3,2.669,-1.043,-1.043,ALA,200
9503,12AA,1294.1,2.583,-0.885,-0.885,ALA,200
9510,12AA,1294.3,2.532,-1.257,-1.257,ALA,200
9517,12AA,1295.2,2.61,-0.549,-0.549,ALA,200
9518,12AA,1294.8,2.6,-0.72,-0.72,ALA,200
9487,12AA,1834.6,3.01,-10.86,-10.86,ASP,200
9488,12AA,1835.6,2.899,-10.858,-10.858,ASP,200
9489,12AA,1835.6,2.651,-10.318,-10.318,ASP,200
9496,12AA,1835.4,2.831,-11.016,-11.016,ASP,200
9503,12AA,1835.6,2.689,-11.453,-11.453,ASP,200
9510,12AA,1836.1,2.689,-10.377,-10.377,ASP,200
9517,12AA,1837.1,2.779,-9.817,-9.817,ASP,200
9518,12AA,1836.7,2.798,-10.015,-10.015,ASP,200
9487,12AA,2096.3,2.66,-1.276,-1.276,GLU,200
9488,12AA,2097.1,2.617,-2.51,-2.51,GLU,200
9489,12AA,2097.1,2.401,-2.186,-2.186,GLU,200
9496,12AA,2096.9,2.666,-1.908,-1.908,GLU,200
9503,12AA,2097.1,2.592,-4.361,-4.361,GLU,200
9510,12AA,2097.5,2.531,-2.934,-2.934,GLU,200
9517,12AA,2098.4,2.572,-2.938,-2.938,GLU,200
9518,12AA,2098.2,2.584,-1.964,-1.964,GLU,200
9487,12AA,1362.1,2.559,4.879,4.879,GLY,200
9488,12AA,1362.7,2.855,3.529,3.529,GLY,200
9489,12AA,1362.7,2.581,3.73,3.73,GLY,200
9496,12AA,1362.5,2.772,3.236,3.236,GLY,200
9503,12AA,1362.5,2.662,3.398,3.398,GLY,200
9510,12AA,1362.7,2.608,3.457,3.457,GLY,200
9517,12AA,1363.7,2.657,3.619,3.619,GLY,200
9518,12AA,1363.3,2.653,3.863,3.863,GLY,200
9487,12AA,1513.4,3.332,-0.829,-0.829,ILE,200
9488,12AA,1514.2,3.527,-1.556,-1.556,ILE,200
9489,12AA,1514.4,3.192,-1.889,-1.889,ILE,200
9496,12AA,1514.2,3.408,-2.056,-2.056,ILE,200
9503,12AA,1514,3.289,-2.083,-2.083,ILE,200
9510,12AA,1514.2,3.228,-1.457,-1.457,ILE,200
9517,12AA,1515.3,3.295,-1.623,-1.623,ILE,200
9518,12AA,1514.8,3.305,-1.059,-1.059,ILE,200
9487,12AA,1551,1.735,15.421,15.421,NLE,200
9488,12AA,1551.6,1.691,21.169,21.169,NLE,200
