Analysis,Identifier 1,Rt,Area All,d 29N2/28N2,d 15N/14N,AA_ID,Conc
11219,12AA,1311.9,2.292,-0.263,-0.263,ALA,200
11220,12AA,1312.5,2.62,-0.219,-0.219,ALA,200
11221,12AA,1312.3,2.358,-0.311,-0.311,ALA,200
11228,12AA,1312.5,2.617,-0.933,-0.933,ALA,200
11235,12AA,1312.3,2.83,-1.542,-1.542,ALA,200
11242,12AA,1312.3,3.015,-1.897,-1.897,ALA,200
11243,12AA,1312.5,2.993,-0.866,-0.866,ALA,200
11219,12AA,2116.5,1.718,-0.894,-0.894,GLU,200
11220,12AA,2118,1.713,-2.867,-2.867,GLU,200
11221,12AA,2117.8,1.539,-2.783,-2.783,GLU,200
11228,12AA,2118,1.854,-3.126,-3.126,GLU,200
11235,12AA,2118.4,2.004,-2.535,-2.535,GLU,200
11242,12AA,2118.6,2.042,-3.472,-3.472,GLU,200
11243,12AA,2118.6,2.02,-2.997,-2.997,GLU,200
11219,12AA,1379.8,2.191,4.359,4.359,GLY,200
11220,12AA,1380.4,2.555,4.208,4.208,GLY,200
11221,12AA,1380.2,2.317,3.84,3.84,GLY,200
11228,12AA,1380.4,2.518,2.993,2.993,GLY,200
11235,12AA,1380.4,2.717,2.291,2.291,GLY,200
11242,12AA,1380.4,2.797,2.715,2.715,GLY,200
11243,12AA,1380.7,2.77,2.257,2.257,GLY,200
11219,12AA,1529.8,2.312,0.723,0.723,ILE,200
11220,12AA,1530.9,2.661,-0.896,-0.896,ILE,200
11221,12AA,1530.5,2.432,0.036,0.036,ILE,200
11228,12AA,1530.7,2.643,-2.07,-2.07,ILE,200
11235,12AA,1530.7,2.842,-2.769,-2.769,ILE,200
11242,12AA,1530.7,2.877,-2.185,-2.185,ILE,200
11243,12AA,1530.7,2.852,-2.613,-2.613,ILE,200
11219,12AA,1566.4,1.173,14.723,14.723,NLE,200
11220,12AA,1567.3,1.344,13.783,13.783,NLE,200
11221,12AA,1567.1,1.175,14.018,14.018,NLE,200
11228,12AA,1567.1,1.308,13.014,13.014,NLE,200
11235,12AA,1567.1,1.371,13.006,13.006,NLE,200
11242,12AA,1567.1,1.329,12.839,12.839,NLE,200
11243,12AA,1567.1,1.298,12.475,12.475,NLE,200
11219,12AA,2226.1,2.21,4.582,4.582,PHE,200
11220,12AA,2227.5,2.114,2.885,2.885,PHE,200
11221,12AA,2227.1,1.966,3.829,3.829,PHE,200
11228,12AA,2227.5,2.341,2.667,2.667,PHE,200
11235,12AA,2227.7,2.481,2.639,2.639,PHE,200
11242,12AA,2227.9,2.528,2.686,2.686,PHE,200
11243,12AA,2228.1,2.509,2.015,2.015,PHE,200
11219,12AA,1774,1.749,-3.953,-3.953,PRO,200
11220,12AA,1775.2,1.827,-4.355,-4.355,PRO,200
11221,12AA,1775,1.609,-4.423,-4.423,PRO,200
11228,12AA,1775,1.881,-5.685,-5.685,PRO,200
11235,12AA,1775.2,2.013,-4.728,-4.728,PRO,200
11242,12AA,1775.7,2.008,-6.018,-6.018,PRO,200
11243,12AA,1775.7,1.978,-6.342,-6.342,PRO,200
11219,12AA,1860.7,1.897,-9.69,-9.69,SER,200
11220,12AA,1862.4,1.958,-8.998,-8.998,SER,200
11221,12AA,1862,1.784,-9.082,-9.082,SER,200
11228,12AA,1862,2.067,-10.716,-10.716,SER,200
11235,12AA,1862.4,2.211,-11.503,-11.503,SER,200
11242,12AA,1862.8,2.183,-12.528,-12.528,SER,200
11243,12AA,1862.8,2.145,-11.518,-11.518,SER,200
11219,12AA,1823.3,1.511,-0.199,-0.199,THR,200
