Analysis,Identifier 1,Rt,Area All,d 29N2/28N2,d 15N/14N,AA_ID
9121,SM_26706,1286.4,6.208,22.488,22.488,ALA
9122,SM_26706,1286.2,6.211,22.842,22.842,ALA
9123,SM_26706,1286.4,6.093,22.397,22.397,ALA
9121,SM_26706,1820,3.232,25.043,25.043,ASP
9122,SM_26706,1820,3.174,25.017,25.017,ASP
9123,SM_26706,1820,3.096,25.74,25.74,ASP
9121,SM_26706,2087.9,5.192,29.743,29.743,GLU
9122,SM_26706,2087.7,5.132,28.647,28.647,GLU
9123,SM_26706,2087.9,5.037,29.396,29.396,GLU
9121,SM_26706,1365,27.318,10.364,10.364,GLY
9122,SM_26706,1314.6,0.425,37.306,37.306,GLY
9123,SM_26706,1314.6,0.439,33.622,33.622,GLY
9121,SM_26706,1480.8,2.402,25.791,25.791,LEU
9122,SM_26706,1410.8,2.445,23.359,23.359,LEU
9123,SM_26706,1410.8,2.385,23.77,23.77,LEU
9121,SM_26706,1539.9,0.924,14.004,14.004,NLE
9122,SM_26706,1539.9,0.908,14.43,14.43,NLE
9123,SM_26706,1539.9,0.885,13.229,13.229,NLE
9121,SM_26706,1741.8,6.716,27.196,27.196,PRO
9122,SM_26706,1741.8,6.65,27.891,27.891,PRO
9123,SM_26706,1741.8,6.499,27.771,27.771,PRO
9121,SM_26706,1410.8,2.299,23.829,23.829,VAL
9122,SM_26706,1365,27.297,10.223,10.223,VAL
9123,SM_26706,1365,26.955,10.351,10.351,VAL
9111,SM_25895,1285.4,3.692,24.544,24.544,ALA
9112,SM_25895,1284.9,3.99,24.702,24.702,ALA
9113,SM_25895,1285.6,3.869,24.318,24.318,ALA
9111,SM_25895,1821.2,3.932,25.227,25.227,ASP
9112,SM_25895,1820.8,3.849,25.841,25.841,ASP
9113,SM_25895,1821,3.61,25.553,25.553,ASP
9111,SM_25895,2088.5,5.704,27.814,27.814,GLU
9112,SM_25895,2088.1,5.499,27.773,27.773,GLU
9113,SM_25895,2088.5,5.199,27.722,27.722,GLU
9111,SM_25895,1360.8,16.552,13.308,13.308,GLY
9112,SM_25895,1360.4,16.797,12.782,12.782,GLY
9113,SM_25895,1360.8,15.918,12.613,12.613,GLY
9111,SM_25895,1481.6,2.819,28.603,28.603,LEU
9112,SM_25895,1481.2,2.941,27.418,27.418,LEU
9113,SM_25895,1481.8,2.761,27.083,27.083,LEU
9111,SM_25895,1540.7,1.113,14.285,14.285,NLE
9112,SM_25895,1540.3,1.132,14.045,14.045,NLE
9113,SM_25895,1541,1.049,13.485,13.485,NLE
9111,SM_25895,1735.7,1.681,25.752,25.752,PRO
9112,SM_25895,1735.3,1.702,25.268,25.268,PRO
9113,SM_25895,1736,1.611,25.527,25.527,PRO
9111,SM_25895,1411,1.953,26.835,26.835,VAL
9112,SM_25895,1410.5,1.68,28.836,28.836,VAL
9113,SM_25895,1411.4,1.928,26.736,26.736,VAL
9125,SM_25706,1285.6,4.317,21.739,21.739,ALA
9126,SM_25706,1285.4,4.164,21.972,21.972,ALA
9127,SM_25706,1285.1,3.911,21.903,21.903,ALA
9125,SM_25706,1819.6,2.579,26.237,26.237,ASP
9126,SM_25706,1819.3,2.482,26.035,26.035,ASP
9127,SM_25706,1819.1,2.318,26.499,26.499,ASP
9125,SM_25706,2087.3,4.342,28.216,28.216,GLU
9126,SM_25706,2087.3,4.199,28.531,28.531,GLU
9127,SM_25706,2086.9,3.924,28.959,28.959,GLU
9125,SM_25706,1363.1,20.774,10.71,10.71,GLY
9126,SM_25706,1362.9,20.173,10.747,10.747,GLY
9127,SM_25706,1362.7,19.027,10.668,10.668,GLY
9125,SM_25706,1480.8,1.992,25.933,25.933,LEU
9126,SM_25706,1480.6,1.923,26.5,26.5,LEU
9127,SM_25706,1480.6,1.789,26.039,26.039,LEU
9125,SM_25706,1539.9,0.674,14.798,14.798,NLE
9126,SM_25706,1539.7,0.649,14.196,14.196,NLE
9127,SM_25706,1539.7,0.596,14.573,14.573,NLE
9125,SM_25706,1741,5.145,28.756,28.756,PRO
9126,SM_25706,1741,4.953,28.215,28.215,PRO
9127,SM_25706,1740.6,4.612,28.475,28.475,PRO
9125,SM_25706,1410.5,2.142,22.869,22.869,VAL
9126,SM_25706,1410.3,2.057,22.856,22.856,VAL
9127,SM_25706,1410.3,1.57,24.033,24.033,VAL
9118,SM_16096,1286.4,6.393,22.84,22.84,ALA
9119,SM_16096,1286,6.296,22.873,22.873,ALA
9120,SM_16096,1285.8,6.223,22.602,22.602,ALA
9118,SM_16096,1821,3.729,22.969,22.969,ASP
9119,SM_16096,1820.4,3.69,23.302,23.302,ASP
9120,SM_16096,1820.4,3.597,23.956,23.956,ASP
9118,SM_16096,2089.4,6.191,30.625,30.625,GLU
9119,SM_16096,2089,6.173,30.863,30.863,GLU
9120,SM_16096,2088.7,6.044,30.721,30.721,GLU
9118,SM_16096,1364.6,27.447,7.547,7.547,GLY
9119,SM_16096,1364.4,27.168,7.613,7.613,GLY
9120,SM_16096,1363.9,26.788,7.545,7.545,GLY
9118,SM_16096,1481.2,2.748,26.224,26.224,LEU
9119,SM_16096,1480.8,2.694,26.847,26.847,LEU
9120,SM_16096,1480.6,2.656,26.126,26.126,LEU
9118,SM_16096,1540.3,1.184,8.751,8.751,NLE
9119,SM_16096,1539.7,0.971,16.847,16.847,NLE
9120,SM_16096,1539.7,1.231,17.482,17.482,NLE
9118,SM_16096,1740.1,5.274,26.164,26.164,PRO
9119,SM_16096,1739.5,5.191,26.38,26.38,PRO
9120,SM_16096,1739.5,5.103,25.881,25.881,PRO
9118,SM_16096,1411.2,2.329,22.749,22.749,VAL
9119,SM_16096,1410.8,2.326,23.825,23.825,VAL
9120,SM_16096,1410.5,2.553,21.335,21.335,VAL
9114,SM_15274,1288.5,9.708,24.776,24.776,ALA
9115,SM_15274,1288.7,9.564,24.764,24.764,ALA
9116,SM_15274,1288.3,9.621,24.839,24.839,ALA
9114,SM_15274,1823.7,5.146,27.878,27.878,ASP
9115,SM_15274,1823.9,5.109,27.546,27.546,ASP
9116,SM_15274,1823.5,5.131,27.832,27.832,ASP
9114,SM_15274,2091.7,8.037,33.64,33.64,GLU
9115,SM_15274,2092.1,7.922,33.526,33.526,GLU
9116,SM_15274,2091.7,8.064,33.502,33.502,GLU
9114,SM_15274,1370,43.013,8.287,8.287,GLY
9115,SM_15274,1370.2,42.148,8.039,8.039,GLY
9116,SM_15274,1370.2,42.218,8.037,8.037,GLY
9114,SM_15274,1502.7,1.106,28.829,28.829,ILE
9115,SM_15274,1502.9,1.094,29.721,29.721,ILE
9116,SM_15274,1502.5,1.099,29.45,29.45,ILE
9114,SM_15274,1482.6,3.899,27.903,27.903,LEU
9115,SM_15274,1482.9,3.844,28.47,28.47,LEU
9116,SM_15274,1482.4,3.843,27.889,27.889,LEU
9114,SM_15274,1541,1.535,10.184,10.184,NLE
9115,SM_15274,1541.2,1.521,9.732,9.732,NLE
9116,SM_15274,1540.7,1.522,9.549,9.549,NLE
9114,SM_15274,2198.3,2.099,13.475,13.475,PHE
9115,SM_15274,2198.5,2.091,13.115,13.115,PHE
9116,SM_15274,2197.8,2.111,13.781,13.781,PHE
9114,SM_15274,1744.1,9.845,27.449,27.449,PRO
9115,SM_15274,1744.3,9.727,27.07,27.07,PRO
9116,SM_15274,1743.9,9.788,27.015,27.015,PRO
9114,SM_15274,1782.1,1.807,-16.271,-16.271,THR
9115,SM_15274,1782.4,1.289,-34.789,-34.789,THR
9116,SM_15274,1781.9,1.282,-36.971,-36.971,THR
9114,SM_15274,1412.6,2.955,27.414,27.414,VAL
9115,SM_15274,1413,3.053,26.439,26.439,VAL
9116,SM_15274,1412.6,3.367,25.355,25.355,VAL
9108,12AA,1286.2,3.765,-0.89,-0.89,ALA
9109,12AA,1286.8,6.049,-0.996,-0.996,ALA
9110,12AA,1287,5.065,-1.406,-1.406,ALA
9117,12AA,1286.4,5.801,-1.194,-1.194,ALA
9124,12AA,1286.8,5.699,-1.855,-1.855,ALA
9128,12AA,1287.2,5.548,-1.604,-1.604,ALA
9129,12AA,1287.4,5.344,-1.67,-1.67,ALA
9108,12AA,1853.8,5.984,0.754,0.754,ASP
9109,12AA,1854.7,5.488,0.427,0.427,ASP
9110,12AA,1855.1,6.469,0.532,0.532,ASP
9117,12AA,1854.9,5.898,-0.005,-0.005,ASP
9124,12AA,1855.9,7.389,1.59,1.59,ASP
9128,12AA,1857.6,7.651,1.235,1.235,ASP
9129,12AA,1857.6,7.342,0.676,0.676,ASP
9108,12AA,2086.2,4.705,-2.306,-2.306,GLU
9109,12AA,2087.1,4.265,-2.545,-2.545,GLU
9110,12AA,2087.3,4.101,-1.662,-1.662,GLU
9117,12AA,2087.1,4.885,-2.484,-2.484,GLU
9124,12AA,2087.7,4.728,-2.806,-2.806,GLU
9128,12AA,2089.2,4.635,-2.691,-2.691,GLU
9129,12AA,2089.2,4.414,-2.986,-2.986,GLU
9108,12AA,1505.6,4.999,-1.163,-1.163,ILE
9109,12AA,1506.1,5.891,-2.117,-2.117,ILE
9110,12AA,1506.5,5.062,-1.695,-1.695,ILE
9117,12AA,1505.8,5.665,-2.496,-2.496,ILE
9124,12AA,1506.1,5.552,-2.643,-2.643,ILE
9128,12AA,1506.7,5.372,-2.321,-2.321,ILE
9129,12AA,1506.9,5.143,-2.519,-2.519,ILE
9108,12AA,1528.6,0.214,2.52,2.52,NLE
9109,12AA,1529.5,0.347,5.078,5.078,NLE
9110,12AA,1529.7,0.265,6.456,6.456,NLE
9117,12AA,1542.6,3.335,14.279,14.279,NLE
9124,12AA,1542.8,3.365,13.626,13.626,NLE
9128,12AA,1543.5,3.327,13.478,13.478,NLE
9129,12AA,1543.7,3.23,12.966,12.966,NLE
9108,12AA,2202,5.107,3.568,3.568,PHE
9109,12AA,2202.7,4.585,3.305,3.305,PHE
9110,12AA,2203.1,4.593,3.496,3.496,PHE
9117,12AA,2202.7,5.326,3.18,3.18,PHE
9124,12AA,2203.1,5.121,2.853,2.853,PHE
9128,12AA,2203.9,4.958,3.235,3.235,PHE
9129,12AA,2204.1,4.737,2.962,2.962,PHE
9108,12AA,1786.1,3.473,-1.909,-1.909,PRO
9109,12AA,1786.7,3.839,-2.72,-2.72,PRO
9110,12AA,1787.2,3.369,-2.568,-2.568,PRO
9117,12AA,1786.7,3.985,-3.272,-3.272,PRO
9124,12AA,1787.4,3.878,-3.189,-3.189,PRO
9128,12AA,1788.2,3.667,-3.126,-3.126,PRO
9129,12AA,1788.6,3.506,-3.935,-3.935,PRO
9108,12AA,1821.6,4.063,-11.791,-11.791,THR
9109,12AA,1822.5,3.979,-10.454,-10.454,THR
9110,12AA,1822.9,4.117,-9.073,-9.073,THR
9117,12AA,1822.7,4.113,-11.769,-11.769,THR
9124,12AA,1823.3,4.785,-8.603,-8.603,THR
9128,12AA,1824.8,4.711,-8.818,-8.818,THR
9129,12AA,1824.8,4.523,-9.134,-9.134,THR
9108,12AA,2611.2,3.848,5.038,5.038,TYR
9109,12AA,2611.7,3.45,4.275,4.275,TYR
9110,12AA,2611.7,3.455,4.658,4.658,TYR
9117,12AA,2611.5,3.982,4.651,4.651,TYR
9124,12AA,2611.5,3.856,3.79,3.79,TYR
9128,12AA,2612.1,3.549,3.918,3.918,TYR
9129,12AA,2612.3,3.487,4.093,4.093,TYR
9108,12AA,1413,4.725,1.357,1.357,VAL
9109,12AA,1413.5,6.203,1.24,1.24,VAL
9110,12AA,1413.7,5.511,1.015,1.015,VAL
9117,12AA,1413.3,6.265,0.999,0.999,VAL
9124,12AA,1413.5,6.303,0.895,0.895,VAL
9128,12AA,1414.1,6.183,0.672,0.672,VAL
9129,12AA,1414.3,5.965,0.5,0.5,VAL
