Analysis,Identifier 1,Rt,Area All,d 29N2/28N2,d 15N/14N,AA_ID,Conc
11300,12AA,1314.3,2.405,-1.324,-1.324,ALA,100
11301,12AA,1315.1,2.761,0.481,0.481,ALA,100
11302,12AA,1314.4,2.48,-0.525,-0.525,ALA,100
11309,12AA,1314.8,2.714,-1.524,-1.524,ALA,100
11316,12AA,1313.6,2.755,-1.385,-1.385,ALA,100
11323,12AA,1314.8,2.794,-1.643,-1.643,ALA,100
11324,12AA,1314.4,2.772,-1.727,-1.727,ALA,100
11300,12AA,1864.8,2.078,-8.654,-8.654,ASP,100
11301,12AA,1828.4,1.713,-1.806,-1.806,ASP,100
11302,12AA,1865.3,1.997,-9.172,-9.172,ASP,100
11309,12AA,1865.7,2.126,-11.42,-11.42,ASP,100
11316,12AA,1864.5,2.165,-10.548,-10.548,ASP,100
11323,12AA,1866.4,2.188,-11.822,-11.822,ASP,100
11324,12AA,1866.4,2.162,-11.664,-11.664,ASP,100
11300,12AA,2119.1,1.811,0.088,0.088,GLU,100
11301,12AA,1895.7,1.75,0.931,0.931,GLU,100
11302,12AA,2119.9,1.612,-2.592,-2.592,GLU,100
11309,12AA,2120.5,1.785,-3.085,-3.085,GLU,100
11316,12AA,2119.5,1.829,-2.715,-2.715,GLU,100
11323,12AA,2120.9,1.88,-4.076,-4.076,GLU,100
11324,12AA,2120.7,1.854,-3.218,-3.218,GLU,100
11300,12AA,1382.2,2.39,3.999,3.999,GLY,100
11301,12AA,1382.9,2.694,5.051,5.051,GLY,100
11302,12AA,1382.3,2.435,4.342,4.342,GLY,100
11309,12AA,1382.7,2.657,3.143,3.143,GLY,100
11316,12AA,1381.5,2.704,2.771,2.771,GLY,100
11323,12AA,1383,2.748,2.65,2.65,GLY,100
11324,12AA,1382.5,2.719,3.123,3.123,GLY,100
11300,12AA,1531.6,1.676,0.834,0.834,ILE,100
11301,12AA,1532.6,1.954,-1.802,-1.802,ILE,100
11302,12AA,1531.8,1.807,-1.64,-1.64,ILE,100
11309,12AA,1532.2,1.892,-3.147,-3.147,ILE,100
11316,12AA,1530.9,1.943,-3.281,-3.281,ILE,100
11323,12AA,1532.2,1.968,-2.901,-2.901,ILE,100
11324,12AA,1532,1.945,-2.689,-2.689,ILE,100
