Analysis,Identifier 1,Rt,Area All,d 29N2/28N2,d 15N/14N,AA_ID
11874,12AA,1351.4,2.234,-0.33,-0.33,ALA
11875,12AA,1347.4,2.444,0.303,0.303,ALA
11876,12AA,1348.1,2.202,0.694,0.694,ALA
11883,12AA,1378.4,2.582,-1.255,-1.255,ALA
11890,12AA,1393.6,2.669,-2.12,-2.12,ALA
11897,12AA,1403.9,3.506,-0.246,-0.246,ALA
11898,12AA,1403.6,3.51,-0.263,-0.263,ALA
11874,12AA,1925.5,2.107,-9.822,-9.822,ASP
11875,12AA,1922.8,2.166,-9.393,-9.393,ASP
11876,12AA,1923.8,2.036,-9.238,-9.238,ASP
11883,12AA,1979.6,2.339,-11.134,-11.134,ASP
11890,12AA,2008.5,2.397,-9.492,-9.492,ASP
11897,12AA,2027.5,3.339,-8.939,-8.939,ASP
11898,12AA,2027.5,3.137,-10.654,-10.654,ASP
11874,12AA,2163.8,1.951,-1.24,-1.24,GLU
11875,12AA,2160.2,1.889,-1.748,-1.748,GLU
11876,12AA,2160.9,1.781,-1.175,-1.175,GLU
11883,12AA,2194.5,2.229,-2.942,-2.942,GLU
11890,12AA,2211.2,2.323,-2.535,-2.535,GLU
11897,12AA,2222.7,2.874,-2.616,-2.616,GLU
11898,12AA,2222.5,2.995,-2.217,-2.217,GLU
11874,12AA,1418.9,2.507,4.075,4.075,GLY
11875,12AA,1414.9,2.782,4.99,4.99,GLY
11876,12AA,1415.6,2.495,4.721,4.721,GLY
11883,12AA,1445.7,2.915,2.867,2.867,GLY
11890,12AA,1461.1,3.061,3.07,3.07,GLY
11897,12AA,1471.8,3.986,4.624,4.624,GLY
11898,12AA,1471.6,3.988,3.897,3.897,GLY
11874,12AA,1569.6,2.029,-0.942,-0.942,ILE
11875,12AA,1565.6,2.234,-1.367,-1.367,ILE
11876,12AA,1566.2,2.018,-0.855,-0.855,ILE
11883,12AA,1594.3,2.226,-2.701,-2.701,ILE
11890,12AA,1609.3,2.381,-2.962,-2.962,ILE
11897,12AA,1620,3.067,-0.715,-0.715,ILE
11898,12AA,1619.8,3.102,-1.241,-1.241,ILE
11874,12AA,1603.4,1.055,13.388,13.388,NLE
11875,12AA,1599.5,1.206,14.144,14.144,NLE
11876,12AA,1600.1,1.07,14.652,14.652,NLE
11883,12AA,1631.2,1.225,13.192,13.192,NLE
11890,12AA,1647.8,1.24,13.246,13.246,NLE
11897,12AA,1659.3,1.604,15.302,15.302,NLE
11898,12AA,1659,1.63,13.499,13.499,NLE
11874,12AA,2266.6,2.275,4.314,4.314,PHE
11875,12AA,2262.8,2.186,3.421,3.421,PHE
11876,12AA,2263.1,2.146,4.08,4.08,PHE
11883,12AA,2292.7,2.544,2.954,2.954,PHE
11890,12AA,2307.6,2.707,2.347,2.347,PHE
11897,12AA,2318,3.362,3.182,3.182,PHE
11898,12AA,2317.6,3.383,2.17,2.17,PHE
11874,12AA,1831.7,1.911,-4.952,-4.952,PRO
11875,12AA,1828.5,1.979,-4.356,-4.356,PRO
11876,12AA,1829.6,1.778,-4.687,-4.687,PRO
11883,12AA,1878.7,2.215,-5.136,-5.136,PRO
11890,12AA,1905.5,2.292,-6.545,-6.545,PRO
11897,12AA,1924.7,2.79,-6.026,-6.026,PRO
11898,12AA,1924.5,2.864,-5.743,-5.743,PRO
11874,12AA,1957.7,1.922,1.855,1.855,SER
11875,12AA,1955.2,1.881,1.971,1.971,SER
11876,12AA,1956.2,1.771,2.471,2.471,SER
11883,12AA,2012.7,1.993,0.109,0.109,SER
11890,12AA,2039,2.489,-0.108,-0.108,SER
11897,12AA,2056.8,3.564,-0.158,-0.158,SER
11898,12AA,2056.4,3.207,-1.485,-1.485,SER
11874,12AA,1885,1.615,-1.441,-1.441,THR
11875,12AA,1882,1.69,-1.16,-1.16,THR
11876,12AA,1882.9,1.57,-0.422,-0.422,THR
11883,12AA,1935.8,1.84,-3.144,-3.144,THR
11890,12AA,1964.4,1.885,-2.474,-2.474,THR
11897,12AA,1985.1,2.375,-2.675,-2.675,THR
11898,12AA,1984.9,2.407,-3.247,-3.247,THR
11874,12AA,2652,1.626,4.302,4.302,TYR
11875,12AA,2647.8,1.506,4.267,4.267,TYR
11876,12AA,2647.8,1.53,5.532,5.532,TYR
11883,12AA,2668.7,1.666,4.67,4.67,TYR
11890,12AA,2679.6,1.654,3.366,3.366,TYR
11897,12AA,2687.1,1.861,2.955,2.955,TYR
11898,12AA,2686.7,1.858,1.893,1.893,TYR
11874,12AA,1476.4,1.962,1.815,1.815,VAL
11875,12AA,1472.4,2.32,1.18,1.18,VAL
11876,12AA,1473,2.112,1.964,1.964,VAL
11883,12AA,1502.9,2.488,-0.027,-0.027,VAL
