Analysis,Identifier 1,Rt,Area All,d 29N2/28N2,d 15N/14N,AA_ID
9710,12AA,1295.6,1.559,1.438,1.438,ALA
9711,12AA,1296,1.904,-0.579,-0.579,ALA
9712,12AA,1296.4,1.831,-0.158,-0.158,ALA
9719,12AA,1296,1.634,-0.615,-0.615,ALA
9726,12AA,1295.8,1.484,0.627,0.627,ALA
9733,12AA,1295.6,1.112,2.534,2.534,ALA
9734,12AA,1296.2,1.175,0.777,0.777,ALA
9710,12AA,1834.6,1.808,-11.063,-11.063,ASP
9711,12AA,1835.6,2.103,-10.297,-10.297,ASP
9712,12AA,1836.3,1.899,-10.163,-10.163,ASP
9719,12AA,1835.6,1.652,-10.638,-10.638,ASP
9726,12AA,1836.1,1.589,-9.041,-9.041,ASP
9733,12AA,1836.1,1.23,-5.728,-5.728,ASP
9734,12AA,1836.7,1.209,-6.754,-6.754,ASP
9710,12AA,2095.2,1.462,1.724,1.724,GLU
9711,12AA,2096.3,1.565,-2.957,-2.957,GLU
9712,12AA,2096.7,1.411,-1.224,-1.224,GLU
9719,12AA,2096.1,1.368,-3.83,-3.83,GLU
9726,12AA,2096.5,1.188,-1.315,-1.315,GLU
9733,12AA,2096.3,0.962,-0.32,-0.32,GLU
9734,12AA,2096.9,0.943,-0.609,-0.609,GLU
9710,12AA,1363.5,1.898,5.688,5.688,GLY
9711,12AA,1363.9,2.062,4.809,4.809,GLY
9712,12AA,1364.4,1.985,3.554,3.554,GLY
9719,12AA,1363.9,1.779,2.181,2.181,GLY
9726,12AA,1363.7,1.586,3.499,3.499,GLY
9733,12AA,1363.5,1.28,4.87,4.87,GLY
9734,12AA,1364.4,1.289,3.852,3.852,GLY
9710,12AA,1514.6,1.972,0.472,0.472,ILE
9711,12AA,1515.3,2.301,-1.275,-1.275,ILE
9712,12AA,1515.5,2.127,-1.226,-1.226,ILE
9719,12AA,1515,1.799,-2.576,-2.576,ILE
9726,12AA,1514.8,1.626,-0.935,-0.935,ILE
9733,12AA,1514.6,1.29,0.505,0.505,ILE
9734,12AA,1515.3,1.288,0.088,0.088,ILE
9710,12AA,1552,0.99,17.98,17.98,NLE
9711,12AA,1552.9,1.164,19.665,19.665,NLE
9712,12AA,1553.3,1.04,19.707,19.707,NLE
9719,12AA,1552.7,0.82,13.696,13.696,NLE
9726,12AA,1552.7,0.727,15.044,15.044,NLE
9733,12AA,1552.5,0.556,15.653,15.653,NLE
9734,12AA,1553.1,0.567,20.306,20.306,NLE
9710,12AA,2210,1.99,4.573,4.573,PHE
9711,12AA,2210.8,2.05,3.923,3.923,PHE
9712,12AA,2211.2,1.891,4.555,4.555,PHE
9719,12AA,2210.6,1.726,1.504,1.504,PHE
9726,12AA,2210.6,1.522,3.269,3.269,PHE
9733,12AA,2210.6,1.219,5.41,5.41,PHE
9734,12AA,2211.2,1.19,4.016,4.016,PHE
9710,12AA,1750,1.29,-4.316,-4.316,PRO
9711,12AA,1751,1.449,-4.038,-4.038,PRO
9712,12AA,1751.4,1.286,-4.261,-4.261,PRO
9719,12AA,1751,1.162,-5.447,-5.447,PRO
9726,12AA,1751.2,0.984,-4.386,-4.386,PRO
9733,12AA,1751,0.758,-4.432,-4.432,PRO
9734,12AA,1751.6,0.761,-3.535,-3.535,PRO
9710,12AA,1862,1.452,-0.371,-0.371,SER
9711,12AA,1862.8,1.535,-0.215,-0.215,SER
9712,12AA,1863.4,1.503,0.792,0.792,SER
9719,12AA,1863,1.436,-0.114,-0.114,SER
9726,12AA,1863.4,1.385,0.239,0.239,SER
9733,12AA,1863.4,1.133,2.62,2.62,SER
9734,12AA,1864.1,0.889,2.333,2.333,SER
9710,12AA,1798,1.154,0.819,0.819,THR
9711,12AA,1798.9,1.367,-1.792,-1.792,THR
9712,12AA,1799.3,1.235,-2.283,-2.283,THR
9719,12AA,1799.1,1.08,-3.373,-3.373,THR
9726,12AA,1799.3,0.99,-0.622,-0.622,THR
9733,12AA,1799.1,0.778,-0.19,-0.19,THR
9734,12AA,1799.9,0.769,-0.462,-0.462,THR
9710,12AA,2616.7,1.737,5.5,5.5,TYR
9711,12AA,2617.1,1.717,6.537,6.537,TYR
9712,12AA,2617.5,1.581,6.152,6.152,TYR
9719,12AA,2616.9,1.49,4.802,4.802,TYR
9726,12AA,2616.7,1.359,6.552,6.552,TYR
9733,12AA,2616.5,1.114,7.594,7.594,TYR
9734,12AA,2617.1,1.096,6.776,6.776,TYR
9710,12AA,1421.8,1.579,2.277,2.277,VAL
9711,12AA,1422.5,1.925,2.344,2.344,VAL
9712,12AA,1422.7,1.818,1.324,1.324,VAL
9719,12AA,1422.2,1.56,0.248,0.248,VAL
9726,12AA,1422,1.36,1.243,1.243,VAL
9733,12AA,1421.8,1.103,2.034,2.034,VAL
9734,12AA,1422.7,1.089,0.299,0.299,VAL
9716,NM_1919,1843,3.811,24.691,24.691,ASP
9717,NM_1919,1843.6,5.38,22.564,22.564,ASP
9718,NM_1919,1850.3,8.14,23.386,23.386,ASP
9716,NM_1919,2109.4,7.298,29.154,29.154,GLU
9717,NM_1919,2110.3,8.029,27.852,27.852,GLU
9718,NM_1919,2115.3,13.62,29.152,29.152,GLU
9716,NM_1919,1514.6,0.878,30.338,30.338,ILE
9717,NM_1919,1514.6,0.453,19.275,19.275,ILE
9718,NM_1919,1517.1,1.106,33.758,33.758,ILE
9716,NM_1919,1553.9,1.806,9.005,9.005,NLE
9717,NM_1919,1553.9,1.839,7.842,7.842,NLE
9718,NM_1919,1556.2,2.454,12.842,12.842,NLE
9716,NM_1919,2211.2,1.794,13.262,13.262,PHE
9717,NM_1919,2211.4,1.884,13.805,13.805,PHE
9718,NM_1919,2213.5,2.892,13.629,13.629,PHE
9716,NM_1919,1762.3,9.692,27.56,27.56,PRO
9717,NM_1919,1762.9,10.662,26.901,26.901,PRO
9718,NM_1919,1767.3,15.22,28.139,28.139,PRO
9716,NM_1919,1872.2,3.176,13.44,13.44,SER
9717,NM_1919,1873.1,5.216,15.98,15.98,SER
9718,NM_1919,1879.7,8.206,16.158,16.158,SER
9716,NM_1919,1801,1.26,-26.735,-26.735,THR
9717,NM_1919,1801.4,2.553,-7.023,-7.023,THR
9718,NM_1919,1804.5,3.448,-10.592,-10.592,THR
9720,NM_2028,1846.7,6.428,25.458,25.458,ASP
9721,NM_2028,1846.3,6.409,24.902,24.902,ASP
9722,NM_2028,1846.5,6.413,25.798,25.798,ASP
9720,NM_2028,2111.3,8.838,29.752,29.752,GLU
9721,NM_2028,2110.5,8.61,30.029,30.029,GLU
9722,NM_2028,2110.9,8.485,30.271,30.271,GLU
9720,NM_2028,1514.8,1.819,29.353,29.353,ILE
9721,NM_2028,1514.4,1.783,30.871,30.871,ILE
9722,NM_2028,1514.6,1.766,29.598,29.598,ILE
9720,NM_2028,1553.7,1.739,13.932,13.932,NLE
9721,NM_2028,1553.1,1.718,13.458,13.458,NLE
9722,NM_2028,1553.5,1.725,14.017,14.017,NLE
9720,NM_2028,2213.3,2.323,10.026,10.026,PHE
9721,NM_2028,2212.9,2.227,10.219,10.219,PHE
9722,NM_2028,2213.1,2.177,11.465,11.465,PHE
9720,NM_2028,1752,1.448,18.449,18.449,PRO
9721,NM_2028,1751.4,1.398,19.668,19.668,PRO
9722,NM_2028,1751.6,1.359,19.458,19.458,PRO
9720,NM_2028,1869.9,3.057,19.506,19.506,SER
9721,NM_2028,1869.5,3.035,19.388,19.388,SER
9722,NM_2028,1869.7,3.015,19.846,19.846,SER
9720,NM_2028,1799.5,1.192,-27.688,-27.688,THR
9721,NM_2028,1798.9,1.155,-26.652,-26.652,THR
9722,NM_2028,1799.3,1.136,-25.653,-25.653,THR
9723,NM_2044,1846.7,6.234,25.959,25.959,ASP
9724,NM_2044,1841.1,3.05,26.122,26.122,ASP
9725,NM_2044,1846.9,6.267,26.028,26.028,ASP
9723,NM_2044,2111.7,8.457,29.416,29.416,GLU
9724,NM_2044,2106.5,4.276,28.548,28.548,GLU
9725,NM_2044,2111.9,8.52,29.929,29.929,GLU
9723,NM_2044,1514.8,1.462,31.26,31.26,ILE
9724,NM_2044,1513.8,0.792,31.036,31.036,ILE
9725,NM_2044,1514.8,1.456,30.729,30.729,ILE
9723,NM_2044,1554.5,2.977,13.112,13.112,NLE
9724,NM_2044,1553.3,1.411,10.589,10.589,NLE
9725,NM_2044,1554.5,2.675,10.489,10.489,NLE
9723,NM_2044,2213.5,2.103,12.388,12.388,PHE
9724,NM_2044,2210.8,1.116,12.581,12.581,PHE
9725,NM_2044,2213.7,2.115,12.688,12.688,PHE
9723,NM_2044,1752,1.167,19.967,19.967,PRO
9724,NM_2044,1750.4,0.512,18.732,18.732,PRO
9725,NM_2044,1752.3,1.167,20.009,20.009,PRO
9723,NM_2044,1870.6,3.249,19.209,19.209,SER
9724,NM_2044,1866,1.346,15.782,15.782,SER
9725,NM_2044,1871,3.255,20.06,20.06,SER
9723,NM_2044,1799.9,1.171,-29.095,-29.095,THR
9724,NM_2044,1797.8,0.512,-23.463,-23.463,THR
9725,NM_2044,1800.1,1.168,-28.222,-28.222,THR
9727,NM_2232,1839.2,2.201,26.648,26.648,ASP
9728,NM_2232,1841.1,2.852,22.45,22.45,ASP
9729,NM_2232,1845.9,5.998,22.745,22.745,ASP
9727,NM_2232,2104.8,3.45,33.343,33.343,GLU
9728,NM_2232,2107.1,4.588,29.344,29.344,GLU
9729,NM_2232,2110.9,8.895,29.205,29.205,GLU
9727,NM_2232,1514,0.236,20.877,20.877,ILE
9728,NM_2232,1514,0.231,15.335,15.335,ILE
9729,NM_2232,1514.6,0.837,29.476,29.476,ILE
9727,NM_2232,1553.3,0.808,18.608,18.608,NLE
9728,NM_2232,1553.5,0.792,25.173,25.173,NLE
9729,NM_2232,1553.9,1.706,15.307,15.307,NLE
9727,NM_2232,2209.3,0.738,14.117,14.117,PHE
9728,NM_2232,2210.4,0.983,14.21,14.21,PHE
9729,NM_2232,2211.6,1.641,13.206,13.206,PHE
9727,NM_2232,1760.2,5.382,27.453,27.453,PRO
9728,NM_2232,1761.9,7.355,27.268,27.268,PRO
9729,NM_2232,1765,11.687,27.127,27.127,PRO
9727,NM_2232,1867.4,1.844,16.154,16.154,SER
9728,NM_2232,1869.7,2.286,12.601,12.601,SER
9729,NM_2232,1874.5,6.255,16.114,16.114,SER
9727,NM_2232,1798.9,0.58,-25.135,-25.135,THR
9728,NM_2232,1799.7,0.846,-22.462,-22.462,THR
9729,NM_2232,1801.8,2.545,-3.066,-3.066,THR
9713,NM_2234,1846.1,6.441,23.109,23.109,ASP
9714,NM_2234,1846.3,6.133,22.473,22.473,ASP
9713,NM_2234,2111.1,11.468,27.835,27.835,GLU
9714,NM_2234,2111.3,11.111,27.503,27.503,GLU
9713,NM_2234,1515.3,0.74,24.189,24.189,ILE
9714,NM_2234,1515.3,0.997,27.273,27.273,ILE
9713,NM_2234,1555.2,2.923,13.899,13.899,NLE
9714,NM_2234,1555,2.835,12.673,12.673,NLE
9713,NM_2234,2212.1,2.547,13.789,13.789,PHE
9714,NM_2234,2211.8,2.4,12.687,12.687,PHE
9713,NM_2234,1765.2,15.414,27.434,27.434,PRO
9714,NM_2234,1765.2,14.855,26.77,26.77,PRO
9713,NM_2234,1874.5,5.402,13.5,13.5,SER
9714,NM_2234,1874.7,5.319,13.975,13.975,SER
9713,NM_2234,1802,1.982,-29.093,-29.093,THR
9714,NM_2234,1802.2,1.818,-32.637,-32.637,THR
9730,NM_2236,1852.6,8.229,20.793,20.793,ASP
9731,NM_2236,1852.2,6.334,18.981,18.981,ASP
9732,NM_2236,1852.8,7.726,20.879,20.879,ASP
9730,NM_2236,2116.8,13.71,27.979,27.979,GLU
9731,NM_2236,2116.5,12.91,27.701,27.701,GLU
9732,NM_2236,2117,12.166,28.673,28.673,GLU
9730,NM_2236,1516.9,1.402,29.449,29.449,ILE
9731,NM_2236,1516.5,1.336,29.911,29.911,ILE
9732,NM_2236,1517.1,1.317,29.007,29.007,ILE
9730,NM_2236,1556,2.618,13.518,13.518,NLE
9731,NM_2236,1555.8,2.428,14.018,14.018,NLE
9732,NM_2236,1556.4,2.399,14.854,14.854,NLE
9730,NM_2236,2211,2.284,14.537,14.537,PHE
9731,NM_2236,2210.8,2.176,16.587,16.587,PHE
9732,NM_2236,2211.2,2.21,15.957,15.957,PHE
9730,NM_2236,1765.6,10.68,27.14,27.14,PRO
9731,NM_2236,1765.2,9.954,27.467,27.467,PRO
9732,NM_2236,1765.8,9.856,27.549,27.549,PRO
9730,NM_2236,1881.2,8.408,14.809,14.809,SER
9731,NM_2236,1881,5.66,12.72,12.72,SER
9732,NM_2236,1881.4,7.457,15.942,15.942,SER
9730,NM_2236,1805.3,3.279,-10.564,-10.564,THR
9731,NM_2236,1805.1,1.891,-29.912,-29.912,THR
9732,NM_2236,1805.6,3.079,-8.743,-8.743,THR
