Analysis,Identifier 1,Rt,Area All,d 29N2/28N2,d 15N/14N,AA_ID,Conc
11325,12AA,1314,2.68,-1.516,-1.516,ALA,200
11326,12AA,1315,2.912,0.694,0.694,ALA,200
11327,12AA,1314.8,2.783,-0.508,-0.508,ALA,200
11334,12AA,1314,3.069,-1.579,-1.579,ALA,200
11341,12AA,1314.4,3.171,-1.468,-1.468,ALA,200
11342,12AA,1314.6,2.997,-1.838,-1.838,ALA,200
11325,12AA,1865.3,2.336,-10.064,-10.064,ASP,200
11326,12AA,1866.6,2.19,-9.755,-9.755,ASP,200
11327,12AA,1866.4,2.337,-9.651,-9.651,ASP,200
11334,12AA,1865.7,2.444,-10.872,-10.872,ASP,200
11341,12AA,1866.6,2.527,-11.497,-11.497,ASP,200
11342,12AA,1866.8,2.393,-11.51,-11.51,ASP,200
11325,12AA,2119.9,2.014,-2.247,-2.247,GLU,200
11326,12AA,2121.1,1.749,-1.132,-1.132,GLU,200
11327,12AA,2120.9,1.91,-2.829,-2.829,GLU,200
11334,12AA,2120.1,2.048,-2.832,-2.832,GLU,200
11341,12AA,2120.9,2.152,-2.26,-2.26,GLU,200
11342,12AA,2121.1,2.036,-3,-3,GLU,200
11325,12AA,1382.1,2.71,3.547,3.547,GLY,200
11326,12AA,1383.2,2.864,4.615,4.615,GLY,200
11327,12AA,1383,2.721,3.612,3.612,GLY,200
11334,12AA,1382.3,3.035,3.002,3.002,GLY,200
11341,12AA,1382.7,3.157,2.608,2.608,GLY,200
11342,12AA,1382.7,2.981,2.455,2.455,GLY,200
11325,12AA,1531.3,1.945,-0.337,-0.337,ILE,200
11326,12AA,1532.6,2.044,-1.457,-1.457,ILE,200
11327,12AA,1532.4,2.058,-0.879,-0.879,ILE,200
11334,12AA,1531.3,2.189,-2.726,-2.726,ILE,200
11341,12AA,1531.8,2.288,-2.904,-2.904,ILE,200
11342,12AA,1532.2,2.163,-2.743,-2.743,ILE,200
11325,12AA,1568.1,1.222,14.462,14.462,NLE,200
11326,12AA,1569.4,1.268,13.802,13.802,NLE,200
11327,12AA,1569,1.235,14.374,14.374,NLE,200
11334,12AA,1568.1,1.321,13.005,13.005,NLE,200
11341,12AA,1568.5,1.348,13.46,13.46,NLE,200
11342,12AA,1568.8,1.275,13.239,13.239,NLE,200
11325,12AA,2229.8,2.918,3.583,3.583,PHE,200
11326,12AA,2230.7,2.548,3.149,3.149,PHE,200
11327,12AA,2230.7,2.841,3.619,3.619,PHE,200
11334,12AA,2230,2.962,2.87,2.87,PHE,200
11341,12AA,2230.7,3.115,2.544,2.544,PHE,200
11342,12AA,2230.9,2.952,2.333,2.333,PHE,200
11325,12AA,1776.7,1.7,-3.852,-3.852,PRO,200
11326,12AA,1778.2,1.625,-3.21,-3.21,PRO,200
11327,12AA,1777.8,1.652,-3.822,-3.822,PRO,200
11334,12AA,1776.9,1.765,-5.069,-5.069,PRO,200
11341,12AA,1777.8,1.829,-5.721,-5.721,PRO,200
11342,12AA,1778,1.733,-5.75,-5.75,PRO,200
11325,12AA,1895,2.025,1.514,1.514,SER,200
11326,12AA,1896.3,1.792,2.196,2.196,SER,200
11327,12AA,1896.3,1.944,1.155,1.155,SER,200
11334,12AA,1895.4,2.194,0.205,0.205,SER,200
11341,12AA,1896.5,2.285,-0.575,-0.575,SER,200
11342,12AA,1896.5,2.169,-0.462,-0.462,SER,200
11325,12AA,1827.3,1.85,-0.593,-0.593,THR,200
11326,12AA,1828.8,1.781,-0.956,-0.956,THR,200
11327,12AA,1828.3,1.86,-1.873,-1.873,THR,200
11334,12AA,1827.7,1.959,-2.934,-2.934,THR,200
11341,12AA,1828.5,2.033,-3.184,-3.184,THR,200
11342,12AA,1828.5,1.924,-3.015,-3.015,THR,200
11325,12AA,2625.7,1.946,4.84,4.84,TYR,200
11326,12AA,2626.7,1.682,4.135,4.135,TYR,200
11327,12AA,2626.5,1.978,4.465,4.465,TYR,200
11334,12AA,2626.1,1.923,3.645,3.645,TYR,200
