Analysis,Identifier 1,Rt,Area All,d 29N2/28N2,d 15N/14N,AA_ID
11824,12AA,1328.2,2.329,-0.18,-0.18,ALA
11825,12AA,1328,2.533,1.377,1.377,ALA
11826,12AA,1328.6,2.309,0.177,0.177,ALA
11833,12AA,1329.2,2.371,-0.328,-0.328,ALA
11840,12AA,1329.7,2.36,-1.341,-1.341,ALA
11847,12AA,1332.6,2.38,-1.602,-1.602,ALA
11848,12AA,1332.2,2.372,-1.452,-1.452,ALA
11824,12AA,1888.5,2.285,-9.883,-9.883,ASP
11825,12AA,1888.7,2.268,-9.673,-9.673,ASP
11826,12AA,1889.4,2.2,-10.06,-10.06,ASP
11833,12AA,1890.6,2.337,-10.044,-10.044,ASP
11840,12AA,1892.5,2.297,-10.352,-10.352,ASP
11847,12AA,1897.5,2.37,-9.666,-9.666,ASP
11848,12AA,1896.9,2.372,-9.709,-9.709,ASP
11824,12AA,2137.7,2.115,-1.495,-1.495,GLU
11825,12AA,2137.4,1.955,-1.376,-1.376,GLU
11826,12AA,2138.1,1.923,-0.611,-0.611,GLU
11833,12AA,2138.9,2.092,-2.763,-2.763,GLU
11840,12AA,2140,2.082,-2.655,-2.655,GLU
11847,12AA,2143.9,2.116,-3.264,-3.264,GLU
11848,12AA,2143.3,2.117,-2.773,-2.773,GLU
11824,12AA,1396.1,2.69,4.258,4.258,GLY
11825,12AA,1395.9,2.93,5.192,5.192,GLY
11826,12AA,1396.5,2.625,4.191,4.191,GLY
11833,12AA,1397.2,2.785,4.053,4.053,GLY
11840,12AA,1397.8,2.777,2.943,2.943,GLY
11847,12AA,1400.9,2.852,3.759,3.759,GLY
11848,12AA,1400.3,2.845,3.797,3.797,GLY
11824,12AA,1546.8,2.53,-0.36,-0.36,ILE
11825,12AA,1546.6,2.715,-1.433,-1.433,ILE
11826,12AA,1547.2,2.484,-0.438,-0.438,ILE
11833,12AA,1547.9,2.631,-2.192,-2.192,ILE
11840,12AA,1548.3,2.583,-2.139,-2.139,ILE
11847,12AA,1551.6,2.638,-1.121,-1.121,ILE
11848,12AA,1551,2.627,-1.053,-1.053,ILE
11824,12AA,1581.1,1.11,13.304,13.304,NLE
11825,12AA,1580.9,1.229,13.16,13.16,NLE
11826,12AA,1581.5,1.095,13.987,13.987,NLE
11833,12AA,1581.9,1.176,14.178,14.178,NLE
11840,12AA,1582.3,1.141,14.36,14.36,NLE
11847,12AA,1585.5,1.17,13.834,13.834,NLE
11848,12AA,1584.8,1.166,14.435,14.435,NLE
11824,12AA,2243.6,2.479,3.175,3.175,PHE
11825,12AA,2243.4,2.274,3.748,3.748,PHE
11826,12AA,2243.8,2.318,4.147,4.147,PHE
11833,12AA,2244.7,2.431,3.305,3.305,PHE
11840,12AA,2245.3,2.41,2.875,2.875,PHE
11847,12AA,2248.6,2.479,2.556,2.556,PHE
11848,12AA,2248.2,2.473,3.11,3.11,PHE
11824,12AA,1798.2,2.083,-4.925,-4.925,PRO
11825,12AA,1798.4,2.088,-4.97,-4.97,PRO
11826,12AA,1798.9,1.901,-5.208,-5.208,PRO
11833,12AA,1800.1,2.105,-6.084,-6.084,PRO
11840,12AA,1801.4,2.041,-5.665,-5.665,PRO
11847,12AA,1806,2.05,-5.57,-5.57,PRO
11848,12AA,1805.3,2.052,-5.537,-5.537,PRO
11824,12AA,1919.5,2.108,1.761,1.761,SER
11825,12AA,1919.5,1.968,2.294,2.294,SER
11826,12AA,1920.3,1.923,2.722,2.722,SER
11833,12AA,1921.8,2.011,0.936,0.936,SER
11840,12AA,1923.6,1.976,0.242,0.242,SER
11847,12AA,1929.3,2.025,1.597,1.597,SER
11848,12AA,1928.4,2.302,-0.234,-0.234,SER
11824,12AA,1849.4,1.76,-1.141,-1.141,THR
11825,12AA,1849.7,1.776,-0.332,-0.332,THR
11826,12AA,1850.1,1.692,-0.65,-0.65,THR
11833,12AA,1851.5,1.8,-2.382,-2.382,THR
11840,12AA,1853,1.751,-2.366,-2.366,THR
11847,12AA,1857.8,1.787,-3.002,-3.002,THR
11848,12AA,1857,1.794,-2.322,-2.322,THR
11824,12AA,2635.1,1.775,4.09,4.09,TYR
11825,12AA,2634.4,1.567,4.107,4.107,TYR
11826,12AA,2635.1,1.658,4.662,4.662,TYR
11833,12AA,2635.5,1.632,3.267,3.267,TYR
11840,12AA,2635.5,1.63,3.13,3.13,TYR
11847,12AA,2638.2,1.59,3.577,3.577,TYR
11848,12AA,2637.8,1.59,2.954,2.954,TYR
11824,12AA,1453.6,2.103,1.81,1.81,VAL
11825,12AA,1453.4,2.428,1.712,1.712,VAL
11826,12AA,1454,2.238,1.516,1.516,VAL
11833,12AA,1454.4,2.368,1.43,1.43,VAL
11840,12AA,1454.8,2.365,0.585,0.585,VAL
