UAM ID,Year,Region,Total Length,Type,Age,Sex,Lifestage,Notes,Place Holder,Lat,Long
11774,1972,SC,1130,Total Length,,F,,,1,60.25,-147.4666667
11743,1973,SC,137,Standard Length,,M,,,1,60.4,-147.6166667
11771,1972,SC,1320,Total Length,,F,,,1,60.25,-147.4666667
11921,1972,SC,147.5,Standard Length,,F,,,1,60.45,-144.9166667
11920,1975,SC,148.3,Standard Length,,F,,,1,60.33333333,-145.1666667
11475,1962,SC,,,Adult,M,,,1,59.25,-151.25
5260,1952,SC,,,,F,,,1,60,-149.1666667
3702,1955,SC,,,,F,,,1,60.5,-145.75
82369,2014,SC,1356,Yakutat,,F,,,UWBM,59.5278,-139.7673
82370,2014,SC,1118,Yakutat,,F,,,UWBM,59.5278,-139.7673
82371,2014,SC,1181,Yakutat,,F,,,UWBM,59.5278,-139.7673
82372,2014,SC,1220,Yakutat,,F,,,UWBM,59.5278,-139.7673
