"","X","Sample.ID","NLE.mean","ALA.mean","VAL.mean","ILE.mean","ASP.mean","PHE.mean","GLU.mean","TYR.mean","THR.mean","SER.mean","PRO.mean","GLY.mean","years","Location.2","Length","Sex","Lat","Long","State","Museum","N.quantity..ug.","d15N","C.quantity..ug.","d13C","Year","d13C.s","TP.GLU","TP.ALA","TP.ASP","TP.VAL","TP.PRO","TPmean"
"16",16,"BM_36045",13.46425,22.39358333,22.61991667,NA,24.793375,10.8456686,26.41679167,NA,-35.38148604,11.74627083,26.954,7.466333333,1989,"Inland",NA,"",48.3683,-124.6236,"WA",NA,NA,NA,NA,NA,1990,NA,4.27677113595041,5.84646940284091,4.48761727418033,2.62639581398467,3.22245710706806,4.09194214680488
"17",17,"BM_36047",14.86472788,21.98424055,28.25054296,NA,24.94667053,12.05071735,27.56863402,NA,-25.93844029,21.08433333,28.58533333,8.454333333,1989,"Inland",122,"M",48.26,-124.68139,"WA",NA,NA,NA,NA,NA,1990,NA,4.26138085495868,5.82530776647727,4.47235314303279,2.61926085613027,3.21270724319372,4.07820197275854
"18",18,"BM_39398",18.60311082,20.91485137,25.39129124,NA,24.29569459,10.52203436,25.20052534,NA,-24.57307002,20.24481658,20.90433333,9.402333333,1980,"Inland",92,"F",47.8628,-122.5133,"WA",NA,NA,NA,NA,NA,1981,NA,4.01857177107438,5.49144527613636,4.23153429754098,2.50669419272031,3.05888578167539,3.86142626382948
"19",19,"BM_51206",13.61477149,22.44895314,20.38706913,NA,25.33427482,10.83458935,28.19609488,NA,-32.9836177,18.10276203,25.212,8.280777778,1980,"Inland",NA,"M",47.3192,-122.4253,"WA","UWBM",48.2056,17.4742,132.7419,-11.8316,1981,-12.3126914273121,4.79465035991736,6.55855333579545,5.00125158647541,2.86648541590038,3.55053766256544,4.55429567213081
"20",20,"BM_51213",13.69705477,22.09291838,23.06769674,NA,26.55854854,13.83063574,28.89579381,NA,-14.90018686,16.6,24.90433333,12.192,1983,"Inland",109,"M",47.2901,-122.6664,"WA","UWBM",44.9625,19.7667,125.3317,-10.4525,1984,-10.974181542365,4.13041762355372,5.64523332329545,4.3424633807377,2.558546101341,3.12974100759162,3.9612802873039
"21",21,"BM_80771",NA,21.95654997,19.64423783,NA,11.34849427,10.220875,24.99494172,NA,-29.471875,15.20503007,26.891,10.83833333,2004,"Inland",NA,"M",48.1742,-122.5281,"WA",NA,NA,NA,NA,NA,2005,NA,4.04621764628099,5.52945835454545,4.25895356721311,2.51951086283525,3.07639966073298,3.88610801832156
"22",22,"BM_80772",12.70969713,21.21378115,17.98875427,NA,22.64773557,11.41245017,27.21916125,NA,-21.22917955,17.68381701,25.19966667,8.266666667,2007,"Inland",NA,"F",48.5369,-122.5283,"WA","UWBM",46.7091,16.5705,127.7654,-10.9489,2008,-11.9462056868277,4.34491642809917,5.94016917954545,4.55520399836065,2.65798807586207,3.26562768481675,4.15278107333682
"23",23,"BM_80773",15.01376976,19.70325515,26.99023797,NA,24.10649012,11.99954553,26.10441796,NA,NA,14.22407259,24.383,7.808,2007,"Coastal",NA,"F",46.4913,-124.0501,"WA",NA,NA,NA,NA,NA,2008,NA,3.85264905,5.26330153465909,4.06697159877049,2.42977216494253,2.95377243481675,3.71329335663777
"24",24,"BM_80774",21.6492238,23.08981143,26.0357268,NA,22.42353823,11.29791967,26.26323411,NA,NA,NA,NA,8.536666667,1994,"Coastal",NA,"F",46.2693,-124.0801,"WA",NA,NA,NA,NA,NA,1995,NA,4.10153723471074,5.60552278863636,4.31381971639344,2.54515710881226,3.11144505445026,3.93549638060061
"25",25,"BM_80776",13.38510184,21.88332889,21.2483434,NA,21.01889518,11.80008333,26.13492101,NA,-31.4925,18.97241667,25.71966667,10.94433333,2006,"Inland",NA,"F",47.5958,-122.5058,"WA","UWBM",36.0278,17.5523,106.1348,-12.3599,2007,-13.3306387015099,3.91916792396694,5.35476498636363,4.13294523606557,2.46061041685824,2.99591266387434,3.77268024542575
