"","yr","value"
"1",1957,4799.52638539887
"2",1958,5186.98243125714
"3",1959,5878.03791784454
"4",1960,6815.67788793593
"5",1961,7726.82640404981
"6",1962,8764.14372565133
"7",1963,10305.5056818795
"8",1964,11829.3844668484
"9",1965,12545.2864605432
"10",1966,13782.8883278696
"11",1967,14309.4188263413
"12",1968,13666.1237316296
"13",1969,15872.9258955968
"14",1970,17599.4274943711
"15",1971,17947.3167686642
"16",1972,17930.5368813739
"17",1973,19684.2097362852
"18",1974,20036.3881310016
"19",1975,20552.4721540094
"20",1976,20163.9127429382
"21",1977,22418.2359444188
"22",1978,22826.416112097
"23",1979,22019.867201775
"24",1980,20486.0872486465
"25",1981,20467.6825835402
"26",1982,4799.52638539887
"27",1983,5186.98243125714
"28",1984,5878.03791784454
"29",1985,6815.67788793593
"30",1986,7726.82640404981
"31",1987,8764.14372565133
"32",1988,10305.5056818795
"33",1989,11829.3844668484
"34",1990,12545.2864605432
"35",1991,13782.8883278696
"36",1992,14309.4188263413
"37",1993,13666.1237316296
"38",1994,15872.9258955968
"39",1995,17599.4274943711
"40",1996,17947.3167686642
"41",1997,17930.5368813739
"42",1998,19684.2097362852
"43",1999,20036.3881310016
"44",2000,20552.4721540094
"45",2001,20163.9127429382
"46",2002,22418.2359444188
"47",2003,22826.416112097
"48",2004,22019.867201775
"49",2005,20486.0872486465
"50",2006,20467.6825835402
"51",2007,4799.52638539887
"52",2008,5186.98243125714
"53",2009,5878.03791784454
"54",2010,6815.67788793593
"55",2011,7726.82640404981
"56",2012,8764.14372565133
"57",2013,10305.5056818795
