"","Year","Count"
"4",1971,18693
"5",1972,31441
"6",1973,19755
"7",1974,14049
"8",1975,19696
"9",1976,29209
"10",1977,12355
"11",1978,22789
"12",1979,7315
"13",1980,8886
"14",1981,3258
"15",1982,5374
"16",1983,2038
"17",1984,2993
"18",1985,1341
"19",1986,3639
"20",1987,2748
"21",1988,6657
"22",1989,986
"23",1990,770
"24",1991,1056
"25",1992,2953
"26",1993,1228
"27",1994,2198
"28",1995,9757
"29",1996,20682
"30",1997,9264
"31",1998,4552
"32",1999,4386
"33",2000,8788
"34",2001,15224
"35",2002,17609
"36",2003,41925
"37",2004,78845
"38",2005,24930
"39",2006,34599
"40",2007,13758
"41",2008,18561
"42",2009,12265
"43",2010,21712
"44",2011,12589
"45",2012,36159
"46",2013,37345
