Year,Month,Discharge
1908,1,75180
1908,2,66180
1908,3,115500
1908,4,182600
1908,5,344400
1908,6,537000
1908,7,413300
1908,8,203900
1908,9,120900
1908,10,90430
1908,11,87980
1908,12,78280
1909,1,79340
1909,2,102600
1909,3,108400
1909,4,150000
1909,5,231300
1909,6,592100
1909,7,421500
1909,8,202900
1909,9,129100
1909,10,100500
1909,11,127800
1909,12,141400
1910,1,107800
1910,2,92360
1910,3,271900
1910,4,321800
1910,5,492700
1910,6,396900
1910,7,237700
1910,8,160500
1910,9,93240
1910,10,102000
1910,11,121200
1910,12,113100
1911,1,78980
1911,2,79250
1911,3,104400
1911,4,153900
1911,5,305900
1911,6,503000
1911,7,377700
1911,8,186900
1911,9,120000
1911,10,84890
1911,11,78100
1911,12,69790
1912,1,80840
1912,2,110200
1912,3,81900
1912,4,181100
1912,5,372400
1912,6,522400
1912,7,305200
1912,8,179700
1912,9,128500
1912,10,89250
1912,11,93340
1912,12,79310
1913,1,74910
1913,2,76350
1913,3,98060
1913,4,228100
1913,5,376000
1913,6,694400
1913,7,392100
1913,8,209800
1913,9,141000
1913,10,110300
1913,11,100900
1913,12,82630
1914,1,95350
1914,2,89840
1914,3,149500
1914,4,217600
1914,5,375000
1914,6,422600
1914,7,316000
1914,8,167600
1914,9,109000
1914,10,104200
1914,11,120600
1914,12,89550
1915,1,70300
1915,2,71100
1915,3,84140
1915,4,167200
1915,5,252900
1915,6,265800
1915,7,223500
1915,8,185500
1915,9,122100
1915,10,77170
1915,11,84260
1915,12,85570
1916,1,70750
1916,2,132900
1916,3,198500
1916,4,268500
1916,5,390400
1916,6,531600
1916,7,599200
1916,8,258700
1916,9,155500
1916,10,101100
1916,11,84610
1916,12,74190
1917,1,66470
1917,2,68290
1917,3,69920
1917,4,177500
1917,5,391000
1917,6,656600
1917,7,478500
1917,8,203800
1917,9,123400
1917,10,101000
1917,11,77200
1917,12,129300
1918,1,215700
1918,2,131600
1918,3,126500
1918,4,207600
1918,5,400700
1918,6,417500
1918,7,339300
1918,8,181900
1918,9,120600
1918,10,103000
1918,11,85040
1918,12,75400
1919,1,81990
1919,2,92030
1919,3,105500
1919,4,213900
1919,5,336300
1919,6,403000
1919,7,284600
1919,8,170400
1919,9,109200
1919,10,71990
1919,11,66080
1919,12,65050
1920,1,78720
1920,2,76770
1920,3,77850
1920,4,117600
1920,5,252300
1920,6,361800
1920,7,375600
1920,8,213900
1920,9,120000
1920,10,133000
1920,11,110700
1920,12,98510
1921,1,125200
1921,2,129500
1921,3,193200
1921,4,219000
1921,5,449900
1921,6,660600
1921,7,347000
1921,8,181800
1921,9,108800
1921,10,86310
1921,11,99690
1921,12,124100
1922,1,78590
1922,2,74290
1922,3,87180
1922,4,164400
1922,5,329100
1922,6,579400
1922,7,291800
1922,8,161000
1922,9,119300
1922,10,86450
1922,11,77090
1922,12,70050
1923,1,108200
1923,2,71450
1923,3,84050
1923,4,175700
1923,5,320800
1923,6,507400
1923,7,352200
1923,8,173800
1923,9,120900
1923,10,85480
1923,11,73380
1923,12,75190
1924,1,67430
1924,2,119400
1924,3,93990
1924,4,102700
1924,5,301400
1924,6,291800
1924,7,195500
1924,8,132400
1924,9,102700
1924,10,73970
1924,11,85700
1924,12,78730
1925,1,95220
1925,2,159500
1925,3,126400
1925,4,270400
1925,5,467200
1925,6,472200
1925,7,314500
1925,8,166600
1925,9,106300
1925,10,84110
1925,11,71700
1925,12,73540
1926,1,66910
1926,2,91000
1926,3,97300
1926,4,140100
1926,5,245400
1926,6,180600
1926,7,163800
1926,8,108100
1926,9,92500
1926,10,85070
1926,11,102300
1926,12,122700
1927,1,97760
1927,2,121300
1927,3,120000
1927,4,146800
1927,5,328600
1927,6,597800
1927,7,401400
1927,8,193100
1927,9,153400
1927,10,155600
1927,11,200800
1927,12,184200
1928,1,149700
1928,2,121200
1928,3,164300
1928,4,204000
1928,5,495200
1928,6,504300
1928,7,314400
1928,8,172900
1928,9,103700
1928,10,87180
1928,11,79680
1928,12,65640
1929,1,58770
1929,2,58070
1929,3,86600
1929,4,104800
1929,5,214600
1929,6,384100
1929,7,219700
1929,8,136700
1929,9,94440
1929,10,69430
1929,11,62690
1929,12,62900
1930,1,48740
1930,2,83170
1930,3,75590
1930,4,147200
1930,5,247800
1930,6,296600
1930,7,230600
1930,8,149100
1930,9,100800
1930,10,76470
1930,11,64450
1930,12,59350
1931,1,54870
1931,2,56920
1931,3,76190
1931,4,132800
1931,5,245800
1931,6,272600
