time,Month,Year,MEI
11/1/61 0:00,11,1961,-0.433
12/1/61 0:00,12,1961,-0.608
1/1/62 0:00,1,1962,-1.065
2/1/62 0:00,2,1962,-0.963
3/1/62 0:00,3,1962,-0.692
4/1/62 0:00,4,1962,-1.04
5/1/62 0:00,5,1962,-0.89
6/1/62 0:00,6,1962,-0.87
7/1/62 0:00,7,1962,-0.683
8/1/62 0:00,8,1962,-0.538
9/1/62 0:00,9,1962,-0.56
10/1/62 0:00,10,1962,-0.671
11/1/62 0:00,11,1962,-0.617
12/1/62 0:00,12,1962,-0.482
1/1/63 0:00,1,1963,-0.718
2/1/63 0:00,2,1963,-0.837
3/1/63 0:00,3,1963,-0.675
4/1/63 0:00,4,1963,-0.761
5/1/63 0:00,5,1963,-0.473
6/1/63 0:00,6,1963,-0.144
7/1/63 0:00,7,1963,0.404
8/1/63 0:00,8,1963,0.59
9/1/63 0:00,9,1963,0.734
10/1/63 0:00,10,1963,0.805
11/1/63 0:00,11,1963,0.837
12/1/63 0:00,12,1963,0.765
1/1/64 0:00,1,1964,0.878
2/1/64 0:00,2,1964,0.481
3/1/64 0:00,3,1964,-0.256
4/1/64 0:00,4,1964,-0.545
5/1/64 0:00,5,1964,-1.234
6/1/64 0:00,6,1964,-1.15
7/1/64 0:00,7,1964,-1.384
8/1/64 0:00,8,1964,-1.486
9/1/64 0:00,9,1964,-1.309
10/1/64 0:00,10,1964,-1.216
11/1/64 0:00,11,1964,-1.229
12/1/64 0:00,12,1964,-0.907
1/1/65 0:00,1,1965,-0.536
2/1/65 0:00,2,1965,-0.329
3/1/65 0:00,3,1965,-0.259
4/1/65 0:00,4,1965,0.086
5/1/65 0:00,5,1965,0.464
6/1/65 0:00,6,1965,0.867
7/1/65 0:00,7,1965,1.367
8/1/65 0:00,8,1965,1.425
9/1/65 0:00,9,1965,1.379
10/1/65 0:00,10,1965,1.202
11/1/65 0:00,11,1965,1.343
12/1/65 0:00,12,1965,1.27
1/1/66 0:00,1,1966,1.307
2/1/66 0:00,2,1966,1.186
3/1/66 0:00,3,1966,0.689
4/1/66 0:00,4,1966,0.515
5/1/66 0:00,5,1966,-0.178
6/1/66 0:00,6,1966,-0.193
7/1/66 0:00,7,1966,-0.116
8/1/66 0:00,8,1966,0.152
9/1/66 0:00,9,1966,-0.094
10/1/66 0:00,10,1966,-0.05
11/1/66 0:00,11,1966,-0.003
12/1/66 0:00,12,1966,-0.181
1/1/67 0:00,1,1967,-0.462
2/1/67 0:00,2,1967,-0.898
3/1/67 0:00,3,1967,-1.05
4/1/67 0:00,4,1967,-1.03
5/1/67 0:00,5,1967,-0.448
6/1/67 0:00,6,1967,-0.236
7/1/67 0:00,7,1967,-0.492
8/1/67 0:00,8,1967,-0.391
9/1/67 0:00,9,1967,-0.627
10/1/67 0:00,10,1967,-0.677
11/1/67 0:00,11,1967,-0.424
12/1/67 0:00,12,1967,-0.357
1/1/68 0:00,1,1968,-0.602
2/1/68 0:00,2,1968,-0.727
3/1/68 0:00,3,1968,-0.635
4/1/68 0:00,4,1968,-0.944
5/1/68 0:00,5,1968,-1.093
6/1/68 0:00,6,1968,-0.812
7/1/68 0:00,7,1968,-0.503
8/1/68 0:00,8,1968,-0.104
9/1/68 0:00,9,1968,0.213
10/1/68 0:00,10,1968,0.424
11/1/68 0:00,11,1968,0.582
12/1/68 0:00,12,1968,0.367
1/1/69 0:00,1,1969,0.67
2/1/69 0:00,2,1969,0.849
