UTC,Year,Month,DAY,degrees_north,degrees_east,Upwelling Index,Upwelling Index Anomaly
8/15/58 0:00,1958,8,15,45,235,63,13
9/15/58 0:00,1958,9,15,45,235,7,-9
10/15/58 0:00,1958,10,15,45,235,-8,12
11/15/58 0:00,1958,11,15,45,235,-26,48
12/15/58 0:00,1958,12,15,45,235,-120,-27
1/15/59 0:00,1959,1,15,45,235,-85,9
2/15/59 0:00,1959,2,15,45,235,-16,31
3/15/59 0:00,1959,3,15,45,235,-9,6
4/15/59 0:00,1959,4,15,45,235,21,12
5/15/59 0:00,1959,5,15,45,235,33,-1
6/15/59 0:00,1959,6,15,45,235,30,-18
7/15/59 0:00,1959,7,15,45,235,102,28
8/15/59 0:00,1959,8,15,45,235,90,40
9/15/59 0:00,1959,9,15,45,235,3,-13
10/15/59 0:00,1959,10,15,45,235,0,20
11/15/59 0:00,1959,11,15,45,235,-14,60
12/15/59 0:00,1959,12,15,45,235,-56,37
1/15/60 0:00,1960,1,15,45,235,-103,-9
2/15/60 0:00,1960,2,15,45,235,-27,20
3/15/60 0:00,1960,3,15,45,235,-16,-1
4/15/60 0:00,1960,4,15,45,235,-25,-34
5/15/60 0:00,1960,5,15,45,235,-11,-45
6/15/60 0:00,1960,6,15,45,235,65,17
7/15/60 0:00,1960,7,15,45,235,56,-18
8/15/60 0:00,1960,8,15,45,235,41,-9
9/15/60 0:00,1960,9,15,45,235,26,10
10/15/60 0:00,1960,10,15,45,235,-39,-19
11/15/60 0:00,1960,11,15,45,235,-87,-13
12/15/60 0:00,1960,12,15,45,235,-87,6
1/15/61 0:00,1961,1,15,45,235,-253,-159
2/15/61 0:00,1961,2,15,45,235,-134,-87
3/15/61 0:00,1961,3,15,45,235,-91,-76
4/15/61 0:00,1961,4,15,45,235,11,2
5/15/61 0:00,1961,5,15,45,235,1,-33
6/15/61 0:00,1961,6,15,45,235,21,-27
7/15/61 0:00,1961,7,15,45,235,51,-23
8/15/61 0:00,1961,8,15,45,235,33,-17
9/15/61 0:00,1961,9,15,45,235,42,26
10/15/61 0:00,1961,10,15,45,235,2,22
11/15/61 0:00,1961,11,15,45,235,-54,20
12/15/61 0:00,1961,12,15,45,235,-39,54
1/15/62 0:00,1962,1,15,45,235,-21,73
2/15/62 0:00,1962,2,15,45,235,-20,27
3/15/62 0:00,1962,3,15,45,235,-6,9
4/15/62 0:00,1962,4,15,45,235,-7,-16
5/15/62 0:00,1962,5,15,45,235,42,8
6/15/62 0:00,1962,6,15,45,235,29,-19
7/15/62 0:00,1962,7,15,45,235,107,33
8/15/62 0:00,1962,8,15,45,235,21,-29
9/15/62 0:00,1962,9,15,45,235,11,-5
10/15/62 0:00,1962,10,15,45,235,-19,1
11/15/62 0:00,1962,11,15,45,235,-113,-39
12/15/62 0:00,1962,12,15,45,235,-99,-6
1/15/63 0:00,1963,1,15,45,235,13,107
2/15/63 0:00,1963,2,15,45,235,-121,-74
3/15/63 0:00,1963,3,15,45,235,-3,12
4/15/63 0:00,1963,4,15,45,235,-9,-18
5/15/63 0:00,1963,5,15,45,235,8,-26
6/15/63 0:00,1963,6,15,45,235,72,24
7/15/63 0:00,1963,7,15,45,235,38,-36
8/15/63 0:00,1963,8,15,45,235,35,-15
9/15/63 0:00,1963,9,15,45,235,-5,-21
10/15/63 0:00,1963,10,15,45,235,-61,-41
11/15/63 0:00,1963,11,15,45,235,-55,19
12/15/63 0:00,1963,12,15,45,235,-92,1
1/15/64 0:00,1964,1,15,45,235,-118,-24
2/15/64 0:00,1964,2,15,45,235,13,60
3/15/64 0:00,1964,3,15,45,235,2,17
4/15/64 0:00,1964,4,15,45,235,57,48
5/15/64 0:00,1964,5,15,45,235,45,11
6/15/64 0:00,1964,6,15,45,235,32,-16
7/15/64 0:00,1964,7,15,45,235,51,-23
8/15/64 0:00,1964,8,15,45,235,40,-10
9/15/64 0:00,1964,9,15,45,235,32,16
10/15/64 0:00,1964,10,15,45,235,-21,-1
11/15/64 0:00,1964,11,15,45,235,-48,26
12/15/64 0:00,1964,12,15,45,235,-95,-2
1/15/65 0:00,1965,1,15,45,235,-89,5
2/15/65 0:00,1965,2,15,45,235,-3,44
3/15/65 0:00,1965,3,15,45,235,10,25
4/15/65 0:00,1965,4,15,45,235,5,-4
5/15/65 0:00,1965,5,15,45,235,84,50
6/15/65 0:00,1965,6,15,45,235,103,55
7/15/65 0:00,1965,7,15,45,235,99,25
8/15/65 0:00,1965,8,15,45,235,48,-2
9/15/65 0:00,1965,9,15,45,235,75,59
