time,Year,Month,ONI
6/1/11 0:00,2011,6,-0.38
7/1/11 0:00,2011,7,-0.46
8/1/11 0:00,2011,8,-0.65
9/1/11 0:00,2011,9,-0.89
10/1/11 0:00,2011,10,-1.06
11/1/11 0:00,2011,11,-1.14
12/1/11 0:00,2011,12,-1.03
1/1/12 0:00,2012,1,-0.81
2/1/12 0:00,2012,2,-0.62
3/1/12 0:00,2012,3,-0.5
4/1/12 0:00,2012,4,-0.38
5/1/12 0:00,2012,5,-0.18
6/1/12 0:00,2012,6,0.05
7/1/12 0:00,2012,7,0.27
8/1/12 0:00,2012,8,0.33
9/1/12 0:00,2012,9,0.31
10/1/12 0:00,2012,10,0.21
11/1/12 0:00,2012,11,0.01
12/1/12 0:00,2012,12,-0.21
1/1/13 0:00,2013,1,-0.38
2/1/13 0:00,2013,2,-0.33
3/1/13 0:00,2013,3,-0.24
4/1/13 0:00,2013,4,-0.21
5/1/13 0:00,2013,5,-0.27
6/1/13 0:00,2013,6,-0.34
7/1/13 0:00,2013,7,-0.38
8/1/13 0:00,2013,8,-0.35
9/1/13 0:00,2013,9,-0.31
10/1/13 0:00,2013,10,-0.23
11/1/13 0:00,2013,11,-0.22
12/1/13 0:00,2013,12,-0.27
1/1/14 0:00,2014,1,-0.37
2/1/14 0:00,2014,2,-0.36
3/1/14 0:00,2014,3,-0.17
4/1/14 0:00,2014,4,0.13
5/1/14 0:00,2014,5,0.3
6/1/14 0:00,2014,6,0.23
7/1/14 0:00,2014,7,0.07
8/1/14 0:00,2014,8,0.03
9/1/14 0:00,2014,9,0.18
10/1/14 0:00,2014,10,0.44
11/1/14 0:00,2014,11,0.59
12/1/14 0:00,2014,12,0.66
1/1/15 0:00,2015,1,0.6
2/1/15 0:00,2015,2,0.56
3/1/15 0:00,2015,3,0.62
4/1/15 0:00,2015,4,0.79
5/1/15 0:00,2015,5,1.02
6/1/15 0:00,2015,6,1.25
7/1/15 0:00,2015,7,1.54
8/1/15 0:00,2015,8,1.83
9/1/15 0:00,2015,9,2.11
10/1/15 0:00,2015,10,2.37
11/1/15 0:00,2015,11,2.53
12/1/15 0:00,2015,12,2.64
1/1/16 0:00,2016,1,2.53
2/1/16 0:00,2016,2,2.23
3/1/16 0:00,2016,3,1.68
4/1/16 0:00,2016,4,1.03
5/1/16 0:00,2016,5,0.48
6/1/16 0:00,2016,6,0
7/1/16 0:00,2016,7,-0.34
8/1/16 0:00,2016,8,-0.57
9/1/16 0:00,2016,9,-0.68
10/1/16 0:00,2016,10,-0.74
11/1/16 0:00,2016,11,-0.71
12/1/16 0:00,2016,12,-0.56
1/1/17 0:00,2017,1,-0.29
2/1/17 0:00,2017,2,-0.06
3/1/17 0:00,2017,3,0.15
4/1/17 0:00,2017,4,0.29
5/1/17 0:00,2017,5,0.39
6/1/17 0:00,2017,6,0.38
7/1/17 0:00,2017,7,0.16
8/1/17 0:00,2017,8,-0.14
9/1/17 0:00,2017,9,-0.44
10/1/17 0:00,2017,10,-0.7
11/1/17 0:00,2017,11,-0.88
12/1/17 0:00,2017,12,-0.97
1/1/18 0:00,2018,1,-0.87
2/1/18 0:00,2018,2,-0.76
3/1/18 0:00,2018,3,-0.6
4/1/18 0:00,2018,4,-0.41
5/1/18 0:00,2018,5,-0.13
6/1/18 0:00,2018,6,0.06
7/1/18 0:00,2018,7,0.11
8/1/18 0:00,2018,8,0.2
9/1/18 0:00,2018,9,0.43
10/1/18 0:00,2018,10,0.7
11/1/18 0:00,2018,11,0.85
12/1/18 0:00,2018,12,0.82
