Year,Cedar River,Coweeman River,Elochoman River,Grays and Chinook Rivers,Green River,Kalama River,Lewis River (13),Lewis River (14),Lower Cowlitz River,Toutle River,Upper Gorge Tributaries,White Salmon River,Cedar River,Greem River,Lower Sauk River,Lower Skagit River,Mid-Hood Canal,Nisqually River,Puyallup River,Skokomish River,Skykomish,Snoqualmie River,Suiattle River,Upper Sauk River,Upper Skagit River,White River,McKenzie River
2005,866,853,2699,122,2619,9168,9775,598,2870,3303,452,1448,866,2619,891,3387,47,2265,1092,2049,3204,1299,518,308,16698,4119,2658
2006,1538,566,324,383,6322,10386,5066,427,2944,5752,235,755,1538,6322,1232,3633,37,2273,2315,1400,5898,2718,378,1135,16835,8055,2585
2007,2223,251,168,96,4313,3296,3708,237,1847,1149,263,898,2223,4313,392,1101,77,1769,3031,641,2651,2478,108,290,10125,10734,3285
2008,1530,424,1320,95,6571,3734,5485,379,1828,1725,181,770,1530,6571,555,2689,284,3527,2776,1279,5946,3726,207,983,8692,4869,2105
2009,744,783,1467,555,701,7546,6283,596,2602,539,343,964,744,701,257,1468,139,907,1551,1130,1416,899,275,373,5437,2415,1883
2010,715,639,1318,159,2273,7057,9294,426,4488,2139,1815,1505,715,2273,380,1083,92,2099,1643,1396,2608,1836,266,784,6894,2572,2789
2011,857,566,1127,405,1067,8869,8205,870,3685,1608,,379,857,1067,226,835,322,2373,1514,1509,1208,722,217,351,4569,7484,3266
2012,1128,413,172,208,3179,8007,8143,566,2725,908,,755,1128,3179,736,3360,453,3769,775,1825,3813,1409,465,1867,9947,5747,2524
2013,1934,2035,637,2033,2149,12061,15197,1540,4436,2283,,1232,1934,2149,552,1439,728,2350,810,1822,2413,915,625,1103,8548,4120,1662
2014,,890,869,729,2890,11537,,942,,745,,1704,,2890,,,,,1504,,,,,,,1106,1522
