Year,Count,Group
1977,1602,SkokomishRiver
1978,183,SkokomishRiver
1979,1285,SkokomishRiver
1980,504,SkokomishRiver
1981,157,SkokomishRiver
1982,293,SkokomishRiver
1983,1154,SkokomishRiver
1984,1628,SkokomishRiver
1985,3193,SkokomishRiver
1986,2970,SkokomishRiver
1987,2406,SkokomishRiver
1988,2694,SkokomishRiver
1989,1412,SkokomishRiver
1990,692,SkokomishRiver
1991,1892,SkokomishRiver
1992,924,SkokomishRiver
1993,1096,SkokomishRiver
1994,730,SkokomishRiver
1995,1490,SkokomishRiver
1996,1037,SkokomishRiver
1997,546,SkokomishRiver
1998,1936,SkokomishRiver
1999,1740,SkokomishRiver
2000,1137,SkokomishRiver
2001,1941,SkokomishRiver
2002,1500,SkokomishRiver
2003,1129,SkokomishRiver
2004,2441,SkokomishRiver
2005,2049,SkokomishRiver
2006,1400,SkokomishRiver
2007,641,SkokomishRiver
2008,1279,SkokomishRiver
2009,1130,SkokomishRiver
2010,1396,SkokomishRiver
2011,1509,SkokomishRiver
2012,1825,SkokomishRiver
2013,1822,SkokomishRiver
2014,,SkokomishRiver
1952,,SkykomishRiver
1953,,SkykomishRiver
1954,,SkykomishRiver
1955,,SkykomishRiver
1956,,SkykomishRiver
1957,,SkykomishRiver
1958,,SkykomishRiver
1959,,SkykomishRiver
1960,,SkykomishRiver
1961,,SkykomishRiver
1962,,SkykomishRiver
1963,,SkykomishRiver
1964,,SkykomishRiver
1965,4742,SkykomishRiver
1966,6622,SkykomishRiver
1967,2946,SkykomishRiver
1968,4410,SkykomishRiver
1969,3177,SkykomishRiver
1970,4737,SkykomishRiver
1971,6888,SkykomishRiver
1972,2812,SkykomishRiver
1973,3686,SkykomishRiver
1974,4768,SkykomishRiver
1975,3112,SkykomishRiver
1976,3322,SkykomishRiver
1977,4640,SkykomishRiver
1978,6002,SkykomishRiver
1979,5281,SkykomishRiver
1980,5368,SkykomishRiver
1981,2476,SkykomishRiver
1982,3752,SkykomishRiver
1983,2896,SkykomishRiver
1984,2448,SkykomishRiver
1985,3664,SkykomishRiver
1986,3466,SkykomishRiver
1987,3884,SkykomishRiver
1988,4096,SkykomishRiver
1989,2221,SkykomishRiver
1990,2993,SkykomishRiver
1991,2207,SkykomishRiver
1992,2059,SkykomishRiver
1993,1681,SkykomishRiver
1994,2972,SkykomishRiver
1995,2877,SkykomishRiver
1996,4170,SkykomishRiver
1997,2161,SkykomishRiver
1998,4524,SkykomishRiver
1999,3476,SkykomishRiver
2000,4821,SkykomishRiver
2001,4628,SkykomishRiver
2002,4436,SkykomishRiver
2003,3490,SkykomishRiver
2004,7703,SkykomishRiver
2005,3204,SkykomishRiver
2006,5898,SkykomishRiver
2007,2651,SkykomishRiver
2008,5946,SkykomishRiver
2009,1416,SkykomishRiver
2010,2608,SkykomishRiver
2011,1208,SkykomishRiver
2012,3813,SkykomishRiver
2013,2413,SkykomishRiver
2014,,SkykomishRiver
1952,,SnoqualmieRiver
1953,,SnoqualmieRiver
1954,,SnoqualmieRiver
1955,,SnoqualmieRiver
1956,,SnoqualmieRiver
1957,,SnoqualmieRiver
1958,,SnoqualmieRiver
1959,,SnoqualmieRiver
1960,,SnoqualmieRiver
1961,,SnoqualmieRiver
1962,,SnoqualmieRiver
1963,,SnoqualmieRiver
1964,,SnoqualmieRiver
1965,528,SnoqualmieRiver
1966,1225,SnoqualmieRiver
1967,324,SnoqualmieRiver
1968,781,SnoqualmieRiver
1969,444,SnoqualmieRiver
1970,827,SnoqualmieRiver
1971,805,SnoqualmieRiver
1972,370,SnoqualmieRiver
1973,672,SnoqualmieRiver
1974,1103,SnoqualmieRiver
1975,937,SnoqualmieRiver
1976,1501,SnoqualmieRiver
1977,1016,SnoqualmieRiver
1978,2118,SnoqualmieRiver
1979,463,SnoqualmieRiver
1980,1326,SnoqualmieRiver
1981,965,SnoqualmieRiver
1982,828,SnoqualmieRiver
1983,1767,SnoqualmieRiver
1984,1121,SnoqualmieRiver
1985,1181,SnoqualmieRiver
1986,1168,SnoqualmieRiver
1987,879,SnoqualmieRiver
1988,538,SnoqualmieRiver
1989,965,SnoqualmieRiver
1990,1300,SnoqualmieRiver
1991,658,SnoqualmieRiver
1992,729,SnoqualmieRiver
1993,2448,SnoqualmieRiver
1994,779,SnoqualmieRiver
1995,413,SnoqualmieRiver
1996,1032,SnoqualmieRiver
1997,1939,SnoqualmieRiver
1998,1954,SnoqualmieRiver
1999,1458,SnoqualmieRiver
2000,1438,SnoqualmieRiver
2001,3603,SnoqualmieRiver
2002,2920,SnoqualmieRiver
2003,1987,SnoqualmieRiver
2004,3121,SnoqualmieRiver
2005,1299,SnoqualmieRiver
2006,2718,SnoqualmieRiver
2007,2478,SnoqualmieRiver
2008,3726,SnoqualmieRiver
2009,899,SnoqualmieRiver
2010,1836,SnoqualmieRiver
2011,722,SnoqualmieRiver
2012,1409,SnoqualmieRiver
2013,915,SnoqualmieRiver
2014,,SnoqualmieRiver
1952,292,SuiattleRiver
1953,510,SuiattleRiver
1954,423,SuiattleRiver
1955,546,SuiattleRiver
1956,1211,SuiattleRiver
1957,915,SuiattleRiver
1958,454,SuiattleRiver
1959,1050,SuiattleRiver
1960,622,SuiattleRiver
1961,934,SuiattleRiver
1962,1291,SuiattleRiver
1963,706,SuiattleRiver
1964,480,SuiattleRiver
1965,1068,SuiattleRiver
1966,949,SuiattleRiver
1967,833,SuiattleRiver
1968,763,SuiattleRiver
1969,844,SuiattleRiver
1970,1027,SuiattleRiver
1971,1479,SuiattleRiver
1972,1807,SuiattleRiver
1973,584,SuiattleRiver
1974,357,SuiattleRiver
1975,331,SuiattleRiver
1976,464,SuiattleRiver
1977,410,SuiattleRiver
1978,536,SuiattleRiver
1979,410,SuiattleRiver
1980,825,SuiattleRiver
1981,655,SuiattleRiver
1982,478,SuiattleRiver
1983,359,SuiattleRiver
1984,351,SuiattleRiver
1985,721,SuiattleRiver
1986,806,SuiattleRiver
1987,729,SuiattleRiver
1988,740,SuiattleRiver
1989,536,SuiattleRiver
1990,701,SuiattleRiver
1991,358,SuiattleRiver
1992,202,SuiattleRiver
1993,296,SuiattleRiver
1994,168,SuiattleRiver
1995,440,SuiattleRiver
1996,439,SuiattleRiver
1997,430,SuiattleRiver
1998,473,SuiattleRiver
1999,208,SuiattleRiver
2000,369,SuiattleRiver
2001,702,SuiattleRiver
2002,269,SuiattleRiver
2003,357,SuiattleRiver
2004,495,SuiattleRiver
2005,518,SuiattleRiver
2006,378,SuiattleRiver
2007,108,SuiattleRiver
2008,207,SuiattleRiver
2009,275,SuiattleRiver
2010,266,SuiattleRiver
2011,217,SuiattleRiver
2012,465,SuiattleRiver
2013,625,SuiattleRiver
2014,,SuiattleRiver
1952,,ToutleRiver
1953,,ToutleRiver
1954,,ToutleRiver
1955,,ToutleRiver
1956,,ToutleRiver
1957,,ToutleRiver
1958,,ToutleRiver
1959,,ToutleRiver
1960,,ToutleRiver
1961,,ToutleRiver
1962,,ToutleRiver
1963,,ToutleRiver
1964,2494,ToutleRiver
1965,1465,ToutleRiver
1966,1348,ToutleRiver
1967,1562,ToutleRiver
1968,2515,ToutleRiver
1969,2548,ToutleRiver
1970,4170,ToutleRiver
1971,5729,ToutleRiver
1972,6597,ToutleRiver
1973,1043,ToutleRiver
1974,1516,ToutleRiver
1975,703,ToutleRiver
1976,1694,ToutleRiver
1977,1054,ToutleRiver
1978,6743,ToutleRiver
1979,4557,ToutleRiver
1980,37,ToutleRiver
1981,163,ToutleRiver
1982,9,ToutleRiver
1983,-99,ToutleRiver
1984,-99,ToutleRiver
1985,9,ToutleRiver
1986,0,ToutleRiver
1987,-99,ToutleRiver
1988,-99,ToutleRiver
1989,-99,ToutleRiver
1990,123,ToutleRiver
1991,156,ToutleRiver
1992,150,ToutleRiver
1993,184,ToutleRiver
1994,516,ToutleRiver
1995,405,ToutleRiver
1996,1376,ToutleRiver
1997,560,ToutleRiver
1998,1353,ToutleRiver
1999,720,ToutleRiver
2000,879,ToutleRiver
2001,4971,ToutleRiver
2002,7896,ToutleRiver
2003,13943,ToutleRiver
2004,4711,ToutleRiver
2005,3303,ToutleRiver
2006,5752,ToutleRiver
2007,1149,ToutleRiver
2008,1725,ToutleRiver
2009,539,ToutleRiver
2010,2139,ToutleRiver
2011,1608,ToutleRiver
2012,908,ToutleRiver
2013,2283,ToutleRiver
2014,745,ToutleRiver
1952,,UpperGorgeTributaries
1953,,UpperGorgeTributaries
1954,,UpperGorgeTributaries
1955,,UpperGorgeTributaries
1956,,UpperGorgeTributaries
1957,,UpperGorgeTributaries
1958,,UpperGorgeTributaries
1959,,UpperGorgeTributaries
1960,,UpperGorgeTributaries
1961,,UpperGorgeTributaries
1962,,UpperGorgeTributaries
1963,,UpperGorgeTributaries
1964,774,UpperGorgeTributaries
1965,83,UpperGorgeTributaries
1966,862,UpperGorgeTributaries
1967,228,UpperGorgeTributaries
1968,254,UpperGorgeTributaries
1969,29,UpperGorgeTributaries
1970,51,UpperGorgeTributaries
1971,1801,UpperGorgeTributaries
1972,1190,UpperGorgeTributaries
1973,472,UpperGorgeTributaries
1974,481,UpperGorgeTributaries
1975,556,UpperGorgeTributaries
1976,549,UpperGorgeTributaries
1977,922,UpperGorgeTributaries
1978,1322,UpperGorgeTributaries
1979,884,UpperGorgeTributaries
1980,355,UpperGorgeTributaries
1981,197,UpperGorgeTributaries
1982,361,UpperGorgeTributaries
1983,442,UpperGorgeTributaries
1984,126,UpperGorgeTributaries
1985,168,UpperGorgeTributaries
1986,403,UpperGorgeTributaries
1987,776,UpperGorgeTributaries
1988,1206,UpperGorgeTributaries
1989,112,UpperGorgeTributaries
1990,11,UpperGorgeTributaries
1991,52,UpperGorgeTributaries
1992,54,UpperGorgeTributaries
1993,0,UpperGorgeTributaries
1994,11,UpperGorgeTributaries
1995,4,UpperGorgeTributaries
1996,166,UpperGorgeTributaries
1997,148,UpperGorgeTributaries
1998,202,UpperGorgeTributaries
1999,126,UpperGorgeTributaries
2000,12,UpperGorgeTributaries
2001,407,UpperGorgeTributaries
2002,365,UpperGorgeTributaries
2003,1499,UpperGorgeTributaries
2004,754,UpperGorgeTributaries
2005,452,UpperGorgeTributaries
2006,235,UpperGorgeTributaries
2007,263,UpperGorgeTributaries
2008,181,UpperGorgeTributaries
2009,343,UpperGorgeTributaries
2010,1815,UpperGorgeTributaries
2011,,UpperGorgeTributaries
2012,,UpperGorgeTributaries
2013,,UpperGorgeTributaries
2014,,UpperGorgeTributaries
1952,1878,UpperSaukRiver
1953,804,UpperSaukRiver
1954,681,UpperSaukRiver
1955,865,UpperSaukRiver
1956,1890,UpperSaukRiver
1957,2586,UpperSaukRiver
1958,675,UpperSaukRiver
1959,752,UpperSaukRiver
1960,3425,UpperSaukRiver
1961,3321,UpperSaukRiver
1962,1674,UpperSaukRiver
1963,1296,UpperSaukRiver
1964,695,UpperSaukRiver
1965,2023,UpperSaukRiver
1966,1387,UpperSaukRiver
1967,355,UpperSaukRiver
1968,153,UpperSaukRiver
1969,981,UpperSaukRiver
1970,1108,UpperSaukRiver
1971,621,UpperSaukRiver
1972,151,UpperSaukRiver
1973,1269,UpperSaukRiver
1974,109,UpperSaukRiver
1975,302,UpperSaukRiver
1976,183,UpperSaukRiver
1977,116,UpperSaukRiver
1978,419,UpperSaukRiver
1979,416,UpperSaukRiver
1980,599,UpperSaukRiver
1981,397,UpperSaukRiver
1982,279,UpperSaukRiver
1983,227,UpperSaukRiver
1984,241,UpperSaukRiver
1985,1858,UpperSaukRiver
1986,736,UpperSaukRiver
1987,832,UpperSaukRiver
1988,880,UpperSaukRiver
1989,687,UpperSaukRiver
1990,566,UpperSaukRiver
1991,757,UpperSaukRiver
1992,584,UpperSaukRiver
1993,330,UpperSaukRiver
1994,138,UpperSaukRiver
1995,190,UpperSaukRiver
1996,414,UpperSaukRiver
1997,307,UpperSaukRiver
1998,302,UpperSaukRiver
1999,189,UpperSaukRiver
2000,394,UpperSaukRiver
2001,543,UpperSaukRiver
2002,475,UpperSaukRiver
2003,196,UpperSaukRiver
2004,724,UpperSaukRiver
2005,308,UpperSaukRiver
2006,1135,UpperSaukRiver
2007,290,UpperSaukRiver
2008,983,UpperSaukRiver
2009,373,UpperSaukRiver
2010,784,UpperSaukRiver
2011,351,UpperSaukRiver
2012,1867,UpperSaukRiver
2013,1103,UpperSaukRiver
2014,,UpperSaukRiver
1952,8498,UpperSkagitRiver
1953,9929,UpperSkagitRiver
1954,5941,UpperSkagitRiver
1955,5745,UpperSkagitRiver
1956,5656,UpperSkagitRiver
1957,5582,UpperSkagitRiver
1958,8882,UpperSkagitRiver
1959,9404,UpperSkagitRiver
1960,14771,UpperSkagitRiver
1961,5560,UpperSkagitRiver
1962,6644,UpperSkagitRiver
1963,5484,UpperSkagitRiver
1964,5440,UpperSkagitRiver
1965,7829,UpperSkagitRiver
1966,7674,UpperSkagitRiver
1967,3777,UpperSkagitRiver
1968,7440,UpperSkagitRiver
1969,5762,UpperSkagitRiver
1970,11317,UpperSkagitRiver
1971,11180,UpperSkagitRiver
1972,13844,UpperSkagitRiver
1973,9970,UpperSkagitRiver
1974,8519,UpperSkagitRiver
1975,7266,UpperSkagitRiver
1976,6905,UpperSkagitRiver
1977,5904,UpperSkagitRiver
1978,8657,UpperSkagitRiver
1979,7877,UpperSkagitRiver
1980,12610,UpperSkagitRiver
1981,4287,UpperSkagitRiver
1982,7006,UpperSkagitRiver
1983,5338,UpperSkagitRiver
1984,9831,UpperSkagitRiver
1985,13914,UpperSkagitRiver
1986,12390,UpperSkagitRiver
1987,6038,UpperSkagitRiver
1988,8244,UpperSkagitRiver
1989,4834,UpperSkagitRiver
1990,11793,UpperSkagitRiver
1991,3656,UpperSkagitRiver
1992,5633,UpperSkagitRiver
1993,4748,UpperSkagitRiver
1994,4772,UpperSkagitRiver
1995,6129,UpperSkagitRiver
1996,8243,UpperSkagitRiver
1997,4247,UpperSkagitRiver
1998,12178,UpperSkagitRiver
1999,3699,UpperSkagitRiver
2000,13418,UpperSkagitRiver
2001,10192,UpperSkagitRiver
2002,14511,UpperSkagitRiver
2003,7212,UpperSkagitRiver
2004,21183,UpperSkagitRiver
2005,16698,UpperSkagitRiver
2006,16835,UpperSkagitRiver
2007,10125,UpperSkagitRiver
2008,8692,UpperSkagitRiver
2009,5437,UpperSkagitRiver
2010,6894,UpperSkagitRiver
2011,4569,UpperSkagitRiver
2012,9947,UpperSkagitRiver
2013,8548,UpperSkagitRiver
2014,,UpperSkagitRiver
1952,,WhiteRiver
1953,,WhiteRiver
1954,,WhiteRiver
1955,,WhiteRiver
1956,,WhiteRiver
1957,,WhiteRiver
1958,,WhiteRiver
1959,,WhiteRiver
1960,,WhiteRiver
1961,,WhiteRiver
1962,,WhiteRiver
1963,,WhiteRiver
1964,,WhiteRiver
1965,1078,WhiteRiver
1966,720,WhiteRiver
1967,686,WhiteRiver
1968,513,WhiteRiver
1969,548,WhiteRiver
1970,653,WhiteRiver
1971,394,WhiteRiver
1972,439,WhiteRiver
1973,171,WhiteRiver
1974,443,WhiteRiver
1975,489,WhiteRiver
1976,247,WhiteRiver
1977,76,WhiteRiver
1978,141,WhiteRiver
1979,104,WhiteRiver
1980,58,WhiteRiver
1981,182,WhiteRiver
1982,21,WhiteRiver
1983,26,WhiteRiver
1984,7,WhiteRiver
1985,33,WhiteRiver
1986,11,WhiteRiver
1987,118,WhiteRiver
1988,149,WhiteRiver
1989,84,WhiteRiver
1990,454,WhiteRiver
1991,257,WhiteRiver
1992,911,WhiteRiver
1993,951,WhiteRiver
1994,1108,WhiteRiver
1995,1612,WhiteRiver
1996,1402,WhiteRiver
1997,1119,WhiteRiver
1998,939,WhiteRiver
1999,2393,WhiteRiver
2000,3021,WhiteRiver
2001,4304,WhiteRiver
2002,1865,WhiteRiver
2003,3117,WhiteRiver
2004,5248,WhiteRiver
2005,4119,WhiteRiver
2006,8055,WhiteRiver
2007,10734,WhiteRiver
2008,4869,WhiteRiver
2009,2415,WhiteRiver
2010,2572,WhiteRiver
2011,7484,WhiteRiver
2012,5747,WhiteRiver
2013,4120,WhiteRiver
2014,1106,WhiteRiver
1952,,WhiteSalmonRiver
1953,,WhiteSalmonRiver
1954,,WhiteSalmonRiver
1955,,WhiteSalmonRiver
1956,,WhiteSalmonRiver
1957,,WhiteSalmonRiver
1958,,WhiteSalmonRiver
1959,,WhiteSalmonRiver
1960,,WhiteSalmonRiver
1961,,WhiteSalmonRiver
1962,,WhiteSalmonRiver
1963,,WhiteSalmonRiver
1964,,WhiteSalmonRiver
1965,914,WhiteSalmonRiver
1966,2865,WhiteSalmonRiver
1967,1212,WhiteSalmonRiver
1968,575,WhiteSalmonRiver
1969,2767,WhiteSalmonRiver
1970,634,WhiteSalmonRiver
1971,712,WhiteSalmonRiver
1972,864,WhiteSalmonRiver
1973,874,WhiteSalmonRiver
1974,869,WhiteSalmonRiver
1975,1798,WhiteSalmonRiver
1976,1881,WhiteSalmonRiver
1977,216,WhiteSalmonRiver
1978,796,WhiteSalmonRiver
1979,636,WhiteSalmonRiver
1980,1539,WhiteSalmonRiver
1981,793,WhiteSalmonRiver
1982,1562,WhiteSalmonRiver
1983,250,WhiteSalmonRiver
1984,369,WhiteSalmonRiver
1985,152,WhiteSalmonRiver
1986,97,WhiteSalmonRiver
1987,161,WhiteSalmonRiver
1988,366,WhiteSalmonRiver
1989,205,WhiteSalmonRiver
1990,124,WhiteSalmonRiver
1991,67,WhiteSalmonRiver
1992,132,WhiteSalmonRiver
1993,105,WhiteSalmonRiver
1994,283,WhiteSalmonRiver
1995,222,WhiteSalmonRiver
1996,32,WhiteSalmonRiver
1997,124,WhiteSalmonRiver
1998,223,WhiteSalmonRiver
1999,401,WhiteSalmonRiver
2000,147,WhiteSalmonRiver
2001,1668,WhiteSalmonRiver
2002,1787,WhiteSalmonRiver
2003,11480,WhiteSalmonRiver
2004,8691,WhiteSalmonRiver
2005,1448,WhiteSalmonRiver
2006,755,WhiteSalmonRiver
2007,898,WhiteSalmonRiver
2008,770,WhiteSalmonRiver
2009,964,WhiteSalmonRiver
2010,1505,WhiteSalmonRiver
2011,379,WhiteSalmonRiver
2012,755,WhiteSalmonRiver
2013,1232,WhiteSalmonRiver
2014,1704,WhiteSalmonRiver
