"","Sample.ID","NLE.mean","ALA.mean","VAL.mean","ILE.mean","ASP.mean","PHE.mean","GLU.mean","TYR.mean","THR.mean","SER.mean","PRO.mean","GLY.mean","LEU.mean","Year","Region","Total.Length","Type","Age","Sex","Lifestage","Notes","Place.Holder","Lat","Long","State","NLE.sd","ALA.sd","VAL.sd","ILE.sd","ASP.sd","PHE.sd","GLU.sd","TYR.sd","THR.sd","SER.sd","PRO.sd","GLY.sd","LEU.sd"
"1","UA_19122",12.9506505328594,20.8593407341622,23.3166792480759,NA,23.8372457075191,8.19330121373588,25.5281719952634,NA,-29.5508475429248,16.3557161042037,24.718,7.04633333333333,NA,1972,"SE",1600,"Total Length","","M","Adult","","1",57.31666667,-133.5,"AK",2.37098283454695,0.140012331570908,0.606113085383216,NA,0.411762648834683,0.225811124813868,0.223041083012178,NA,0.826893194878449,0.56973541840353,0.393777856157503,0.146500284413831,NA
"2","UA_35432",11.2170783747778,23.4728524274718,26.3245657933689,NA,24.9356672587329,12.948810464772,26.5759504144463,NA,-28.6518399940792,18.3216742155121,28.9196666666667,11.447,NA,1995,"SE",1110,"Total Length","","M","","","1",57.25055556,-135.3836111,"AK",0.934826453785414,0.155270955999504,0.461445097541833,NA,0.127533317926631,0.568026749860296,0.271303522561389,NA,0.645525548732734,0.30728912292034,0.09521204405606,0.15600320509528,NA
"3","UA_37972",13.4356085701598,22.6927162522202,27.1118342954411,NA,25.1928129070456,11.9497681320307,28.1542523682652,NA,-34.5723118709294,17.5733645648313,31.5803333333333,9.00866666666667,NA,1996,"SE",1530,"Total Length","","M","","","1",57.12333333,-135.4333333,"AK",0.271195046709193,0.0955318278803384,1.3576920176091,NA,0.0457274469178456,0.207841222071934,0.209903769554572,NA,0.609812411871428,0.568481876444178,0.14442068180608,0.0983480215018755,NA
"4","UA_99665",11.3411807282413,19.8925378922439,21.7819477501481,NA,21.8173913558318,8.58792554766128,25.4138072824155,NA,-30.5563194197749,14.6564064535228,24.993,6.03666666666667,NA,2006,"SE",1680,"Total Length","12","M","Adult","","1",55.58,-133.1566667,"AK",0.649813427440648,0.0516175095323477,1.14344370832247,NA,0.347789772516386,0.294544161943203,0.334933546723396,NA,1.99392130222492,0.432192480230117,0.167233369875752,0.160550096024055,NA
