YEAR,Biomass,Group
2010,2012,QuilceneBay
2011,4443,QuilceneBay
2012,2626,QuilceneBay
1973,,PortGamble
1974,,PortGamble
1975,,PortGamble
1976,1142,PortGamble
1977,2525,PortGamble
1978,1984,PortGamble
1979,1790,PortGamble
1980,2309,PortGamble
1981,1753,PortGamble
1982,1463,PortGamble
1983,2407,PortGamble
1984,2685,PortGamble
1985,2387,PortGamble
1986,2050,PortGamble
1987,2046,PortGamble
1988,1390,PortGamble
1989,2395,PortGamble
1990,2969,PortGamble
1991,2259,PortGamble
1992,2270,PortGamble
1993,1521,PortGamble
1994,2857,PortGamble
1995,3158,PortGamble
1996,2058,PortGamble
1997,1419,PortGamble
1998,971,PortGamble
1999,1664,PortGamble
2000,2459,PortGamble
2001,1779,PortGamble
2002,1812,PortGamble
2003,1064,PortGamble
2004,1257,PortGamble
2005,1372,PortGamble
2006,774,PortGamble
2007,826,PortGamble
2008,208,PortGamble
2009,1064,PortGamble
2010,433,PortGamble
2011,1464,PortGamble
2012,404,PortGamble
1973,,KillsutHarbor
1974,,KillsutHarbor
1975,279,KillsutHarbor
1976,495,KillsutHarbor
1977,,KillsutHarbor
1978,254,KillsutHarbor
1979,,KillsutHarbor
1980,477,KillsutHarbor
1981,324,KillsutHarbor
1982,,KillsutHarbor
1983,,KillsutHarbor
1984,,KillsutHarbor
1985,,KillsutHarbor
1986,,KillsutHarbor
1987,,KillsutHarbor
1988,,KillsutHarbor
1989,,KillsutHarbor
1990,364,KillsutHarbor
1991,613,KillsutHarbor
1992,,KillsutHarbor
1993,538,KillsutHarbor
1994,292,KillsutHarbor
1995,,KillsutHarbor
1996,380,KillsutHarbor
1997,307,KillsutHarbor
1998,311,KillsutHarbor
1999,802,KillsutHarbor
2000,107,KillsutHarbor
2001,612,KillsutHarbor
2002,774,KillsutHarbor
2003,448,KillsutHarbor
2004,184,KillsutHarbor
2005,170,KillsutHarbor
2006,54,KillsutHarbor
2007,24,KillsutHarbor
2008,0,KillsutHarbor
2009,0,KillsutHarbor
2010,0,KillsutHarbor
2011,0,KillsutHarbor
2012,0,KillsutHarbor
1973,,DiscoBay
1974,,DiscoBay
1975,,DiscoBay
1976,697,DiscoBay
1977,1488,DiscoBay
1978,1305,DiscoBay
1979,882,DiscoBay
1980,3220,DiscoBay
1981,3070,DiscoBay
1982,2356,DiscoBay
1983,2578,DiscoBay
1984,3144,DiscoBay
1985,1447,DiscoBay
1986,1566,DiscoBay
1987,1593,DiscoBay
1988,853,DiscoBay
1989,1225,DiscoBay
1990,855,DiscoBay
1991,925,DiscoBay
1992,727,DiscoBay
1993,737,DiscoBay
1994,375,DiscoBay
1995,261,DiscoBay
1996,747,DiscoBay
1997,199,DiscoBay
1998,0,DiscoBay
1999,307,DiscoBay
2000,159,DiscoBay
2001,137,DiscoBay
2002,148,DiscoBay
2003,207,DiscoBay
2004,252,DiscoBay
2005,33,DiscoBay
2006,1325,DiscoBay
2007,42,DiscoBay
2008,248,DiscoBay
2009,205,DiscoBay
2010,26,DiscoBay
2011,0,DiscoBay
2012,105,DiscoBay
1973,,SequimBay
1974,,SequimBay
1975,,SequimBay
1976,47,SequimBay
1977,94,SequimBay
1978,10,SequimBay
1979,,SequimBay
1980,335,SequimBay
1981,,SequimBay
1982,,SequimBay
1983,,SequimBay
1984,31,SequimBay
1985,18,SequimBay
1986,,SequimBay
1987,,SequimBay
1988,,SequimBay
1989,,SequimBay
1990,,SequimBay
1991,,SequimBay
1992,,SequimBay
1993,11,SequimBay
1994,0,SequimBay
1995,,SequimBay
1996,0,SequimBay
1997,0,SequimBay
1998,0,SequimBay
1999,0,SequimBay
2000,0,SequimBay
2001,0,SequimBay
2002,0,SequimBay
2003,0,SequimBay
2004,0,SequimBay
2005,0,SequimBay
2006,0,SequimBay
2007,0,SequimBay
2008,0,SequimBay
2009,0,SequimBay
2010,0,SequimBay
2011,0,SequimBay
2012,,SequimBay
1973,,DungBay
1974,,DungBay
1975,,DungBay
1976,,DungBay
1977,,DungBay
1978,,DungBay
1979,,DungBay
1980,43,DungBay
1981,,DungBay
1982,,DungBay
1983,197,DungBay
1984,,DungBay
1985,,DungBay
1986,234,DungBay
1987,,DungBay
1988,,DungBay
1989,,DungBay
1990,,DungBay
1991,,DungBay
1992,,DungBay
1993,,DungBay
1994,,DungBay
1995,287,DungBay
1996,180,DungBay
1997,158,DungBay
1998,112,DungBay
1999,352,DungBay
2000,138,DungBay
2001,87,DungBay
2002,131,DungBay
2003,44,DungBay
2004,22,DungBay
2005,0,DungBay
2006,0,DungBay
2007,34,DungBay
2008,69,DungBay
2009,46,DungBay
2010,75,DungBay
2011,104,DungBay
2012,43,DungBay
1973,,PortSusan
1974,,PortSusan
1975,,PortSusan
1976,,PortSusan
1977,,PortSusan
1978,,PortSusan
1979,,PortSusan
1980,,PortSusan
1981,,PortSusan
1982,1391,PortSusan
1983,1398,PortSusan
1984,1555,PortSusan
1985,1321,PortSusan
1986,934,PortSusan
1987,1216,PortSusan
1988,570,PortSusan
1989,345,PortSusan
1990,291,PortSusan
1991,245,PortSusan
1992,545,PortSusan
1993,1693,PortSusan
1994,365,PortSusan
1995,363,PortSusan
1996,110,PortSusan
1997,828,PortSusan
1998,2084,PortSusan
1999,545,PortSusan
2000,785,PortSusan
2001,587,PortSusan
2002,775,PortSusan
2003,450,PortSusan
2004,429,PortSusan
2005,157,PortSusan
2006,321,PortSusan
2007,643,PortSusan
2008,345,PortSusan
2009,252,PortSusan
2010,152,PortSusan
2011,138,PortSusan
2012,61,PortSusan
1973,,HolmesHarbor
1974,,HolmesHarbor
1975,,HolmesHarbor
1976,126,HolmesHarbor
1977,135,HolmesHarbor
1978,,HolmesHarbor
1979,,HolmesHarbor
1980,78,HolmesHarbor
1981,,HolmesHarbor
1982,78,HolmesHarbor
1983,,HolmesHarbor
1984,,HolmesHarbor
1985,914,HolmesHarbor
1986,,HolmesHarbor
1987,,HolmesHarbor
1988,,HolmesHarbor
1989,693,HolmesHarbor
1990,380,HolmesHarbor
1991,,HolmesHarbor
1992,,HolmesHarbor
1993,,HolmesHarbor
1994,,HolmesHarbor
1995,,HolmesHarbor
1996,336,HolmesHarbor
1997,530,HolmesHarbor
1998,464,HolmesHarbor
1999,175,HolmesHarbor
2000,281,HolmesHarbor
2001,275,HolmesHarbor
2002,573,HolmesHarbor
2003,678,HolmesHarbor
2004,673,HolmesHarbor
2005,498,HolmesHarbor
2006,1297,HolmesHarbor
2007,572,HolmesHarbor
2008,686,HolmesHarbor
2009,1045,HolmesHarbor
2010,673,HolmesHarbor
2011,3003,HolmesHarbor
2012,678,HolmesHarbor
1973,,SkagitBay
1974,,SkagitBay
1975,,SkagitBay
1976,478,SkagitBay
1977,227,SkagitBay
1978,,SkagitBay
1979,,SkagitBay
1980,453,SkagitBay
1981,,SkagitBay
1982,,SkagitBay
1983,,SkagitBay
1984,,SkagitBay
1985,,SkagitBay
1986,,SkagitBay
1987,1552,SkagitBay
1988,1340,SkagitBay
1989,,SkagitBay
1990,,SkagitBay
1991,,SkagitBay
1992,,SkagitBay
1993,,SkagitBay
1994,,SkagitBay
1995,891,SkagitBay
1996,736,SkagitBay
1997,893,SkagitBay
1998,209,SkagitBay
1999,905,SkagitBay
2000,646,SkagitBay
2001,2170,SkagitBay
2002,2215,SkagitBay
2003,2983,SkagitBay
2004,1245,SkagitBay
2005,1169,SkagitBay
2006,2826,SkagitBay
2007,1236,SkagitBay
2008,1242,SkagitBay
2009,1036,SkagitBay
2010,402,SkagitBay
2011,469,SkagitBay
2012,443,SkagitBay
1973,,FidalgoBay
1974,,FidalgoBay
1975,,FidalgoBay
1976,,FidalgoBay
1977,,FidalgoBay
1978,,FidalgoBay
1979,,FidalgoBay
1980,276,FidalgoBay
1981,456,FidalgoBay
1982,182,FidalgoBay
1983,640,FidalgoBay
1984,742,FidalgoBay
1985,761,FidalgoBay
1986,731,FidalgoBay
1987,887,FidalgoBay
1988,,FidalgoBay
1989,,FidalgoBay
1990,,FidalgoBay
1991,1079,FidalgoBay
1992,1399,FidalgoBay
1993,1417,FidalgoBay
1994,1207,FidalgoBay
1995,1173,FidalgoBay
1996,590,FidalgoBay
1997,929,FidalgoBay
1998,844,FidalgoBay
1999,1005,FidalgoBay
2000,737,FidalgoBay
2001,944,FidalgoBay
2002,865,FidalgoBay
2003,569,FidalgoBay
2004,339,FidalgoBay
2005,231,FidalgoBay
2006,323,FidalgoBay
2007,159,FidalgoBay
2008,156,FidalgoBay
2009,15,FidalgoBay
2010,103,FidalgoBay
2011,119,FidalgoBay
2012,89,FidalgoBay
1973,,Portage
1974,,Portage
1975,109,Portage
1976,77,Portage
1977,32,Portage
1978,,Portage
1979,333,Portage
1980,1008,Portage
1981,,Portage
1982,310,Portage
1983,159,Portage
1984,160,Portage
1985,78,Portage
1986,79,Portage
1987,,Portage
1988,,Portage
1989,58,Portage
1990,,Portage
1991,,Portage
1992,262,Portage
1993,198,Portage
1994,459,Portage
1995,194,Portage
1996,636,Portage
1997,509,Portage
1998,643,Portage
1999,555,Portage
2000,196,Portage
2001,470,Portage
2002,496,Portage
2003,299,Portage
2004,351,Portage
2005,218,Portage
2006,412,Portage
2007,348,Portage
2008,409,Portage
2009,320,Portage
2010,649,Portage
2011,387,Portage
2012,430,Portage
1973,,SaJuan
1974,,SaJuan
1975,,SaJuan
1976,10,SaJuan
1977,18,SaJuan
1978,,SaJuan
1979,,SaJuan
1980,,SaJuan
1981,,SaJuan
1982,,SaJuan
1983,,SaJuan
1984,,SaJuan
1985,,SaJuan
1986,,SaJuan
1987,,SaJuan
1988,,SaJuan
1989,541,SaJuan
1990,391,SaJuan
1991,60,SaJuan
1992,17,SaJuan
1993,472,SaJuan
1994,,SaJuan
1995,,SaJuan
1996,277,SaJuan
1997,30,SaJuan
1998,,SaJuan
1999,197,SaJuan
2000,128,SaJuan
2001,319,SaJuan
2002,158,SaJuan
2003,72,SaJuan
2004,67,SaJuan
2005,41,SaJuan
2006,285,SaJuan
2007,33,SaJuan
2008,60,SaJuan
2009,0,SaJuan
2010,24,SaJuan
2011,0,SaJuan
2012,5,SaJuan
1973,,NWSanJuan
1974,,NWSanJuan
1975,,NWSanJuan
1976,157,NWSanJuan
1977,29,NWSanJuan
1978,,NWSanJuan
1979,,NWSanJuan
1980,,NWSanJuan
1981,,NWSanJuan
1982,,NWSanJuan
1983,,NWSanJuan
1984,,NWSanJuan
1985,,NWSanJuan
1986,,NWSanJuan
1987,400,NWSanJuan
1988,,NWSanJuan
1989,,NWSanJuan
1990,218,NWSanJuan
1991,298,NWSanJuan
1992,,NWSanJuan
1993,,NWSanJuan
1994,,NWSanJuan
1995,,NWSanJuan
1996,53,NWSanJuan
1997,79,NWSanJuan
1998,107,NWSanJuan
1999,,NWSanJuan
2000,90,NWSanJuan
2001,62,NWSanJuan
2002,131,NWSanJuan
2003,13,NWSanJuan
2004,0,NWSanJuan
2005,0,NWSanJuan
2006,0,NWSanJuan
2007,0,NWSanJuan
2008,0,NWSanJuan
2009,0,NWSanJuan
2010,0,NWSanJuan
2011,0,NWSanJuan
2012,0,NWSanJuan
1973,,SemiahooBay
1974,,SemiahooBay
1975,772,SemiahooBay
1976,321,SemiahooBay
1977,634,SemiahooBay
1978,,SemiahooBay
1979,,SemiahooBay
1980,,SemiahooBay
1981,1008,SemiahooBay
1982,1389,SemiahooBay
1983,874,SemiahooBay
1984,772,SemiahooBay
1985,2325,SemiahooBay
1986,1464,SemiahooBay
1987,,SemiahooBay
1988,1965,SemiahooBay
1989,1701,SemiahooBay
1990,1930,SemiahooBay
1991,2061,SemiahooBay
1992,1501,SemiahooBay
1993,1902,SemiahooBay
1994,1389,SemiahooBay
1995,1245,SemiahooBay
1996,1219,SemiahooBay
1997,621,SemiahooBay
1998,919,SemiahooBay
1999,868,SemiahooBay
2000,926,SemiahooBay
2001,1098,SemiahooBay
2002,1012,SemiahooBay
2003,1087,SemiahooBay
2004,629,SemiahooBay
2005,870,SemiahooBay
2006,1277,SemiahooBay
2007,1124,SemiahooBay
2008,662,SemiahooBay
2009,990,SemiahooBay
2010,909,SemiahooBay
2011,1605,SemiahooBay
2012,879,SemiahooBay
1973,14998,CherryPoint
1974,13963,CherryPoint
1975,10337,CherryPoint
1976,11844,CherryPoint
1977,11097,CherryPoint
1978,10973,CherryPoint
1979,9957,CherryPoint
1980,9329,CherryPoint
1981,6219,CherryPoint
1982,5342,CherryPoint
1983,8063,CherryPoint
1984,5901,CherryPoint
1985,5760,CherryPoint
1986,5671,CherryPoint
1987,3108,CherryPoint
1988,4428,CherryPoint
1989,4003,CherryPoint
1990,4998,CherryPoint
1991,4624,CherryPoint
1992,4009,CherryPoint
1993,4894,CherryPoint
1994,6324,CherryPoint
1995,4105,CherryPoint
1996,3095,CherryPoint
1997,1574,CherryPoint
1998,1322,CherryPoint
1999,1266,CherryPoint
2000,808,CherryPoint
2001,1241,CherryPoint
2002,1330,CherryPoint
2003,1611,CherryPoint
2004,1734,CherryPoint
2005,2010,CherryPoint
2006,2216,CherryPoint
2007,2169,CherryPoint
2008,1352,CherryPoint
2009,1341,CherryPoint
2010,774,CherryPoint
2011,1301,CherryPoint
2012,1120,CherryPoint
