"","Sample.ID","NLE.mean","ALA.mean","VAL.mean","ILE.mean","ASP.mean","PHE.mean","GLU.mean","TYR.mean","THR.mean","SER.mean","PRO.mean","GLY.mean","LEU.mean","NLE.sd","ALA.sd","VAL.sd","ILE.sd","ASP.sd","PHE.sd","GLU.sd","TYR.sd","THR.sd","SER.sd","PRO.sd","GLY.sd","LEU.sd"
"1","12AA",NA,-1.21000000000005,0.361000000000001,NA,NA,2.19199999999999,-3.33600000000004,NA,-1.46,1.13499999999994,NA,NA,NA,NA,0.652158827841474,0.700428952235506,NA,NA,0.44147288729499,0.411269565946702,NA,1.03957454625446,0.792985177998522,NA,NA,NA
"2","SM_16097",NA,25.5258639612046,27.8317805002552,NA,NA,9.84762710566616,26.3612399183256,NA,-24.5313984175599,20.7398611536497,25.6833333333333,14.9143333333333,26.596,NA,0.0212247638427989,0.270421493326963,NA,NA,0.276872437108314,0.285523076415502,NA,0.611370081087106,0.770445626688098,0.511871403121265,0.068295924719806,0.672895237016878
"3","SM_16100",NA,24.3080196528841,19.7513869321082,NA,NA,15.8773565594691,26.7291817253701,NA,3.92781240428787,20.8354331291475,27.864,17.7116666666667,24.146,NA,0.0814503518664732,8.65170669059061,NA,NA,0.324559666092354,0.408208735863899,NA,23.2525141351368,2.75723454942974,3.74431742778307,5.24420950509544,1.68139852503801
"4","SM_20085",NA,22.8387317508933,25.5511168963757,NA,NA,12.9545617662072,25.443259826442,NA,-22.4767424706483,18.2833716181725,25.5376666666667,12.3363333333333,24.8486666666667,NA,0.343759430023898,0.305627842700704,NA,NA,0.487301267280205,0.184573528301173,NA,6.49132788628398,0.408611909862385,0.193897739371385,0.062163762219908,0.665448219873893
"5","SM_25701",NA,23.718005870342,24.7683190403267,NA,NA,13.213916028586,28.4069070954568,NA,-12.7661166411435,16.8998956100051,25.437,10.9636666666667,23.6693333333333,NA,0.0686005523031236,1.06032497184659,NA,NA,0.608908971948109,0.128556587663282,NA,3.11714379395618,0.52134625121629,0.93010160735266,0.0906495081803169,0.346655929320895
"6","SM_25714",NA,22.0384122001021,24.5431847881572,NA,NA,13.254668963757,27.6245344563552,NA,-17.2441467585503,17.9525758039816,28.0656666666667,10.916,24.652,NA,0.184821284324144,0.299797588650043,NA,NA,0.271556990162375,0.382032914067899,NA,12.2096474776161,2.31787657995312,0.0998815965698063,0.29371414674816,1.53661218269282
