Sample ID,,Sex,Year,County,Location 2,Lat,Long,Length,Weight,Age,Date,Month
BM_20225,1,M,1961,Clatsop,Coastal,46.0679,-123.91,,,,9/22/61,9
BM_32052,1,M,1977,Island,Inland,48.2933,-122.5985228,92,,,4/24/77,4
BM_32516,1,F,1979,Pacific,Coastal,46.3525,-124.0531,133,,,5/10/79,5
BM_34967,1,F,1987,Cowlitz,Coastal,46.185552,-123.187834,124,,,2/5/87,2
BM_36044,1,F,1979,Kitsap,Inland,47.8628,-122.5133,105,,,2/5/87,2
BM_36045,1,,1989,Clallam,Inland,48.3683,-124.6236,,,,1/1/89,1
BM_39398,1,F,1980,Kitsap,Inland,47.8628,-122.5133,92,,,2/16/80,2
BM_80773,1,F,2007,Pacific,Coastal,46.4913,-124.0501,,,,6/26/07,6
BM_80783,1,M,2006,Pacific,Coastal,46.4914,-124.0501,,,,7/22/06,7
BM_81078,1,,2008,Clallam,Inland,48.0946,-122.9153,,,,8/29/08,8
BM_81979,1,M,2011,Kitsap,Inland,47.5972,-122.3486,154,,,2/8/11,2
NM_1905,1,M,1999,Pierce Co.,Inland,47.2179,-122.6599,170,,,7/21/99,7
NM_1915,1,M,1996,Pierce Co.,Inland,47.2179,-122.6599,149,,,5/31/96,5
NM_1917,1,F,1998,Pierce Co.,Inland,47.2179,-122.6599,145,,,9/9/98,9
NM_1918,1,F,1998,Pierce Co.,Inland,47.2179,-122.6599,145,,,10/1/98,10
NM_1919,1,M,1998,Pierce Co.,Inland,47.2179,-122.6599,154,,,10/5/98,10
NM_1984,1,M,1991,Clatsop County,Coastal,46.23055556,-123.866666,148,,,2/20/91,2
NM_1995,1,F,1991,Pacific County,Coastal,,,170,,,3/18/91,3
NM_2001,1,F,1991,Clatsop County,Coastal,46.1331,-123.5713,155,,,4/24/91,4
NM_2016,1,M,1991,Pacific County,Coastal,46.398712,-124.062234,159,,,10/25/91,10
NM_2022,1,F,1992,Clatsop County,Coastal,46.228537,-124.016056,160,,,4/21/92,4
NM_2024,1,F,1992,Clatsop County,Coastal,,,156,,,5/12/92,5
NM_2025,1,F,1992,Grays Harbor County,Coastal,46.794664,-124.098201,157,,,7/1/92,7
NM_2027,1,M,1992,Pacific County,Coastal,46.625299,-123.957213,168,,,8/14/92,8
NM_2028,1,M,1992,Pacific County,Coastal,46.745916,-124.095354,165,,,10/2/92,10
NM_2032,1,M,1992,Clatsop County,Coastal,46.265153,-123.966564,148,,,10/9/92,10
NM_2044,1,M,1981,Pacific County,Coastal,46.4175,-123.5002778,158,,,4/16/81,4
NM_2045,1,M,1981,Clatsop County,Coastal,46.176001,-123.982239,167,,,4/29/81,4
NM_2048,1,F,1981,Grays Harbor County,Coastal,46.0511111,-123.9188889,159,,,6/2/81,6
NM_2050,1,M,1981,Clatsop County,Coastal,46.207228,-123.955586,165,,,6/8/81,6
NM_2062,1,M,1982,Clatsop County,Coastal,46.2437222,-123.7333333,154,,,3/2/82,3
NM_2064,1,M,1982,Clatsop County,Coastal,46.16805556,-123.9352778,146,,,3/5/82,3
NM_2065,1,F,1982,Grays Harbor County,Coastal,46.96833333,-124.1672222,152,,,4/15/82,4
NM_2066,1,M,1982,Pacific County,Coastal,46.73333333,-124.0847222,164,,,5/14/82,5
NM_2067,1,M,1982,Pacific County,Coastal,46.245821,-123.867945,136,,,2/18/82,2
NM_2068,1,M,1982,Clatsop County,Coastal,46.204797,-123.949117,176,,,5/18/82,5
NM_2231,1,F,2013,Pierce County,Inland,47.320554,-122.574221,,,,5/18/13,5
NM_2232,1,F,2013,King County,Inland,47.689483,-122.40326,,,,6/11/13,6
