"","Sample.ID","NLE.mean","ALA.mean","VAL.mean","ILE.mean","ASP.mean","PHE.mean","GLU.mean","TYR.mean","THR.mean","SER.mean","PRO.mean","GLY.mean","LEU.mean","Year","Region","Total.Length","Type","Age","Sex","Lifestage","Notes","Place.Holder","Lat","Long","State","NLE.sd","ALA.sd","VAL.sd","ILE.sd","ASP.sd","PHE.sd","GLU.sd","TYR.sd","THR.sd","SER.sd","PRO.sd","GLY.sd","LEU.sd"
"1","UA_11475",12.6310428507994,22.7181069419775,23.9117445233866,NA,25.2826278863233,11.4509040852576,27.6434336885732,NA,-24.616033821788,14.8283010657195,27.0606666666667,9.97933333333333,33.5863333333333,1962,"SC",NA,"","Adult","M","","","1",59.25,-151.25,"AK",0.610085392782636,0.307521142535426,1.68237996416134,NA,0.299728120125428,1.39990798531597,0.750774482815013,NA,1.64018012000217,0.222894085680408,0.80511758975527,0.308950373576944,0.562249351563285
"2","UA_11738",13.184976909414,22.4196021314387,24.9880651272943,NA,23.9698395500297,7.89120367081116,25.4456264061575,NA,-22.9521113084665,14.6498792184726,21.0746666666667,9.76533333333333,25.0203333333333,1973,"SC",1530,"Total Length","","F","","","1",59.8,-149.5,"AK",0.778830351242203,0.0843348105487709,0.290163871033327,NA,0.463804344814322,0.695890144508938,0.397048318927339,NA,0.511686264596933,0.676192022190145,0.52868263952331,0.135651514305345,0.257791259226013
"3","UA_11740",13.4639527827118,22.0861158969805,23.2389579632919,NA,23.2242338661931,9.17440793368861,26.8333108348136,NA,-27.9209690645352,14.0519325044406,25.2353333333333,8.542,24.9516666666667,1973,"SC",130,"Standard Length","","F","","","1",60.4,-147.6166667,"AK",0.253642738562346,0.0518129184734953,1.06724135103561,NA,0.110267302072287,0.518965647869622,0.154745311703909,NA,1.04286338663827,0.71172270235512,0.253519887451326,0.249753878848758,0.127052482594137
"4","UA_28950",12.8946315127295,23.1990256808763,25.3993448786264,NA,24.1068700414447,9.33447246891655,27.4778019538189,NA,-29.8557068531675,13.8540725281232,27.1623333333333,9.86866666666667,25.7453333333333,1980,"SC",NA,"","","F","","","1",59.66666667,-149.5666667,"AK",0.290845161416751,0.0773190418602069,0.280989101025223,NA,0.203289223661585,0.467675438569971,0.116922172588557,NA,0.319575518976657,0.146797794789471,0.127107565995629,0.149533719720113,0.228954871827033
"5","UA_84950",14.1014003108349,24.0682598431024,28.3455183540557,NA,24.3585669034933,9.87903315571347,27.2694159265838,NA,NA,15.5859144464181,31.7826666666667,11.5563333333333,28.1553333333333,2002,"SC",1160,"Total Length","2","F","","","1",60.74388889,-146.2069444,"AK",0.273936308709152,0.748187373531986,1.91406756399783,NA,0.435412316099464,0.937935243654178,0.665037065351426,NA,NA,9.67832206693271,3.51424335146747,0.461012291954709,1.18571933160143
"6","UA_99641",12.8997215808172,23.0513500592066,23.1001314387212,NA,23.4415973949083,10.5603019538189,28.0389248075785,NA,-31.1597716104204,15.0597744227354,26.264,9.322,29.2383333333333,2004,"SC",1450,"Total Length","14","F","Adult","","1",60.54166667,-145.7566667,"AK",0.988157466109404,0.0898463682703694,0.558461997510011,NA,0.362222219805563,0.708814312564266,0.107855751457767,NA,0.675931972810447,0.48326590972869,0.113053084876088,0.15116547224813,4.89562113866395
