"","Sample.ID","NLE.mean","ALA.mean","VAL.mean","ILE.mean","ASP.mean","PHE.mean","GLU.mean","TYR.mean","THR.mean","SER.mean","PRO.mean","GLY.mean","LEU.mean","NLE.sd","ALA.sd","VAL.sd","ILE.sd","ASP.sd","PHE.sd","GLU.sd","TYR.sd","THR.sd","SER.sd","PRO.sd","GLY.sd","LEU.sd"
"1","12AA",NA,-1.20999999999988,0.361000000000195,NA,-9.92999999999951,2.19199999999994,-3.33600000000001,NA,-1.45999999999986,1.1349999999999,-4.285,3.58271428571429,NA,NA,0.585754968989566,0.990202231308512,NA,2.62613581440856,1.90273623157881,1.17811695256247,NA,1.22136686078423,3.66459296593998,1.52398917318989,0.898071399219037,NA
"2","RM_2361",NA,NA,NA,NA,NA,14.0939629958556,NA,NA,-27.5442181024272,16.1604491563056,26.6176666666667,NA,NA,NA,NA,NA,NA,NA,0.509258517055737,NA,NA,2.99059011282169,3.23993041911104,0.519386497064887,NA,NA
"3","RM_4934",NA,NA,NA,NA,NA,14.9492205447008,NA,NA,-22.5426267761989,20.4240096950854,27.948,NA,NA,NA,NA,NA,NA,NA,0.502455746467576,NA,NA,0.248012459775293,1.15215570945795,0.409574169107378,NA,NA
"4","RM_9723",NA,NA,NA,NA,25.5150152457075,9.85352664298416,NA,NA,-30.034787966252,20.673358274127,29.2406666666667,NA,NA,NA,NA,NA,NA,0.109062481148068,0.136760518368588,NA,NA,0.742875231217096,0.724732728171248,0.157963075854244,NA,NA
"5","RM_9733",NA,NA,NA,NA,26.0363603463587,13.5019622557729,NA,NA,-30.3058524644757,10.7229681394321,26.3265,NA,NA,NA,NA,NA,NA,0.0642019674318492,1.55490960037571,NA,NA,0.0107662659266256,4.09180730631733,0.195868578388674,NA,NA
