"","Sample.ID","NLE.mean","ALA.mean","VAL.mean","ILE.mean","ASP.mean","PHE.mean","GLU.mean","TYR.mean","THR.mean","SER.mean","PRO.mean","GLY.mean","LEU.mean","NLE.sd","ALA.sd","VAL.sd","ILE.sd","ASP.sd","PHE.sd","GLU.sd","TYR.sd","THR.sd","SER.sd","PRO.sd","GLY.sd","LEU.sd"
"1","12AA",NA,-1.20999999999993,0.361000000000287,NA,-9.92999999999972,2.19200000000009,-3.33599999999999,NA,-1.4599999999999,NA,-5.60457142857143,3.26642857142857,NA,NA,0.316221528694972,0.671163654281791,NA,0.722724898466318,0.445491901708499,0.620855795118207,NA,0.84440735099994,NA,0.733592497495001,0.686313547669202,NA
"2","RM_9729",NA,23.3864214031972,24.8446102723508,NA,26.1587356423921,NA,27.1379829040852,NA,NA,NA,NA,11.014,24.2826666666667,NA,0.174467377541457,0.0782161292644704,NA,0.390232689391476,NA,0.350062122255914,NA,NA,NA,NA,0.0640234332100365,0.0754342981231577
"3","RM_9874",NA,24.4066898312611,25.4049624777979,NA,26.6498503552398,NA,29.5099925621669,NA,NA,NA,NA,9.2155,25.294,NA,0.108865243178993,0.216485513717076,NA,0.450421367785447,NA,0.24650725182669,NA,NA,NA,NA,0.129400540957138,0.0282842712474613
"4","SI_274153",NA,24.6487989934874,26.8431796921258,NA,24.6974582593254,NA,27.4659468620485,NA,NA,NA,NA,10.8896666666667,26.9993333333333,NA,0.243890448453644,0.707197284434489,NA,0.553102288253893,NA,0.0915010176245998,NA,NA,NA,NA,0.159813432893901,0.855385488147498
"5","SI_274155",NA,24.2000084369451,28.3587094434579,NA,25.6221489046778,NA,28.339121891652,NA,NA,NA,NA,9.10933333333333,29.268,NA,0.14997541071485,1.02651222502929,NA,0.834759846451587,NA,1.37378510598031,NA,NA,NA,NA,0.428259656439096,0.657313471640434
