Year,Group,escapement
1996,"Quillayute (fall, 4317)",7316
1997,"Quillayute (fall, 4317)",5405
1998,"Quillayute (fall, 4317)",6752
1999,"Quillayute (fall, 4317)",3334
2000,"Quillayute (fall, 4317)",3730
2001,"Quillayute (fall, 4317)",5136
2002,"Quillayute (fall, 4317)",6067
2003,"Quillayute (fall, 4317)",7398
2004,"Quillayute (fall, 4317)",3831
2005,"Quillayute (fall, 4317)",6406
2006,"Quillayute (fall, 4317)",5642
2007,"Quillayute (fall, 4317)",3066
2008,"Quillayute (fall, 4317)",3612
2009,"Quillayute (fall, 4317)",3130
2010,"Quillayute (fall, 4317)",4635
2011,"Quillayute (fall, 4317)",3963
2012,"Quillayute (fall, 4317)",3518
2013,"Quillayute (fall, 4317)",4017
2014,"Quillayute (fall, 4317)",2782
2015,"Quillayute (fall, 4317)",3098
1976,"Quinalt (fall, 4318)",4320
1977,"Quinalt (fall, 4318)",4320
1978,"Quinalt (fall, 4318)",4320
1979,"Quinalt (fall, 4318)",4320
1980,"Quinalt (fall, 4318)",4320
1981,"Quinalt (fall, 4318)",5100
1982,"Quinalt (fall, 4318)",5100
1983,"Quinalt (fall, 4318)",5100
1984,"Quinalt (fall, 4318)",5100
1985,"Quinalt (fall, 4318)",5100
1986,"Quinalt (fall, 4318)",8822
1987,"Quinalt (fall, 4318)",8822
1988,"Quinalt (fall, 4318)",8822
1989,"Quinalt (fall, 4318)",8822
1990,"Quinalt (fall, 4318)",8822
1991,"Quinalt (fall, 4318)",6293
1992,"Quinalt (fall, 4318)",6293
1993,"Quinalt (fall, 4318)",6293
1994,"Quinalt (fall, 4318)",6293
1995,"Quinalt (fall, 4318)",6293
1996,"Quinalt (fall, 4318)",5221
1997,"Quinalt (fall, 4318)",2625
1998,"Quinalt (fall, 4318)",6124
1999,"Quinalt (fall, 4318)",4840
2000,"Quinalt (fall, 4318)",3421
2001,"Quinalt (fall, 4318)",4047
2002,"Quinalt (fall, 4318)",4542
2003,"Quinalt (fall, 4318)",7343
2004,"Quinalt (fall, 4318)",10662
2005,"Quinalt (fall, 4318)",7648
2006,"Quinalt (fall, 4318)",7044
2007,"Quinalt (fall, 4318)",2126
2008,"Quinalt (fall, 4318)",3682
2009,"Quinalt (fall, 4318)",5455
2010,"Quinalt (fall, 4318)",4521
2011,"Quinalt (fall, 4318)",5998
2012,"Quinalt (fall, 4318)",5090
2013,"Quinalt (fall, 4318)",7148
2014,"Quinalt (fall, 4318)",12349
2015,"Quinalt (fall, 4318)",11574
1976,"Quinalt (spring, 4118)",149
1977,"Quinalt (spring, 4118)",149
1978,"Quinalt (spring, 4118)",149
1979,"Quinalt (spring, 4118)",149
1980,"Quinalt (spring, 4118)",149
1981,"Quinalt (spring, 4118)",114
1982,"Quinalt (spring, 4118)",114
1983,"Quinalt (spring, 4118)",114
1984,"Quinalt (spring, 4118)",114
1985,"Quinalt (spring, 4118)",114
1986,"Quinalt (spring, 4118)",338
1987,"Quinalt (spring, 4118)",338
1988,"Quinalt (spring, 4118)",338
1989,"Quinalt (spring, 4118)",338
1990,"Quinalt (spring, 4118)",338
1991,"Quinalt (spring, 4118)",98
1992,"Quinalt (spring, 4118)",98
1993,"Quinalt (spring, 4118)",98
1994,"Quinalt (spring, 4118)",98
1995,"Quinalt (spring, 4118)",98
1996,"Quinalt (spring, 4118)",41
1997,"Quinalt (spring, 4118)",19
1998,"Quinalt (spring, 4118)",75
1999,"Quinalt (spring, 4118)",10
2000,"Quinalt (spring, 4118)",0
2001,"Quinalt (spring, 4118)",5
2002,"Quinalt (spring, 4118)",36
2003,"Quinalt (spring, 4118)",92
2004,"Quinalt (spring, 4118)",142
2005,"Quinalt (spring, 4118)",24
2006,"Quinalt (spring, 4118)",16
2007,"Quinalt (spring, 4118)",20
2008,"Quinalt (spring, 4118)",10
2009,"Quinalt (spring, 4118)",43
2010,"Quinalt (spring, 4118)",8
2011,"Quinalt (spring, 4118)",26
2012,"Quinalt (spring, 4118)",15
2013,"Quinalt (spring, 4118)",20
2014,"Quinalt (spring, 4118)",11
1976,"WillappaBay (fall, 4329)",6524
1977,"WillappaBay (fall, 4329)",6524
1978,"WillappaBay (fall, 4329)",6524
1979,"WillappaBay (fall, 4329)",6524
1980,"WillappaBay (fall, 4329)",6524
1981,"WillappaBay (fall, 4329)",6986
1982,"WillappaBay (fall, 4329)",6986
1983,"WillappaBay (fall, 4329)",6986
1984,"WillappaBay (fall, 4329)",6986
1985,"WillappaBay (fall, 4329)",6986
1986,"WillappaBay (fall, 4329)",28034
1987,"WillappaBay (fall, 4329)",28034
1988,"WillappaBay (fall, 4329)",28034
1989,"WillappaBay (fall, 4329)",28034
1990,"WillappaBay (fall, 4329)",28034
1991,"WillappaBay (fall, 4329)",19905
1992,"WillappaBay (fall, 4329)",19905
1993,"WillappaBay (fall, 4329)",19905
1994,"WillappaBay (fall, 4329)",19905
1995,"WillappaBay (fall, 4329)",19905
1996,"WillappaBay (fall, 4329)",14232
1997,"WillappaBay (fall, 4329)",17620
1998,"WillappaBay (fall, 4329)",7791
1999,"WillappaBay (fall, 4329)",6260
2000,"WillappaBay (fall, 4329)",12758
2001,"WillappaBay (fall, 4329)",12260
2002,"WillappaBay (fall, 4329)",15409
2003,"WillappaBay (fall, 4329)",17360
2004,"WillappaBay (fall, 4329)",24282
2005,"WillappaBay (fall, 4329)",20066
2006,"WillappaBay (fall, 4329)",27948
2007,"WillappaBay (fall, 4329)",15307
2008,"WillappaBay (fall, 4329)",16435
2009,"WillappaBay (fall, 4329)",22176
2010,"WillappaBay (fall, 4329)",26100
2011,"WillappaBay (fall, 4329)",25680
2012,"WillappaBay (fall, 4329)",16843
2013,"WillappaBay (fall, 4329)",16434
2014,"WillappaBay (fall, 4329)",20523
