"","years","Location.2","Sample.ID","PHE.mean","GLU.mean","d13C","d13C.s","d15N","Sex","Length","TP","SD"
"102",1970,"Inland","SM_15210",9.891491838,24.95623625,-10.8364,-11.2036553305113,17.1887,"",NA,4.47281652807465,0.134108696550922
"103",1969,"Coastal","SM_15274",11.62738235,30.57672664,-11.4084,-11.7658721044629,17.5144,"F",NA,5.06139226716556,0.232302820253322
"104",1972,"Inland","SM_16043",11.92696435,28.08811856,-11.7217,-12.1093323464141,17.5863,"F",NA,4.63893922474131,0.159084668513112
"105",1977,"Inland","SM_16044",11.14666495,26.51416452,-10.3312,-10.7748594792753,18.2331,"F",NA,4.51868852171101,0.140790115550232
"106",1972,"Inland","SM_16056",NA,28.70761958,-13.5745,-13.9621323464141,16.9248,"M",129.5,NA,NA
"107",1972,"Inland","SM_16062",9.599780069,28.95765765,-13.1759,-13.5635323464141,17.5725,"M",144.8,5.1232912506504,0.244200998949872
"108",1972,"Coastal","SM_16095",8.932294719,25.3674134,-15.0031,-15.3907323464141,17.1952,"F",67.3,4.68044899307465,0.165661880146782
"109",1972,"Coastal","SM_16096",7.736419923,29.9368947,-13.4157,-13.8033323464141,16.851,"F",149.9,5.55398779549889,0.335269041556068
"110",1972,"Coastal","SM_16096",7.736419923,29.9368947,-13.6958,-14.0834323464141,17.5096,"F",149.9,5.55398779549889,0.335269041556068
"111",1972,"Coastal","SM_16097",10.37299081,26.70884572,-11.4618,-11.8494323464141,19.1099,"F",77.5,4.66540902777162,0.163263264994238
"112",1975,"Inland","SM_20085",13.57942672,25.88000491,-11.4019,-11.8222372350193,18.802,"M",NA,4.05400346413525,0.0807022977925576
"113",1976,"Inland","SM_20087",16.02772852,28.59527878,-12.1974,-12.6292409415615,17.5347,"F",NA,4.09445377777162,0.0852631613163758
"114",1976,"Inland","SM_21180",13.45198582,25.768,-13.853,-14.2848409415615,18.1675,"F",NA,4.05634225049889,0.0809625225692383
"115",1976,"Inland","SM_21182",15.14690163,26.00309192,-11.7437,-12.1755409415615,18.6728,"F",NA,3.8351568126201,0.0582414631129379
"116",1977,"Coastal","SM_25695",NA,27.3901444,-12.8034,-13.2470594792753,16.8882,"M",NA,NA,NA
"117",1977,"Coastal","SM_25696",11.63570475,28.3335746,-12.4578,-12.9014594792753,18.1578,"M",NA,4.72025977625646,0.172096234211541
"118",1977,"Coastal","SM_25700",NA,27.81385835,-12.8295,-13.2731594792753,17.0688,"M",NA,NA,NA
"119",1977,"Coastal","SM_25701",12.48603469,28.57999307,-12.1046,-12.5482594792753,17.2099,"F",NA,4.62875803837768,0.157492001019879
"120",1977,"Coastal","SM_25702",13.10449657,28.13262156,-14.3053,-14.7489594792753,19.5393,"F",NA,4.46726813080192,0.133311687084451
"121",1977,"Coastal","SM_25705",10.39486125,27.89960223,-11.6794,-12.1230594792753,17.185,"F",NA,4.84251297777162,0.192628440499997
"122",1977,"Coastal","SM_25706",11.52920804,28.01066638,-14.1653,-14.6089594792753,18.958,"M",NA,4.68747015352919,0.166787679201421
"123",1977,"Coastal","SM_25711",12.62169868,29.079125,-12.5467,-12.9903594792753,16.933,"F",NA,4.68382893837768,0.166203352878158
"124",1977,"Coastal","SM_25712",NA,28.40518299,-12.7521,-13.1957594792753,17.1176,"F",NA,NA,NA
"125",1977,"Coastal","SM_25714",13.3201865,27.95909584,-12.7949,-13.2385594792753,18.3784,"M",NA,4.4082960626201,0.124989031329688
"126",1978,"Coastal","SM_25740",11.56626055,27.22231352,-13.9958,-14.4516014643983,18.7539,"F",NA,4.56240873383222,0.147310986848438
"127",1978,"Coastal","SM_25742",12.30440507,29.57453909,-13.2305,-13.6863014643983,18.7861,"M",NA,4.80696646868071,0.18653818318194
"128",1978,"Coastal","SM_25743",11.41138875,26.06463402,-12.887,-13.3428014643983,17.1007,"F",NA,4.41046817322616,0.125290763697857
"129",1978,"Coastal","SM_25744",7.329783896,29.54817397,-12.9062,-13.3620014643983,17.905,"F",NA,5.55670223443828,0.335888905957415
"130",1977,"Inland","SM_25892",11.94923239,28.59998625,-12.7032,-13.1468594792753,18.5754,"F",NA,4.71312098989283,0.170933336791151
"131",1977,"Inland","SM_25893",NA,27.5515723,-11.0742,-11.5178594792753,18.8966,"F",NA,NA,NA
"132",1977,"Inland","SM_25894",9.895883162,27.81556314,-12.672,-13.1156594792753,18.0628,"F",NA,4.90538252292313,0.203641482701318
"133",1977,"Inland","SM_25895",10.32963181,26.72878968,-12.9734,-13.4170594792753,18.2419,"F",NA,4.67500038534737,0.164790881643155
"134",NA,"Coastal","SM_25896",12.52489691,30.96695146,NA,NA,NA,"F",NA,4.98453018534737,0.217944682539878
"135",1979,"Inland","SM_27370",12.13585266,27.5323793,-11.2825,-11.7507757489752,18.3517,"M",NA,4.5230865626201,0.141439334233262
"136",1962,"SC","UA_11475",11.29903508,28.05548216,-12.9576,-13.2535105845942,17.2376,"M",NA,4.72913511413525,0.173547560112261
"137",1972,"SE","UA_11712",10.11435443,26.77213647,-14.3723,-14.7599323464141,16.3356,"M",1245,4.7141858656504,0.171106551006691
"138",1972,"SE","UA_11712",10.11435443,26.77213647,-14.2385,-14.6261323464141,16.0679,"M",1245,4.7141858656504,0.171106551006691
"139",1965,"SE","UA_11713",11.3619661,27.18928878,-13.8185,-14.13937682592,16.5685,"",NA,4.58835868989283,0.151251981499944
"140",1973,"SC","UA_11738",8.287024275,25.32507697,-13.7299,-14.1281409920155,16.215,"F",1530,4.7718026315595,0.180610527498888
"141",1973,"SC","UA_11740",9.309111604,26.69285184,-13.7008,-14.0990409920155,15.971,"F",130,4.82417953171101,0.189475017244336
"142",1973,"SC","UA_11742",10.12631679,25.80489369,-13.4086,-13.8068409920155,16.7096,"F",116,4.56582145049889,0.147826271154267
"143",1973,"SC","UA_11743",21.50036809,24.46363491,-12.0964,-12.4946409920155,20.2015,"M",137,2.63925931716556,0.00153193413277104
"144",1973,"SC","UA_11743",21.50036809,24.46363491,-13.4465,-13.8447409920155,16.5519,"M",137,2.63925931716556,0.00153193413277104
"145",1973,"SC","UA_11747",13.49253471,26.40074615,-13.8089,-14.2071409920155,16.6759,"F",102,4.14606910807465,0.091268359985177
"146",1972,"SC","UA_11770",13.00728982,27.08975607,-13.4265,-13.8141323464141,16.713,"M",1410,4.32398650352919,0.113561968627685
"147",1980,"SC","UA_11771",13.3684849,28.31937285,-13.2065,-13.6875914273121,16.538,"F",1320,4.45556554898374,0.131638527488274
"148",1972,"SC","UA_11771",13.3684849,28.31937285,-13.2065,-13.5941323464141,16.538,"F",1320,4.45556554898374,0.131638527488274
"149",1972,"SC","UA_11774",9.243258067,26.78009969,-13.4397,-13.8273323464141,16.7945,"F",1130,4.84737671155949,0.193469424599391
"150",1972,"SE","UA_11777",10.86133866,28.87627679,-12.7731,-13.1607323464141,19.0281,"F",1321,4.91981557625646,0.206213305389512
"151",1972,"SE","UA_11779",8.82982312,23.40487522,-14.3894,-14.7770323464141,16.1616,"F",1334,4.39862072322616,0.123649483510134
"152",1973,"SC","UA_11816",9.620967769,25.96106309,-14.2481,-14.6463409920155,16.5144,"F",138,4.66605151428677,0.163365369512315
"153",1973,"SC","UA_11817",10.92129761,24.72313156,-13.9599,-14.3581409920155,16.3531,"F",139,4.28146645807465,0.108009393071257
"154",1975,"BB","UA_11827",13.66581313,28.9607796,-12.9853,-13.4056372350193,17.4308,"M",149,4.50769865807465,0.139174441977544
"155",1973,"SC","UA_11836",13.51143348,22.14541197,-14.7285,-15.1267409920155,16.7699,"M",104,3.49845805504434,0.0309851298328633
"156",1975,"SC","UA_11920",11.05359455,24.66197169,-14.8142,-15.2345372350193,16.1103,"F",148.3,4.25215482019586,0.104263837796324
"157",1972,"SC","UA_11921",14.94294219,26.44854172,-13.8686,-14.2562323464141,16.825,"F",147.5,3.93355215201404,0.0678775101589037
"158",1972,"SC","UA_11921",14.94294219,26.44854172,-13.3542,-13.7418323464141,18.0371,"F",147.5,3.93355215201404,0.0678775101589037
"159",1972,"SE","UA_19119",12.68146596,31.61285198,-11.7186,-12.1062323464141,18.8274,"M",1448,5.05867131716555,0.231786663133457
"160",1972,"SE","UA_19122",8.193301214,25.528172,-14.4495,-14.8371323464141,16.0257,"M",1600,4.8167750695898,0.188208858787009
"161",1972,"SE","UA_19123",10.50017451,28.87726599,-12.4359,-12.8235323464141,18.7451,"M",1536.7,4.97468729595343,0.216139298674032
"162",1972,"SE","UA_19124",12.96005757,27.78132134,-12.5804,-12.9680323464141,17.1481,"F",1460.5,4.43592552171101,0.128854546796148
"163",1981,"BB","UA_19159",16.92511294,30.7904029,-11.6924,-12.186657842606,20.4049,"M",NA,4.29108100504434,0.109252583351721
"164",1981,"BB","UA_19161",17.16733922,26.21360746,-11.8283,-12.322557842606,19.7269,"M",NA,3.56092619898374,0.0353734790158111
"165",1981,"BB","UA_19172",14.4105091,28.94290882,-13.1271,-13.621357842606,19.3342,"M",1423,4.39215824140798,0.122758824954379
"166",1981,"BB","UA_19173",15.02239851,28.90532733,-12.8453,-13.339557842606,20.248,"F",NA,4.2937535595898,0.109599434369373
"167",1981,"BB","UA_19174",13.30931174,25.57010599,-14.1078,-14.602057842606,18.5015,"M",NA,4.04797559443828,0.0800335758475987
"168",1981,"BB","UA_19175",15.35604063,29.3290971,-12.6304,-13.124657842606,19.1445,"F",NA,4.30740926413525,0.111380408823224
"169",1965,"SE","UA_21485",11.03356705,27.60837419,-13.1363,-13.45717682592,17.0044,"F",NA,4.70161391110495,0.169067224723196
"170",1965,"SE","UA_28932",11.8915948,30.19934192,-13.0549,-13.37577682592,18.9773,"F",NA,4.96418057474131,0.214220498895782
"171",1965,"SE","UA_28933",11.425295,26.51946892,-12.725,-13.04587682592,16.3271,"F",NA,4.47727554443828,0.134750961438965
"172",1966,"BB","UA_28935",14.8610934,28.81696152,-12.9681,-13.2977585196031,18.9912,"M",NA,4.30480496868071,0.111039633862424
"173",1966,"BB","UA_28936",18.88829997,28.5602244,-11.9112,-12.2408585196031,20.1751,"F",NA,3.65572259140798,0.0426146813455388
"174",1966,"BB","UA_28937",18.38866078,29.01772588,NA,NA,NA,"F",NA,3.80074390504434,0.0550497042193708
"175",1966,"BB","UA_28938",12.42084429,30.05616637,NA,NA,NA,"F",NA,4.86229799292313,0.196060972106421
"176",1966,"BB","UA_28940",14.89327487,29.96966963,-11.7847,-12.1143585196031,19.9807,"F",NA,4.47458173231707,0.134362766310585
"177",1966,"BB","UA_28941",14.39374103,29.77266041,-12.5614,-12.8910585196031,18.5995,"M",NA,4.52041879595343,0.141045350574215
"178",1966,"BB","UA_28943",14.52332763,30.47486738,-12.5438,-12.8734585196031,19.4857,"",NA,4.60717945807465,0.15414315790107
"179",1980,"SC","UA_28950",9.306234606,26.9887144,-13.6715,-14.1525914273121,17.0457,"F",NA,4.86944310110495,0.197308096967479
"180",1995,"SE","UA_35432",13.51082534,26.68983796,-12.8831,-13.6044015797249,17.2253,"M",1110,4.18709958989283,0.0961904137963251
"181",1996,"SE","UA_35434",10.35739802,26.40187552,-13.833,-14.5740420190918,17.216,"M",1020,4.62126093534737,0.156324383575935
"182",1996,"SC","UA_35437",10.1778118,27.12237071,-14.4468,-15.1878420190918,16.8447,"M",1675,4.75763690655949,0.178249847302214
"183",1996,"SC","UA_35438",13.87938884,26.47512424,-14.4945,-15.2355420190918,17.7283,"M",1350,4.09872425352919,0.0857521202980544
"184",1996,"SC","UA_35439",11.26251764,25.85428676,-14.502,-15.2430420190918,16.1952,"F",1480,4.40115360504434,0.123999454202765
"185",1996,"SC","UA_35440",20.12941978,30.67364002,-14.6401,-15.3811420190918,17.6696,"M",1300,3.78788862322616,0.0538811055036358
"186",1996,"SC","UA_35442",12.03683537,25.87748945,-14.6612,-15.4022420190918,16.7648,"M",1480,4.28734829595343,0.108769075831661
"187",1996,"SC","UA_35445",12.44976876,27.9194073,-13.9779,-14.7189420190918,16.7023,"F",1340,4.53416412322616,0.143081243472705
"188",1996,"SC","UA_35446",12.45724737,28.48895874,-13.7989,-14.5399420190918,17.5925,"M",1310,4.61932667322616,0.156023848742074
"189",1996,"SC","UA_35447",10.75073128,27.8452201,-15.4261,-16.1671420190918,16.7039,"M",1440,4.7803535595898,0.182043097655682
"190",1996,"SC","UA_35449",14.16126835,25.88511649,-13.6245,-14.3655420190918,17.6873,"F",1490,3.96662012322616,0.0712855784640316
"191",1996,"SC","UA_35450",10.71966748,25.67421507,-14.5832,-15.3242420190918,16.7397,"M",1640,4.45612003989283,0.131717563774946
"192",1965,"SE","UA_36254",10.04665668,26.40426562,-13.7833,-14.10417682592,17.4365,"M",NA,4.66870509292313,0.163787419887869
"193",1955,"SC","UA_3702",12.01511693,27.38625962,-13.309,-13.5539507891152,18.4749,"F",NA,4.5192405095898,0.140871514623644
"194",1996,"SE","UA_37972",11.94976813,28.15425237,-14.3699,-15.1109420190918,17.0816,"M",1530,4.64550438080192,0.160115962360211
"195",1995,"SE","UA_37973",10.04461575,26.33890882,-13.1675,-13.8888015797249,17.003,"F",1260,4.65911177928677,0.162264206277539
"196",1995,"SE","UA_37974",9.780950044,26.77078264,-13.2195,-13.9408015797249,16.4499,"M",1170,4.76449655595343,0.179391033631043
"197",1996,"SE","UA_41613",9.46262648,28.02004174,-13.4057,-14.1467420190918,16.7201,"M",1500,5.00200908080192,0.221169300832927
"198",1995,"SE","UA_41615",9.751989565,22.04381816,-14.4843,-15.2056015797249,15.5507,"F",1780,4.05267776792313,0.0805549839578066
"199",1995,"SE","UA_41616",8.87896566,26.51584133,-13.542,-14.2633015797249,16.3578,"F",1550,4.86253338534737,0.196101994605967
"200",1996,"BB","UA_42151",12.6348952,26.94860657,-14.2255,-14.9665420190918,17.8114,"F",1470,4.35902364292313,0.118243422361204
"201",1996,"BB","UA_42152",16.27670003,25.02044226,-13.0812,-13.8222420190918,19.9123,"F",1360,3.51508892474131,0.032123687795269
"202",1996,"BB","UA_43044",16.65402159,26.44322735,-13.3326,-14.0736420190918,19.511,"F",1215,3.67349248989283,0.0440501334016712
