"","Sample.ID","NLE.mean","ALA.mean","VAL.mean","ILE.mean","ASP.mean","PHE.mean","GLU.mean","TYR.mean","THR.mean","SER.mean","PRO.mean","GLY.mean","years","Location.2","Length","Sex","Lat","Long","State","Museum","N.quantity..ug.","d15N","C.quantity..ug.","d13C","Year","d13C.s"
"22","BM_80772",12.70969713,21.21378115,17.98875427,NA,22.64773557,11.41245017,27.21916125,NA,-21.22917955,17.68381701,25.19966667,8.266666667,2007,"Inland",NA,"F",48.5369,-122.5283,"WA","UWBM",46.7091,16.5705,127.7654,-10.9489,2008,-11.9462056868277
"23","BM_80773",15.01376976,19.70325515,26.99023797,NA,24.10649012,11.99954553,26.10441796,NA,NA,14.22407259,24.383,7.808,2007,"Coastal",NA,"F",46.4913,-124.0501,"WA",NA,NA,NA,NA,NA,2008,NA
"24","BM_80774",21.6492238,23.08981143,26.0357268,NA,22.42353823,11.29791967,26.26323411,NA,NA,NA,NA,8.536666667,1994,"Coastal",NA,"F",46.2693,-124.0801,"WA",NA,NA,NA,NA,NA,1995,NA
"25","BM_80776",13.38510184,21.88332889,21.2483434,NA,21.01889518,11.80008333,26.13492101,NA,-31.4925,18.97241667,25.71966667,10.94433333,2006,"Inland",NA,"F",47.5958,-122.5058,"WA","UWBM",36.0278,17.5523,106.1348,-12.3599,2007,-13.3306387015099
"26","BM_80777",12.89827148,22.29341724,24.05227978,NA,24.28376389,11.43165893,28.14413316,NA,-24.2956701,15.56156787,20.058,8.088888889,2007,"Coastal",NA,"M",46.81,-124.0933,"WA","UWBM",44.6502,17.2891,128.5232,-13.1147,2008,-14.1120056868277
"27","BM_80778",12.9354642,22.32636655,20.46448683,NA,24.24618199,10.78815292,29.57097451,NA,-10.96455241,15.08822251,22.30833333,7.725333333,2008,"Coastal",NA,"F",46.9734,-124.1559,"WA","UWBM",48.3294,16.2282,131.0459,-12.8056,2009,-13.8301997521597
"28","BM_80780",13.84179146,23.16074441,22.51208607,NA,24.1978369,17.5675,27.0094912,NA,-22.57329167,16.57466667,29.29633333,7.831666667,2006,"Inland",NA,"F",47.3486,-122.3244,"WA","UWBM",40.9994,17.2182,115.2334,-11.1575,2007,-12.1282387015099
"29","BM_80782",12.86621671,21.97383333,19.47616667,NA,21.714375,10.74410739,28.85783333,NA,-9.285160223,15.871,24.71133333,11.056,2007,"Inland",NA,"M",47.8103,-122.377,"WA","UWBM",46.3147,17.1076,126.3137,-11.9114,2008,-12.9087056868277
"30","BM_81078",13.66910567,20.46467612,19.95070017,NA,23.2397805,10.25948625,24.65756486,NA,-24.73858033,20.43976503,18.77566667,8.845,2008,"Inland",NA,"",48.0946,-122.9153,"WA",NA,NA,NA,NA,NA,2009,NA
"31","BM_81979",9.430580756,21.99982904,17.15345447,NA,25.24008462,13.84189261,26.39897809,NA,-20.04721349,21.74518256,21.955,16.264,2011,"Inland",154,"M",47.5972,-122.3486,"WA",NA,NA,NA,NA,NA,2012,NA
