,Year,years.x,Location.2,TP,Sample.ID,AA,TP.norm,years.y,d13C.s,d13C.norm,years,PHE.mean,PHE.norm,X.x,Col.Dis.An,UpInAn.45.Winter,UpInAn.45.Spring,UpInAn.45.Summer,UpInAn.45.Autumn,UpInAn.45.Annual,TUMI.45,LUSI.45,MEI,ONI,PDO,WA.SST.Wi,WA.SST.Su,WA.SST.Sp,WA.SST.Au,WA.SST.An,Col.Dis.low,Col.Dis.high,NOI,Fras.Dis.high,Fras.Dis.low,Fras.Dis.an,Dis.Total,NPGO,X.y,Herring.Biomass,Chinook,Chum,Coho,HarborSeal,HatcherySmolts,HakeBiomass,EulachonLandings,WildProduction,allSmolt
112,1943,1942,Coastal,2.986469833,SI_274146,Glu,-1.945332983,1942,-13.52184138,0.062500291,1942,7.499578292,-1.825931844,65,0.099574681,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.114166667,0.492938832,0.476473146,0.552763241,0.404323559,0.481624695,-0.022539519,0.244366811,NA,-0.125329927,-0.176908758,-0.148916769,0.137179173,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
113,1943,1942,Inland,5.599251733,SI_274152,Glu,1.285660438,1942,-12.16804138,0.995812286,1942,11.61622728,-0.202037568,65,0.099574681,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.114166667,0.492938832,0.476473146,0.552763241,0.404323559,0.481624695,-0.022539519,0.244366811,NA,-0.125329927,-0.176908758,-0.148916769,0.137179173,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
114,1943,1942,Inland,4.483657877,SI_274153,Glu,-0.093894591,1942,-10.70384138,2.005234227,1942,12.57958677,0.177978792,65,0.099574681,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.114166667,0.492938832,0.476473146,0.552763241,0.404323559,0.481624695,-0.022539519,0.244366811,NA,-0.125329927,-0.176908758,-0.148916769,0.137179173,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
115,1943,1942,Inland,5.52273533,SI_274154,Glu,1.191039454,1942,-9.976541376,2.50663607,1942,9.838522647,-0.903288606,65,0.099574681,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.114166667,0.492938832,0.476473146,0.552763241,0.404323559,0.481624695,-0.022539519,0.244366811,NA,-0.125329927,-0.176908758,-0.148916769,0.137179173,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
116,1943,1942,Coastal,4.136902878,SI_274156,Glu,-0.522695449,1942,-12.34274138,0.875373812,1942,13.94583067,0.71692094,65,0.099574681,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.114166667,0.492938832,0.476473146,0.552763241,0.404323559,0.481624695,-0.022539519,0.244366811,NA,-0.125329927,-0.176908758,-0.148916769,0.137179173,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
117,1943,1942,Coastal,4.06623526,SI_276058,Glu,-0.610083765,1942,-12.05714138,1.072266933,1942,10.47712633,-0.65137865,65,0.099574681,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.114166667,0.492938832,0.476473146,0.552763241,0.404323559,0.481624695,-0.022539519,0.244366811,NA,-0.125329927,-0.176908758,-0.148916769,0.137179173,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
118,1943,1942,Coastal,4.725670593,SI_276059,Glu,0.205380864,1942,-13.96144138,-0.240560688,1942,6.014049229,-2.411928403,65,0.099574681,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.114166667,0.492938832,0.476473146,0.552763241,0.404323559,0.481624695,-0.022539519,0.244366811,NA,-0.125329927,-0.176908758,-0.148916769,0.137179173,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
244,1943,1942,Inland,3.293485197,RM_4934,ASP,0.217082895,1942,-13.75244138,-0.096475737,1942,14.94922054,1.112728081,65,0.099574681,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.114166667,0.492938832,0.476473146,0.552763241,0.404323559,0.481624695,-0.022539519,0.244366811,NA,-0.125329927,-0.176908758,-0.148916769,0.137179173,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
272,1943,1942,Coastal,2.753190547,SI_274144,ASP,-0.117289662,1942,-13.69384138,-0.056076799,1942,15.84088081,1.464461254,65,0.099574681,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.114166667,0.492938832,0.476473146,0.552763241,0.404323559,0.481624695,-0.022539519,0.244366811,NA,-0.125329927,-0.176908758,-0.148916769,0.137179173,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
273,1943,1942,Coastal,3.636669124,SI_274146,ASP,0.42946939,1942,-13.52184138,0.062500291,1942,7.499578292,-1.825931844,65,0.099574681,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.114166667,0.492938832,0.476473146,0.552763241,0.404323559,0.481624695,-0.022539519,0.244366811,NA,-0.125329927,-0.176908758,-0.148916769,0.137179173,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
274,1943,1942,Inland,4.03045125,SI_274152,ASP,0.673169631,1942,-12.16804138,0.995812286,1942,11.61622728,-0.202037568,65,0.099574681,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.114166667,0.492938832,0.476473146,0.552763241,0.404323559,0.481624695,-0.022539519,0.244366811,NA,-0.125329927,-0.176908758,-0.148916769,0.137179173,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
275,1943,1942,Inland,3.410864772,SI_274153,ASP,0.28972568,1942,-10.70384138,2.005234227,1942,12.57958677,0.177978792,65,0.099574681,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.114166667,0.492938832,0.476473146,0.552763241,0.404323559,0.481624695,-0.022539519,0.244366811,NA,-0.125329927,-0.176908758,-0.148916769,0.137179173,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
276,1943,1942,Inland,4.745699991,SI_274154,ASP,1.115816157,1942,-9.976541376,2.50663607,1942,9.838522647,-0.903288606,65,0.099574681,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.114166667,0.492938832,0.476473146,0.552763241,0.404323559,0.481624695,-0.022539519,0.244366811,NA,-0.125329927,-0.176908758,-0.148916769,0.137179173,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
277,1943,1942,Coastal,2.813931601,SI_274156,ASP,-0.0796988,1942,-12.34274138,0.875373812,1942,13.94583067,0.71692094,65,0.099574681,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.114166667,0.492938832,0.476473146,0.552763241,0.404323559,0.481624695,-0.022539519,0.244366811,NA,-0.125329927,-0.176908758,-0.148916769,0.137179173,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
278,1943,1942,Coastal,3.850508694,SI_276058,ASP,0.561808445,1942,-12.05714138,1.072266933,1942,10.47712633,-0.65137865,65,0.099574681,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.114166667,0.492938832,0.476473146,0.552763241,0.404323559,0.481624695,-0.022539519,0.244366811,NA,-0.125329927,-0.176908758,-0.148916769,0.137179173,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
279,1943,1942,Coastal,5.057055489,SI_276059,ASP,1.308504968,1942,-13.96144138,-0.240560688,1942,6.014049229,-2.411928403,65,0.099574681,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.114166667,0.492938832,0.476473146,0.552763241,0.404323559,0.481624695,-0.022539519,0.244366811,NA,-0.125329927,-0.176908758,-0.148916769,0.137179173,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
405,1943,1942,Inland,3.319148069,RM_4934,PRO,-0.453456615,1942,-13.75244138,-0.096475737,1942,14.94922054,1.112728081,65,0.099574681,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.114166667,0.492938832,0.476473146,0.552763241,0.404323559,0.481624695,-0.022539519,0.244366811,NA,-0.125329927,-0.176908758,-0.148916769,0.137179173,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
433,1943,1942,Coastal,3.470205087,SI_274144,PRO,-0.216059647,1942,-13.69384138,-0.056076799,1942,15.84088081,1.464461254,65,0.099574681,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.114166667,0.492938832,0.476473146,0.552763241,0.404323559,0.481624695,-0.022539519,0.244366811,NA,-0.125329927,-0.176908758,-0.148916769,0.137179173,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
434,1943,1942,Coastal,4.556909737,SI_274146,PRO,1.491774856,1942,-13.52184138,0.062500291,1942,7.499578292,-1.825931844,65,0.099574681,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.114166667,0.492938832,0.476473146,0.552763241,0.404323559,0.481624695,-0.022539519,0.244366811,NA,-0.125329927,-0.176908758,-0.148916769,0.137179173,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
435,1943,1942,Inland,3.497506344,SI_274152,PRO,-0.173153759,1942,-12.16804138,0.995812286,1942,11.61622728,-0.202037568,65,0.099574681,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.114166667,0.492938832,0.476473146,0.552763241,0.404323559,0.481624695,-0.022539519,0.244366811,NA,-0.125329927,-0.176908758,-0.148916769,0.137179173,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
436,1943,1942,Inland,3.535861063,SI_274153,PRO,-0.11287656,1942,-10.70384138,2.005234227,1942,12.57958677,0.177978792,65,0.099574681,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.114166667,0.492938832,0.476473146,0.552763241,0.404323559,0.481624695,-0.022539519,0.244366811,NA,-0.125329927,-0.176908758,-0.148916769,0.137179173,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
437,1943,1942,Inland,3.474302133,SI_274154,PRO,-0.209620846,1942,-9.976541376,2.50663607,1942,9.838522647,-0.903288606,65,0.099574681,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.114166667,0.492938832,0.476473146,0.552763241,0.404323559,0.481624695,-0.022539519,0.244366811,NA,-0.125329927,-0.176908758,-0.148916769,0.137179173,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
438,1943,1942,Coastal,2.971479545,SI_274156,PRO,-0.999842701,1942,-12.34274138,0.875373812,1942,13.94583067,0.71692094,65,0.099574681,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.114166667,0.492938832,0.476473146,0.552763241,0.404323559,0.481624695,-0.022539519,0.244366811,NA,-0.125329927,-0.176908758,-0.148916769,0.137179173,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
439,1943,1942,Coastal,4.177031824,SI_276058,PRO,0.894769399,1942,-12.05714138,1.072266933,1942,10.47712633,-0.65137865,65,0.099574681,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.114166667,0.492938832,0.476473146,0.552763241,0.404323559,0.481624695,-0.022539519,0.244366811,NA,-0.125329927,-0.176908758,-0.148916769,0.137179173,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
440,1943,1942,Coastal,3.245025882,SI_276059,PRO,-0.569944961,1942,-13.96144138,-0.240560688,1942,6.014049229,-2.411928403,65,0.099574681,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.114166667,0.492938832,0.476473146,0.552763241,0.404323559,0.481624695,-0.022539519,0.244366811,NA,-0.125329927,-0.176908758,-0.148916769,0.137179173,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
566,1943,1942,Inland,2.44626545,RM_4934,VAL,-0.212691397,1942,-13.75244138,-0.096475737,1942,14.94922054,1.112728081,65,0.099574681,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.114166667,0.492938832,0.476473146,0.552763241,0.404323559,0.481624695,-0.022539519,0.244366811,NA,-0.125329927,-0.176908758,-0.148916769,0.137179173,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
594,1943,1942,Coastal,2.32380915,SI_274144,VAL,-0.462368107,1942,-13.69384138,-0.056076799,1942,15.84088081,1.464461254,65,0.099574681,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.114166667,0.492938832,0.476473146,0.552763241,0.404323559,0.481624695,-0.022539519,0.244366811,NA,-0.125329927,-0.176908758,-0.148916769,0.137179173,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
595,1943,1942,Coastal,2.467078749,SI_274146,VAL,-0.170255066,1942,-13.52184138,0.062500291,1942,7.499578292,-1.825931844,65,0.099574681,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.114166667,0.492938832,0.476473146,0.552763241,0.404323559,0.481624695,-0.022539519,0.244366811,NA,-0.125329927,-0.176908758,-0.148916769,0.137179173,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
