,Sample.ID,NLE.mean,ALA.mean,VAL.mean,ILE.mean,ASP.mean,PHE.mean,GLU.mean,TYR.mean,THR.mean,SER.mean,PRO.mean,GLY.mean,TP.class,TP.ger,X,Sex,years,County,Location.2,Lat,Long,Length,Weight,Age,Date,Month
95,SM_15182,12.33999319,23.15328166,25.91909483,NA,25.04502158,9.725371948,25.6215866,NA,-23.61819932,13.33513629,29.01866667,10.91933333,2.64423877,3.90609643,1,M,1970,Pierce,Inland,47.228131,-122.677532,NA,NA,20,11/24/70,11
83,RM_9874,16.2003634,24.40668983,25.40496248,NA,26.64985036,11.51381038,29.50999256,NA,-16.82083519,14.73366667,26.58366667,9.2155,2.920550287,4.394460972,NA,,1970,Strait of Georgia,Inland,49.020474,-123.042875,NA,NA,NA,3/1/70,3
97,SM_15209,14.23699372,23.49011433,28.40083299,NA,15.53266569,NA,27.29668746,NA,NA,NA,26.06266667,10.19433333,NA,NA,NA,,1970,Pierce,Inland,47.368651,-122.546965,NA,NA,NA,9/8/70,9
72,RM_7412,20.69326636,21.29117027,22.74360085,NA,25.61877213,14.73779601,26.75194761,NA,-32.68175704,12.58972954,25.33733333,5.962666667,2.133441001,3.003291071,NA,,1971,Salish Sea,Inland,48.387819,-123.513779,NA,NA,NA,7/27/71,7
96,SM_15204,28.83122509,22.95442612,28.50791409,NA,15.16807775,10.73133333,29.43034407,NA,-3.700708333,21.05633333,27.5805,12.012,3.013027729,4.557909474,NA,M,1971,Pierce,Inland,47.228131,-122.677532,NA,NA,12,1/16/71,1
100,SM_16043,14.08771607,23.23886727,28.47074399,NA,16.27996778,11.92696435,28.08811856,NA,-19.76595833,20.407,25.92716667,9.9605,2.679099238,3.967710281,NA,F,1972,Pierce,Inland,47.216785,-122.660398,NA,NA,NA,6/14/72,6
106,SM_16097,13.628954,25.60126193,28.00741767,NA,17.98449415,10.37299081,26.70884572,NA,-21.81458105,21.0185741,25.77666667,15.04144444,2.702086173,4.008338352,NA,F,1972,Grays Harbor,Coastal,46.929986,-124.168851,77.5,7,0,6/14/72,6
104,SM_16095,11.47867348,22.97238501,24.83490517,NA,26.54997842,8.932294719,25.3674134,NA,-29.90746735,11.91119705,33.13666667,11.57266667,2.715147195,4.031422949,1,F,1972,Grays Harbor,Coastal,46.929986,-124.168851,67.3,5.4,0,12/20/72,12
103,SM_16062,21.79572229,25.3458518,29.25999055,NA,15.46275601,9.599780069,28.95765765,NA,-21.70404854,23.05666667,27.07316667,11.18766667,3.099720734,4.71113432,NA,M,1972,Island,Inland,48.322464,-122.824309,144.8,61.2,12,8/9/72,8
105,SM_16096,17.87818055,22.97298258,22.07811742,NA,12.70204773,7.736419923,29.9368947,NA,-10.40197143,20.81366667,25.87883333,7.568333333,3.473746681,5.372203436,NA,F,1972,Grays Harbor,Coastal,46.929986,-124.168851,149.9,72.6,15,6/9/72,6
102,SM_16056,13.5869639,24.47034491,26.81222719,NA,12.73041103,NA,28.70761958,NA,NA,NA,5.690666667,9.453333333,NA,NA,NA,M,1972,Island,Inland,48.319011,-122.83727,129.5,49.9,8,7/18/72,7
107,SM_20085,12.59427591,22.78580338,24.45010011,NA,18.0205669,13.57942672,25.88000491,NA,-19.9514754,18.99868581,25.42566667,12.119,2.17112871,3.069901906,NA,M,1975,Pierce,Inland,47.216785,-122.660398,NA,NA,NA,9/1/75,9
110,SM_21182,11.54697079,24.68708806,19.54566924,NA,16.05786125,15.14690163,26.00309192,NA,-11.14110696,23.36366667,29.218,19.60666667,1.98107767,2.733997742,NA,F,1976,Pierce,Inland,47.216785,-122.660398,NA,NA,NA,8/25/76,8
109,SM_21180,16.33996692,22.286125,26.33216667,NA,14.547375,13.45198582,25.768,NA,-14.16879167,23.428,27.90033333,10.691,2.17315976,3.073491669,NA,F,1976,Pierce,Inland,47.216785,-122.660398,NA,NA,NA,9/4/76,9
108,SM_20087,15.16913703,23.72695533,26.00143643,NA,14.48109837,16.02772852,28.59527878,NA,-16.41247723,21.02,25.84766667,10.37533333,2.206256613,3.131988432,NA,F,1976,Pierce,Inland,47.216785,-122.660398,NA,NA,NA,1/4/76,1
3,BM_32053,17.99134894,24.54154167,25.2605,NA,24.52154167,13.6774433,28.30520833,NA,-3.935905069,19.84966667,28.351,10.08666667,2.477337505,3.611108148,NA,M,1977,Island,Inland,48.225,-122.7689,NA,NA,NA,7/1/77,7
120,SM_25714,11.67806069,22.27262642,23.80933681,NA,18.68489794,13.3201865,27.95909584,NA,-16.48609164,17.84262124,28.03583333,12.629,2.47880386,3.613699845,NA,M,1977,Grays Harbor,Coastal,47.227824,-124.212433,NA,NA,NA,6/10/77,6
115,SM_25702,11.36210095,25.32801031,27.45427749,NA,15.32324012,13.10449657,28.13262156,NA,-21.98938273,22.505,29.39766667,18.018,2.530016447,3.704215115,NA,F,1977,Grays Harbor,Coastal,47.311683,-124.279235,NA,NA,NA,3/17/77,3
101,SM_16044,13.83679575,20.84683376,26.92375172,NA,-38.18680412,11.14666495,26.51416452,NA,-20.53011985,13.38,24.87908333,25.98866667,2.574670996,3.783139435,NA,F,1977,Pierce,Inland,47.216785,-122.660398,NA,NA,NA,8/1/72,8
114,SM_25701,14.19662222,23.7884705,25.52622138,NA,17.3290281,12.48603469,28.57999307,NA,-14.54952116,16.70894781,25.47566667,10.3925,2.670257681,3.952083344,NA,F,1977,Grays Harbor,Coastal,47.311683,-124.279235,NA,NA,NA,3/17/77,3
128,SM_25895,16.04674945,24.4914643,26.69773153,NA,15.03433873,10.32963181,26.72878968,NA,-19.69867133,25.26133333,25.75816667,12.901,2.710415509,4.02305997,NA,F,1977,Island,Inland,48.322464,-122.824309,NA,NA,NA,7/14/77,7
118,SM_25711,17.85029167,23.825,23.68108333,NA,14.06079167,12.62169868,29.079125,NA,-18.81595833,17.07866667,20.29433333,7.547,2.71808241,4.036610771,NA,F,1977,Grays Harbor,Coastal,46.983304,-123.984406,NA,NA,NA,6/10/77,6
117,SM_25706,15.30327831,22.30383419,22.90750331,NA,15.34909006,11.52920804,28.01066638,NA,-7.219271536,26.39233333,28.61066667,10.70833333,2.721244519,4.042199615,NA,M,1977,Grays Harbor,Coastal,46.983304,-123.984406,NA,NA,NA,5/20/77,5
125,SM_25892,9.383446735,23.42323411,25.28986254,NA,13.81449699,11.94923239,28.59998625,NA,-9.870087199,18.83566667,28.421,10.81433333,2.743520246,4.081570667,NA,F,1977,Island,Inland,48.322464,-122.824309,NA,NA,NA,6/21/77,6
112,SM_25696,15.23742297,23.63141624,22.79005298,NA,14.10223625,11.63570475,28.3335746,NA,-22.79271406,21.448,28.52088889,15.74666667,2.749719716,4.092527871,NA,M,1977,Grays Harbor,Coastal,47.096914,-124.187536,NA,NA,NA,2/3/77,2
76,RM_9723,14.93527019,23.40765588,28.29024759,NA,25.56287077,9.853526643,27.12400909,NA,-30.03478797,20.67335827,29.24066667,10.68166667,2.825063479,4.225693591,NA,,1977,Salish Sea,Inland,48.4198,-123.274305,NA,NA,NA,9/20/77,9
2,BM_32052,13.82677456,22.14576263,22.85177626,NA,22.45310278,9.919833049,27.23310108,NA,-18.20001079,18.13917547,23.572,10.878,2.830693162,4.235643728,1,M,1977,Island,Inland,48.2933,-122.5985228,92,NA,NA,4/24/77,4
116,SM_25705,14.37312715,22.20263101,26.44793986,NA,13.4027195,10.39486125,27.89960223,NA,-19.48129167,15.82633333,30.5535,8.240666667,2.855886971,4.280172321,NA,F,1977,Grays Harbor,Coastal,47.311683,-124.279235,NA,NA,NA,5/20/77,5
127,SM_25894,13.49829596,23.8455189,23.24507818,NA,15.55036383,9.895883162,27.81556314,NA,-16.84985782,18.90666667,26.46333333,11.76666667,2.910484208,4.376669763,NA,F,1977,Island,Inland,48.322464,-122.824309,NA,NA,NA,6/9/77,6
111,SM_25695,15.72408848,22.02062561,27.78098661,NA,13.77729508,NA,27.3901444,NA,NA,NA,31.106,7.836333333,NA,NA,NA,M,1977,Grays Harbor,Coastal,47.096914,-124.187536,NA,NA,NA,2/3/77,2
113,SM_25700,15.30893584,20.21275427,26.67473347,NA,13.67733373,NA,27.81385835,NA,NA,NA,28.72866667,6.141333333,NA,NA,NA,M,1977,Grays Harbor,Coastal,47.311683,-124.279235,NA,NA,NA,2/3/77,2
119,SM_25712,9.981946735,23.20752792,26.71563746,NA,14.89595662,NA,28.40518299,NA,NA,NA,24.204,7.913333333,NA,NA,NA,F,1977,Grays Harbor,Coastal,46.983304,-123.984406,NA,NA,NA,6/10/77,6
126,SM_25893,13.59944987,23.82621625,28.373147,NA,15.91103904,NA,27.5515723,NA,NA,NA,21.77733333,14.35,NA,NA,NA,F,1977,Island,Inland,48.322464,-122.824309,NA,NA,NA,6/14/77,6
123,SM_25743,14.50693256,23.43498582,26.79255842,NA,14.92987844,11.41138875,26.06463402,NA,-21.361625,19.721,30.5295,8.595666667,2.480690168,3.617033785,NA,F,1978,Grays Harbor,Coastal,47.227824,-124.212433,NA,NA,NA,4/14/78,4
121,SM_25740,13.24748675,20.33742567,26.51557818,NA,21.7084205,11.56626055,27.22231352,NA,NA,8.767114708,28.7525,11.80708333,2.612638549,3.850244877,NA,F,1978,Grays Harbor,Coastal,47.227824,-124.212433,NA,NA,NA,6/9/78,6
122,SM_25742,13.47819416,23.71439218,21.0549854,NA,14.59716838,12.30440507,29.57453909,NA,-7.492486254,19.60266667,27.57333333,11.732,2.825017634,4.225612563,NA,M,1978,Grays Harbor,Coastal,47.227824,-124.212433,NA,NA,NA,6/9/78,6
124,SM_25744,14.63236089,24.49910309,26.17877491,NA,14.72719287,7.329783896,29.54817397,NA,-22.16997158,16.44233333,30.42116667,8.776,3.476103957,5.376369784,NA,F,1978,Grays Harbor,Coastal,47.227824,-124.212433,NA,NA,NA,7/21/78,7
67,RM_10273,20.93964753,21.70468063,24.16312159,NA,21.28856894,14.41327274,25.99244541,NA,-22.26237887,17.55400788,26.26458333,10.72975,2.076206931,2.90213318,NA,,1979,Salish Sea,Inland,48.737991,-123.430264,NA,NA,NA,11/13/79,11
72,RM_12847,13.59197436,23.81823397,32.9689391,NA,26.38508974,14.71579263,28.50993269,NA,-31.42257667,14.4961606,30.19466667,11.59833333,2.367650008,3.417241875,NA,,1979,Salish Sea,Inland,48.980425,-125.392034,NA,NA,NA,7/1/79,7
16,BM_36044,13.05177491,22.13909708,20.8484957,NA,24.86140421,11.92477942,26.39671177,NA,-36.26643406,21.83156207,28.7645,10.702,2.456833203,3.574867987,1,F,1979,Kitsap,Inland,47.8628,-122.5133,105,NA,NA,2/5/87,2
