"","Year","Col.Dis.An","UpInAn.45.Winter","UpInAn.45.Spring","UpInAn.45.Summer","UpInAn.45.Autumn","UpInAn.45.Annual","TUMI.45","LUSI.45","MEI","ONI","PDO","WA.SST.Wi","WA.SST.Su","WA.SST.Sp","WA.SST.Au","WA.SST.An","Col.Dis.low","Col.Dis.high","NOI","Fras.Dis.high","Fras.Dis.low","Fras.Dis.an","Dis.Total","NPGO"
"1",1879,0.266292395715523,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.639605358507506,-0.186859792976442,0.416096625243428,-0.458676357005972,0.102541458442129,0.340486508438838,0.393471611639891,NA,NA,NA,NA,NA,NA
"2",1880,0.359078691901058,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.710394387179344,-0.544193294156477,-0.707236669942956,-0.249010104869688,-0.552708614037117,0.621657535657945,0.306254100496094,NA,NA,NA,NA,NA,NA
"3",1881,0.302786559594217,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.376272355781269,-0.0701933170446765,0.432430205260495,-0.872343082164649,-0.0334584595418903,0.253963861182973,0.386720283434878,NA,NA,NA,NA,NA,NA
"4",1882,0.223845165875979,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.00706100934121,-0.673526790250209,-0.910570206726803,-0.452010173534289,-0.760792044963129,0.309222191814532,0.369714712672481,NA,NA,NA,NA,NA,NA
"5",1883,0.0932439750282406,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.40039428545408,0.243139876416457,-0.0272370005500449,-0.155343074535246,-0.0849586210307294,0.0860068950531385,0.206913785217322,NA,NA,NA,NA,NA,NA
"6",1884,0.18173753189193,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.363727574282613,-0.0908600752640432,0.289429920429779,-0.019009926850508,-0.0460419139918464,0.368461639277335,0.30776919189074,NA,NA,NA,NA,NA,NA
"7",1885,0.132259180109191,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.106272215909035,0.246473603935156,-0.0139033620409084,0.987990360523371,0.331708204581663,0.224417189882809,0.153977013531202,NA,NA,NA,NA,NA,NA
"8",1886,0.0845741646441169,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.632938857144387,0.0898068482588901,-0.0372365936490127,-0.205676415497962,0.119958174064076,0.0715290751725242,0.201700147286436,NA,NA,NA,NA,NA,NA
"9",1887,0.359713621493686,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.490394438041971,-0.996859894701743,-0.190903407817302,-0.622343082164619,-0.57512520568141,0.401274727653348,0.479745253442982,NA,NA,NA,NA,NA,NA
"10",1888,0.0666369483128904,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.513727828595764,0.19914020448039,0.422763444497974,0.560989996855538,0.167291454309535,0.198682802013304,0.144922109189354,NA,NA,NA,NA,NA,NA
"11",1889,-0.364477476527917,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.98293860283124,-0.0868600472896102,0.379430073017661,-0.078676560456449,0.299208017025711,-0.14074250859065,-0.313594856875184,NA,NA,NA,NA,NA,NA
"12",1890,0.0530355452028424,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.530394717786441,-0.520193444201244,-0.373903336609596,-0.422009804780188,-0.461625325844368,0.0528167976140939,0.252568083214459,NA,NA,NA,NA,NA,NA
"13",1891,-0.0909560106642591,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.230394685997293,0.0831400290043565,0.122762935871652,-0.149009723399999,-0.0433753611303214,0.101832976023386,-0.0269515913729457,NA,NA,NA,NA,NA,NA
"14",1892,0.0598741413862545,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.473727707797021,-1.20086004983271,-0.693903349325275,-0.535676339204025,-0.726041861539759,0.193541402512885,0.0750178805213562,NA,NA,NA,NA,NA,NA
"15",1893,0.211342142191155,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.4670612064339,-0.78019335519161,-0.773903590922762,-0.935343125397855,-0.739125319486533,0.351183770165893,0.270179021190266,NA,NA,NA,NA,NA,NA
"16",1894,0.507908476041564,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.39372794303668,-0.853526777534576,-0.957236352051488,-1.32901002857577,-1.13337527529963,0.410480176940212,0.725063133069508,NA,NA,NA,NA,NA,NA
