Sample.ID,NLE.mean,ALA.mean,VAL.mean,ILE.mean,ASP.mean,PHE.mean,GLU.mean,TYR.mean,THR.mean,SER.mean,PRO.mean,GLY.mean,years,Location.2,Length,Sex,Lat,Long,State
NM_2232,18.06113347,24.69064358,20.99145626,NA,23.32625629,12.05602983,28.27049167,NA,-17.47400636,14.6139983,27.28266667,10.485,2013,Inland,NA,F,47.689483,-122.40326,WA
NM_2231,11.22227932,21.07821306,22.14672432,NA,22.86450803,12.11708677,34.52881579,NA,-24.57717053,12.81472079,22.69233333,34.31066667,2013,Inland,NA,F,47.320554,-122.574221,WA
SM_27370,18.27006529,23.45304081,21.38874656,NA,15.41260825,12.13585266,27.5323793,NA,0.017615979,18.53233333,26.95366667,12.49666667,1979,Inland,NA,M,47.216785,-122.660398,WA
RM_9802,15.45369748,22.1928398,24.70284545,NA,24.17738203,12.36624135,26.25033616,NA,-25.8006455,21.24276523,25.79766667,10.30333333,1970,Inland,NA,,49.020474,-123.042875,WA
SI_274153,12.99326428,24.64879899,26.84317969,NA,24.69745826,12.57958677,27.46594686,NA,-26.2119143,12.00533333,26.761,10.88966667,1942,Inland,NA,F,47.095908,-122.686415,WA
NM_1918,NA,22.40930304,23.71300585,NA,NA,12.58214229,26.76421781,NA,-20.91555842,16.1334027,24.32766667,16.86511111,1998,Inland,145,F,47.2179,-122.6599,WA
SM_21180,16.33996692,22.286125,26.33216667,NA,14.547375,13.45198582,25.768,NA,-14.16879167,23.428,27.90033333,10.691,1976,Inland,NA,F,47.216785,-122.660398,WA
NM_1915,12.57270807,23.1850262,29.9850612,NA,17.41070371,13.47608296,27.10269553,NA,-25.08732697,16.22011501,27.51466667,9.738,1996,Inland,149,M,47.2179,-122.6599,WA
SM_20085,12.59427591,22.78580338,24.45010011,NA,18.0205669,13.57942672,25.88000491,NA,-19.9514754,18.99868581,25.42566667,12.119,1975,Inland,NA,M,47.216785,-122.660398,WA
BM_32053,17.99134894,24.54154167,25.2605,NA,24.52154167,13.6774433,28.30520833,NA,-3.935905069,19.84966667,28.351,10.08666667,1977,Inland,NA,M,48.225,-122.7689,WA
BM_51213,13.69705477,22.09291838,23.06769674,NA,26.55854854,13.83063574,28.89579381,NA,-14.90018686,16.6,24.90433333,12.192,1983,Inland,109,M,47.2901,-122.6664,WA
BM_81979,9.430580756,21.99982904,17.15345447,NA,25.24008462,13.84189261,26.39897809,NA,-20.04721349,21.74518256,21.955,16.264,2011,Inland,154,M,47.5972,-122.3486,WA
NM_2236,12.18072765,23.56414387,9.765487271,NA,20.72850888,13.86935583,26.1108804,NA,-17.09781291,13.8505074,27.38533333,30.71866667,2014,Inland,NA,,47.2179,-122.6599,WA
RM_10834,14.37758654,24.73533013,30.64334615,NA,28.39025962,13.91252257,28.57654487,NA,-28.31540142,13.89708518,27.73266667,11.21166667,1982,Inland,NA,,49.325751,-122.947681,WA
RM_2361,15.85361616,22.7529063,26.19753606,NA,14.87965815,14.093963,26.31757013,NA,-27.5442181,16.16044916,26.61766667,9.664666667,1937,Inland,NA,,48.419694,-123.242538,WA
RM_11768,15.56059184,22.38987241,26.48865601,NA,28.1844172,14.11611234,28.43045367,NA,-29.75189091,17.57848194,27.60233333,11.295,1983,Inland,NA,,48.425531,-123.424281,WA
NM_2233,13.83663688,24.05547425,21.08422358,NA,22.53326077,14.32697832,25.57555802,NA,-10.67557149,14.73799741,29.15066667,14.244,2013,Inland,NA,M,47.378484,-122.625431,WA
RM_10273,20.93964753,21.70468063,24.16312159,NA,21.28856894,14.41327274,25.99244541,NA,-22.26237887,17.55400788,26.26458333,10.72975,1979,Inland,NA,,48.737991,-123.430264,WA
RM_12847,13.59197436,23.81823397,32.9689391,NA,26.38508974,14.71579263,28.50993269,NA,-31.42257667,14.4961606,30.19466667,11.59833333,1979,Inland,NA,,48.980425,-125.392034,WA
RM_9733,18.99633518,23.22712127,23.14072334,NA,25.06831173,14.72569534,27.83241045,NA,-23.3952514,14.97929288,26.717625,13.80025,1969,Inland,NA,,49.020474,-123.042875,WA
RM_7412,20.69326636,21.29117027,22.74360085,NA,25.61877213,14.73779601,26.75194761,NA,-32.68175704,12.58972954,25.33733333,5.962666667,1971,Inland,NA,,48.387819,-123.513779,WA
NM_1905,13.96204618,21.7128656,22.30162937,NA,23.44931912,14.86308703,27.43935642,NA,-3.757355832,15.41252575,28.33,11.95966667,1999,Inland,170,M,47.2179,-122.6599,WA
RM_11449,12.02313973,24.53974008,25.14761634,NA,26.28895629,14.9120444,28.44799882,NA,-29.16640616,14.96934991,28.64333333,8.535333333,1982,Inland,NA,,48.602875,-123520827,WA
RM_4934,13.88831314,23.22767746,26.27708575,NA,26.65794037,14.94922054,26.94199091,NA,-22.54262678,20.4240097,27.948,13.549,1942,Inland,NA,,48.412071,-123.313368,WA
SM_21182,11.54697079,24.68708806,19.54566924,NA,16.05786125,15.14690163,26.00309192,NA,-11.14110696,23.36366667,29.218,19.60666667,1976,Inland,NA,F,47.216785,-122.660398,WA
RM_9732,15.10592499,18.19816504,25.38958378,NA,29.49093984,15.21319324,26.98758874,NA,-19.23756357,12.0940077,25.07533333,7.216666667,1969,Inland,NA,,49.020474,-123.042875,WA
SM_20087,15.16913703,23.72695533,26.00143643,NA,14.48109837,16.02772852,28.59527878,NA,-16.41247723,21.02,25.84766667,10.37533333,1976,Inland,NA,F,47.216785,-122.660398,WA
SI_253041,14.06892536,20.89324645,27.18672824,NA,26.23656123,16.63569812,28.79415194,NA,-24.80188492,12.36495619,24.89833333,8.11,1928,Inland,NA,M,48.473108,-122.468463,WA
SI_253043,12.47650963,NA,NA,NA,NA,17.53223865,28.88655924,NA,-6.611066426,19.58166667,7.183,NA,1928,Inland,NA,F,48.473108,-122.468463,WA
BM_80780,13.84179146,23.16074441,22.51208607,NA,24.1978369,17.5675,27.0094912,NA,-22.57329167,16.57466667,29.29633333,7.831666667,2006,Inland,NA,F,47.3486,-122.3244,WA
RM_11409,16.71361053,22.20576943,27.62971899,NA,25.84493876,18.19933289,28.59382686,NA,-32.63017895,12.19845086,26.19966667,8.059,1983,Inland,NA,,48.660607,-123.449852,WA
SM_15209,14.23699372,23.49011433,28.40083299,NA,15.53266569,NA,27.29668746,NA,NA,NA,26.06266667,10.19433333,1970,Inland,NA,,47.368651,-122.546965,WA
SM_16056,13.5869639,24.47034491,26.81222719,NA,12.73041103,NA,28.70761958,NA,NA,NA,5.690666667,9.453333333,1972,Inland,129.5,M,48.319011,-122.83727,WA
