"","Year","MEI","ONI","PDO","NOI","NPGO","up.GOA1.an","up.GOA1.wi","up.GOA1.su","up.GOA1.sp","up.GOA1.au","up.GOA2.an","up.GOA2.wi","up.GOA2.su","up.GOA2.sp","up.GOA2.au","GOA.SST.An","GOA.SST.Sp","GOA.SST.Su","GOA.SST.Wi","GOA.SST.Au","Dis.Annual","Dis.High","Dis.Low","up.SE1.an","up.SE1.wi","up.SE1.su","up.SE1.sp","up.SE1.au","up.SE2.an","up.SE2.wi","up.SE2.su","up.SE2.sp","up.SE2.au","SE.SST.An","SE.SST.Sp","SE.SST.Su","SE.SST.Wi","SE.SST.Au","EBS.SST.An","EBS.SST.Sp","EBS.SST.Su","EBS.SST.Wi","EBS.SST.Au","Kusk.Dis.An","Kusk.Dis.high","Kusk.Dis.low","U","V","UR","VR"
"1",1950,-1.09433333333333,-0.86,-1.81,0.746333333333333,-0.766433333333333,-3.25809653802148,4.89034912822175,-1.67397643357167,-2.66258782702545,-3.2188758248682,-3.20206870655182,4.56434819146784,-1.38629436111989,-2.03688192726104,-3.10608033072286,-0.461787058874471,-0.595854133308756,-0.463047593773259,-0.659850247512906,-0.128396260902963,-0.378161511404553,-0.0461265375449429,-0.522173693276239,-2.46385324059017,4.66343909411207,-2.56494935746154,-3.41224721784874,2.30258509299405,-3.2088254890147,5.0998664278242,-1.89711998488588,-3.48635519000246,-3.2188758248682,-0.536951193912974,-0.812053449995651,-0.400001826841249,-0.805035437822811,-0.130714060992187,-0.368701248341772,-0.29024457413229,-0.498745710421828,-0.00317358670488044,-0.682641122108087,NA,NA,NA,-2.14567278,-0.674130318,-1.993901893,1.040537653
"2",1951,0.01375,0.430833333333333,-0.769166666666667,-0.275,-0.961158333333333,2.32727770558442,-1.6094379124341,-1.38629436111989,0.693147180559945,3.47609868983527,2.63308716262875,2.39789527279837,0,1.6094379124341,3.54577861047326,-0.0243703464314287,-0.336187452019086,0.576952685971241,-0.526516802917569,0.188270183239701,-0.15910389230039,-0.125557853828465,-0.16594154492291,2.87638551592142,-2.94443897916644,0.980829253011726,2.63905732961526,3.70540875606515,2.54553127160443,-3.87120101090789,-0.287682072451781,2.23359222150709,3.72166927693693,0.209632108902801,-0.0820532719764344,1.07666462365929,-0.571702168067765,0.415619251996114,0.0887988648325466,-0.220244588735431,0.304588048886031,0.0934930871143439,0.177358912065242,-0.230178939557927,NA,0.461899503284494,-1.361292882,-0.988468187,-1.661531986,0.26362687
"3",1952,-0.0625,0.174166666666667,-0.865833333333333,0.143833333333333,-0.639416666666667,-2.10006082888257,-4.47733681447821,-0.980829253011726,-1.09861228866811,-2.07944154167984,0.773189888233482,-4.20469261939097,-0.847297860387204,0,2.85263142991332,-0.190620376631118,-0.404854148567545,-0.471380799949992,-0.168516762863249,0.282270204856317,0.0929036660162001,0.132636218247116,0.0837764183756828,-2.35928043667059,3.09104245335832,-0.405465108108164,-2.85263142991332,-3.53611669956153,-2.83321334405622,-4.43081679884331,0.847297860387204,-2.4567357728213,-3.62877553004423,0.0730488998650074,-0.143386451450325,-0.0420020252054822,-0.164035484870745,0.64161956098658,-0.138784504407619,-0.198244596305222,-0.534078867007524,-0.0135069062099361,0.190692351892209,0.146073070375406,0.15864828099029,0.116618958297266,-1.007363011,-0.516240324,-1.07735025,0.347276182
"4",1953,0.328833333333333,0.713333333333333,-0.156666666666667,1.546,1.08228333333333,-2.6149597780362,-5.11198778835654,0.405465108108164,-1.38629436111989,-2.03688192726104,-1.99243016469021,-4.90527477843843,0,-0.847297860387204,-1.09861228866811,0.55146311326375,0.587145954429285,0.683619568804074,0.490149927327383,0.444937002494258,0.0255575203305956,-0.0116749910155605,0.0435902658149434,-2.93562834948429,-3.73766961828337,-0.405465108108164,-0.980829253011726,-3.64631983969514,-2.46385324059017,-4.70953020131233,0.980829253011726,-1.67397643357167,-1.38629436111989,0.699715445732938,0.501279902411183,1.26333143019819,0.404964441378438,0.629286008943946,0.192965497350719,0.339755428549916,0.717921146979698,0.173493097743839,-0.459307683870576,0.0192890173309195,-0.236160591550322,0.268793692464442,-2.421021504,-3.559016688,-4.228525557,-0.804684111
"5",1954,-0.922083333333333,-0.400833333333333,-0.290833333333333,0.39075,0.207075,1.25276296849537,-3.36729582998647,0.693147180559945,-2.26868354131836,2.6149597780362,-0.510825623765991,-4.11087386417331,0.693147180559945,-2.26868354131836,2.26868354131836,0.240713105634351,0.167479346254641,0.146952698686874,0.246816746581944,0.401603631013947,-0.108763764992521,-0.217994140063748,-0.0677321088557861,0.405465108108164,3.89182029811063,2.23359222150709,-1.73460105538811,-3.32022831912849,2.46385324059017,3.09104245335832,2.03688192726104,-0.287682072451781,2.03688192726104,0.382965515351156,0.187946708950055,0.523331341188586,0.308297946373152,0.512286064892834,0.0296321428329009,0.139755390800307,-0.122078846662472,-0.103173565843253,0.204025593037023,-0.049906652777695,-0.442107951925617,0.278421700684344,-2.092642418,-2.731820822,-3.411410672,-0.451967384
"6",1955,-1.60891666666667,-0.948333333333333,-1.94833333333333,2.41641666666667,-0.0749,1.84582669049833,4.64439089914137,0.287682072451781,0.510825623765991,-3.70540875606515,2.08980432871538,4.57471097850338,0,1.38629436111989,-3.34403896782221,-0.123453730309495,-0.265854050656983,-0.106381028831793,0.0901499114328104,-0.211729753182015,-0.0140955016886242,0.0804539988054742,-0.0443874919293599,1.09861228866811,2.83321334405622,1.20397280432594,0.510825623765991,-3.07577498122753,-0.733969175080201,4.58496747867057,0.510825623765991,-1.20397280432594,-4.28588277412098,-0.205284565393271,-0.282053558078741,-0.336668633380116,0.124964549461532,-0.327380619575756,-0.497034584161737,-0.430244602357576,-0.922079037397335,0.020159764112482,-0.655974461004521,0.0769092078931397,-0.172692801323588,0.213820718407518,-1.571274417,-3.686647415,-3.717912182,-1.495794592
"7",1956,-1.27533333333333,-0.5775,-1.80416666666667,2.73533333333333,0.0699583333333333,-2.49869997192034,-4.92725368515721,0.510825623765991,0,-2.6149597780362,-2.47092040781326,-4.83628190695148,0,1.46633706879343,-3.04452243772342,-0.0781204044466239,-0.0681875645526526,-0.00804735217576003,0.094816478281567,-0.331063179339649,-0.00119996397120481,0.167018735878083,-0.0626289034463507,-2.19722457733622,-4.91265488573605,1.46633706879343,0,-1.79175946922805,-2.53237318702692,-5.15329159449778,1.29928298413026,-0.693147180559945,-1.73460105538811,0.228882104452303,0.276613465897886,0.654664692323818,0.0459643943305084,-0.0617141347429992,-0.592951195537025,-0.281577951990296,-0.937412213056515,-0.0135069062099364,-1.13930771089135,0.0765071362615348,0.21383469655758,0.0417944136408224,-0.946870191,-2.43002854,-2.387827992,-1.048751326
"8",1957,0.618333333333333,0.960833333333333,0.2275,-1.07316666666667,-1.1473,3.02448168683998,4.95582705760126,-1.09861228866811,-1.67397643357167,3.44468249360189,2.9704144655697,4.81218435537242,-1.20397280432594,-1.20397280432594,3.36729582998647,0.703213081792495,0.854145993847817,1.25695267325557,-0.176516739339283,0.878270399405874,-0.097159350195458,-0.167285223710076,-0.0683477119750311,2.84296951900158,4.48863636973214,1.54044504094715,0.287682072451781,3.20545280453606,3.25809653802148,5.08140436498446,1.46633706879343,0.287682072451781,3.61091791264422,0.908048779066268,0.941279959631625,1.59333135390425,-0.0217022952243413,1.11928609795354,0.411298846603459,0.269755415834258,0.547921229631472,0.010159763715118,0.817358977232989,0.0540033786056124,0.405736207300629,-0.388664825478422,-1.628674865,-1.477348634,-2.196290279,0.107003804
"9",1958,0.7815,0.8325,0.643333333333333,-1.87841666666667,-0.5478,-2.60884355101876,3.73766961828337,-0.693147180559945,1.46633706879343,-2.77258872223978,-1.50407739677627,3.55534806148941,-0.287682072451781,1.73460105538811,-1.89711998488588,0.660629775162051,1.10047927504696,0.560286273617741,0.766816568562737,0.214936983420768,0.104762694796595,0.0928750923822577,0.114161458077513,-3.00403107636869,-4.56434819146784,0.287682072451781,2.89037175789616,-3.58351893845611,-3.20545280453606,-3.3322045101752,-0.847297860387204,2.56494935746154,-3.65497790243825,1.05838222334371,1.67628041103746,1.16666477624718,1.00496450495673,0.385619201133474,0.140048819682027,0.414755416628984,0.00125444852388856,-0.0231735874996087,0.167359001074846,-0.0623704618202101,-0.451992711158161,0.118169772785523,-2.182128915,-2.708191991,-3.457979075,-0.371982768
"10",1959,0.131916666666667,0.136666666666667,-0.0266666666666667,0.526166666666667,-0.203458333333333,-2.66258782702545,-5.66988092298052,0.287682072451781,-0.287682072451781,2.97892515523761,-2.32727770558442,-5.34710753071747,-0.405465108108164,0,3.09104245335832,0.423212991193432,0.467479378043784,0.18028584128534,0.396816524057934,0.648270221386671,0.077940324493639,0.159690816456481,0.0527351505076865,-2.24248116892434,-4.34380542185368,0.693147180559945,1.38629436111989,-2.4567357728213,-2.60268968544438,-5.50125821054473,1.09861228866811,1.89711998488588,2.42774823594805,0.631298890010367,0.757947039557162,0.479998287599685,0.484964365084496,0.802285867800125,0.177965453913834,0.249755424973638,-0.358745684990518,0.230159787358294,0.590692288313923,-0.0664714487164826,-0.143556207236934,0.0308356971232016,-1.708746178,-1.455955327,-2.237781894,0.178750125
